"ID","Time","milper","irst"
"Austria.Hungary",1871-11-05 01:39:49,260,425
"Austria.Hungary",1872-11-05 01:39:49,264,460
"Austria.Hungary",1873-11-05 01:39:49,292,534
"Austria.Hungary",1874-11-05 01:39:49,285,494
"Austria.Hungary",1875-11-05 01:39:49,303,463
"Austria.Hungary",1876-11-05 01:39:49,278,400
"Austria.Hungary",1877-11-05 01:39:49,278,388
"Austria.Hungary",1878-11-05 01:39:49,278,434
"Austria.Hungary",1879-11-05 01:39:49,277,404
"Austria.Hungary",1880-11-05 01:39:49,273,464
"Austria.Hungary",1881-11-05 01:39:49,273,544
"Austria.Hungary",1882-11-05 01:39:49,279,611
"Austria.Hungary",1883-11-05 01:39:49,297,698
"Austria.Hungary",1884-11-05 01:39:49,279,735
"Austria.Hungary",1885-11-05 01:39:49,295,715
"Austria.Hungary",1886-11-05 01:39:49,297,720
"Austria.Hungary",1887-11-05 01:39:49,295,705
"Austria.Hungary",1888-11-05 01:39:49,280,790
"Austria.Hungary",1889-11-05 01:39:49,275,856
"Austria.Hungary",1890-11-05 01:39:49,332,965
"Austria.Hungary",1891-11-05 01:39:49,315,922
"Austria.Hungary",1892-11-05 01:39:49,324,941
"Austria.Hungary",1893-11-05 01:39:49,333,982
"Austria.Hungary",1894-11-05 01:39:49,307,1072
"Austria.Hungary",1895-11-05 01:39:49,312,1128
"Austria.Hungary",1896-11-05 01:39:49,305,1218
"Austria.Hungary",1897-11-05 01:39:49,305,1308
"Austria.Hungary",1898-11-05 01:39:49,312,1427
"Austria.Hungary",1899-11-05 01:39:49,308,1467
"Austria.Hungary",1900-11-05 01:39:49,308,1170
"Austria.Hungary",1901-11-05 01:39:49,309,1099
"Austria.Hungary",1902-11-05 01:39:49,309,1167
"Austria.Hungary",1903-11-05 01:39:49,311,1162
"Austria.Hungary",1904-11-05 01:39:49,312,1257
"Austria.Hungary",1905-11-05 01:39:49,313,1459
"Austria.Hungary",1906-11-05 01:39:49,314,1608
"Austria.Hungary",1907-11-05 01:39:49,316,1731
"Austria.Hungary",1908-11-05 01:39:49,314,2018
"Austria.Hungary",1909-11-05 01:39:49,317,1963
"Austria.Hungary",1910-11-05 01:39:49,315,2174
"Austria.Hungary",1911-11-05 01:39:49,300,2348
"Austria.Hungary",1912-11-05 01:39:49,322,2708
"Austria.Hungary",1913-11-05 01:39:49,358,2611
"Belgium",1871-11-05 01:39:49,40,609
"Belgium",1872-11-05 01:39:49,40,656
"Belgium",1873-11-05 01:39:49,40,607
"Belgium",1874-11-05 01:39:49,40,533
"Belgium",1875-11-05 01:39:49,43,542
"Belgium",1876-11-05 01:39:49,46,491
"Belgium",1877-11-05 01:39:49,46,471
"Belgium",1878-11-05 01:39:49,46,465
"Belgium",1879-11-05 01:39:49,46,453
"Belgium",1880-11-05 01:39:49,46,608
"Belgium",1881-11-05 01:39:49,46,625
"Belgium",1882-11-05 01:39:49,46,727
"Belgium",1883-11-05 01:39:49,45,783
"Belgium",1884-11-05 01:39:49,47,751
"Belgium",1885-11-05 01:39:49,46,713
"Belgium",1886-11-05 01:39:49,45,702
"Belgium",1887-11-05 01:39:49,45,756
"Belgium",1888-11-05 01:39:49,48,827
"Belgium",1889-11-05 01:39:49,48,832
"Belgium",1890-11-05 01:39:49,45,788
"Belgium",1891-11-05 01:39:49,49,684
"Belgium",1892-11-05 01:39:49,51,753
"Belgium",1893-11-05 01:39:49,47,745
"Belgium",1894-11-05 01:39:49,47,819
"Belgium",1895-11-05 01:39:49,47,829
"Belgium",1896-11-05 01:39:49,48,959
"Belgium",1897-11-05 01:39:49,49,1035
"Belgium",1898-11-05 01:39:49,47,980
"Belgium",1899-11-05 01:39:49,49,1025
"Belgium",1900-11-05 01:39:49,51,655
"Belgium",1901-11-05 01:39:49,48,516
"Belgium",1902-11-05 01:39:49,49,769
"Belgium",1903-11-05 01:39:49,46,969
"Belgium",1904-11-05 01:39:49,44,1091
"Belgium",1905-11-05 01:39:49,44,1227
"Belgium",1906-11-05 01:39:49,44,1395
"Belgium",1907-11-05 01:39:49,44,1467
"Belgium",1908-11-05 01:39:49,46,1198
"Belgium",1909-11-05 01:39:49,46,1580
"Belgium",1910-11-05 01:39:49,48,1892
"Belgium",1911-11-05 01:39:49,47,2028
"Belgium",1912-11-05 01:39:49,47,2442
"Belgium",1913-11-05 01:39:49,48,2467
"France",1871-11-05 01:39:49,1000,860
"France",1872-11-05 01:39:49,483,1218
"France",1873-11-05 01:39:49,534,1382
"France",1874-11-05 01:39:49,474,1416
"France",1875-11-05 01:39:49,485,1448
"France",1876-11-05 01:39:49,501,1435
"France",1877-11-05 01:39:49,523,1507
"France",1878-11-05 01:39:49,543,1521
"France",1879-11-05 01:39:49,525,1400
"France",1880-11-05 01:39:49,544,1725
"France",1881-11-05 01:39:49,578,1886
"France",1882-11-05 01:39:49,588,2039
"France",1883-11-05 01:39:49,516,2069
"France",1884-11-05 01:39:49,526,1872
"France",1885-11-05 01:39:49,519,1631
"France",1886-11-05 01:39:49,536,1517
"France",1887-11-05 01:39:49,519,1568
"France",1888-11-05 01:39:49,569,1683
"France",1889-11-05 01:39:49,589,1734
"France",1890-11-05 01:39:49,596,1962
"France",1891-11-05 01:39:49,605,1897
"France",1892-11-05 01:39:49,606,2057
"France",1893-11-05 01:39:49,610,2003
"France",1894-11-05 01:39:49,590,2070
"France",1895-11-05 01:39:49,586,2004
"France",1896-11-05 01:39:49,613,2340
"France",1897-11-05 01:39:49,623,2484
"France",1898-11-05 01:39:49,654,2525
"France",1899-11-05 01:39:49,654,2578
"France",1900-11-05 01:39:49,621,1565
"France",1901-11-05 01:39:49,603,1425
"France",1902-11-05 01:39:49,610,1568
"France",1903-11-05 01:39:49,614,1840
"France",1904-11-05 01:39:49,596,2096
"France",1905-11-05 01:39:49,626,2255
"France",1906-11-05 01:39:49,635,2451
"France",1907-11-05 01:39:49,619,2767
"France",1908-11-05 01:39:49,619,2723
"France",1909-11-05 01:39:49,641,3039
"France",1910-11-05 01:39:49,652,3413
"France",1911-11-05 01:39:49,638,3837
"France",1912-11-05 01:39:49,642,4429
"France",1913-11-05 01:39:49,632,4687
"Germany",1871-11-05 01:39:49,1000,1424
"Germany",1872-11-05 01:39:49,427,1828
"Germany",1873-11-05 01:39:49,426,1991
"Germany",1874-11-05 01:39:49,429,1666
"Germany",1875-11-05 01:39:49,428,1759
"Germany",1876-11-05 01:39:49,429,1615
"Germany",1877-11-05 01:39:49,429,1718
"Germany",1878-11-05 01:39:49,429,1899
"Germany",1879-11-05 01:39:49,430,1965
"Germany",1880-11-05 01:39:49,430,2468
"Germany",1881-11-05 01:39:49,456,2620
"Germany",1882-11-05 01:39:49,455,3004
"Germany",1883-11-05 01:39:49,457,3135
