"ID","Time","milper","irst"
"China",1955-11-05 02:00:00,2999.88,2852.96
"China",1956-11-05 02:00:00,3132.17,4464.65
"China",1957-11-05 02:00:00,3155.69,5347.95
"China",1958-11-05 02:00:00,3182.37,7998.96
"China",1959-11-05 02:00:00,3209.27,13870.59
"China",1960-11-05 02:00:00,3231.74,18660.81
"China",1961-11-05 02:00:00,2198.71,8697.4
"China",1962-11-05 02:00:00,2300.19,6668.34
"China",1963-11-05 02:00:00,2500.75,7620.25
"China",1964-11-05 02:00:00,2751.78,9640.64
"China",1965-11-05 02:00:00,2401.51,12229.29
"China",1966-11-05 02:00:00,2599.05,15319.64
"China",1967-11-05 02:00:00,2710.1,10289.26
"China",1968-11-05 02:00:00,2799.39,9039
"China",1969-11-05 02:00:00,2829.9,13331.02
"China",1970-11-05 02:00:00,2849.88,17791.22
"China",1971-11-05 02:00:00,2968.96,21322.2
"China",1972-11-05 02:00:00,3039.93,23381.1
"China",1973-11-05 02:00:00,3251.76,25220.19
"China",1974-11-05 02:00:00,4298.57,21118.46
"China",1975-11-05 02:00:00,4302.66,23899.8
"China",1976-11-05 02:00:00,4298.71,20460.73
"China",1977-11-05 02:00:00,4300.02,23741.51
"China",1978-11-05 02:00:00,4499.96,31779.88
"China",1979-11-05 02:00:00,4602.19,34479.78
"China",1980-11-05 02:00:00,4648.02,37120.61
"China",1981-11-05 02:00:00,4750.46,35600.84
"China",1982-11-05 02:00:00,4349.74,37159.85
"China",1983-11-05 02:00:00,4098.86,40018.14
"China",1984-11-05 02:00:00,4100.21,43471.09
"China",1985-11-05 02:00:00,4100.1,46791.58
"China",1986-11-05 02:00:00,4029.65,52200.34
"China",1987-11-05 02:00:00,3528.05,56279.68
"China",1988-11-05 02:00:00,3779.78,59429.1
"China",1989-11-05 02:00:00,3898.55,61589.51
"China",1990-11-05 02:00:00,3500.35,66349.95
"China",1991-11-05 02:00:00,3200.19,70999.52
"China",1992-11-05 02:00:00,3158.87,80938.65
"China",1993-11-05 02:00:00,3030.05,89541
"China",1994-11-05 02:00:00,2929.32,92612.19
"China",1995-11-05 02:00:00,2930.65,95358.88
"China",1996-11-05 02:00:00,2650.61,101237.2
"China",1997-11-05 02:00:00,2599.49,108911.17
"China",1998-11-05 02:00:00,2600.75,114588.39
"China",1999-11-05 02:00:00,2400.19,123952.63
"China",2000-11-05 02:00:00,2808.07,127235.14
"China",2001-11-05 02:00:00,2311.24,150906.25
"China",2002-11-05 02:00:00,2270.33,182249.31
"China",2003-11-05 02:00:00,2249.15,222333.87
"China",2004-11-05 02:00:00,2251.1,272797.39
"China",2005-11-05 02:00:00,2255.85,355788.59
