"","United States of America","Haiti","Mexico","Guatemala","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Bavaria","Germany","Baden","Wuerttemburg","Austria-Hungary","Italy","Greece","Russia","Sweden","Denmark","Morocco","Tunisia","Iran","Turkey","Egypt","China","Japan"
"United States of America",0,0,3,0,0.62,0,0,0,0,0,0,0,3.6700001,152,1.21,2.0899999,43,0,0,0.20999999,0,27,0,0,0,6.4000001,0,0.64999998,1.3200001,0,0,0,0,0,0,12,3
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,1.9400001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",6,0,0,0,0,0,0,0,0,0,0,0,0,5.1100001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0.38999999,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,0,0.70999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0,0,0,0,8.5200005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,0,0,0,0,0,0,0,0.57999998,26.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",0,0,0,0,0,0,0,0,0,0,0,0,0,13.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0,0,0,0,0,0,0,0,0,0,0,0,0,12.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",240.95,1.11,1.45,0,4.3800001,0.38999999,0.66000003,23.610001,29.639999,0,0,18.52,7.1900001,0,43,54.41,181.94,0,29.35,14.62,0,74.519997,0,0,5.3400002,21.23,6.1799998,99.470001,41.560001,14.77,1.15,0,0,32.099998,0,46.560001,0.46000001
"Netherlands",4.0500002,0,0,0,0,0,0,0,0,0,0,0,0,70.589996,0,22.709999,0,0,0,0,0,41.779999,0,0,0,0,0,9.3299999,1.1900001,0,0,0,0,0,0,0,0
"Belgium",8,0,0,0,0,0,0,0,0,0,0,0,9.5299997,30.309999,26.879999,0,44.419998,0,0,0,0,23.26,0,0,0,0,0,8.1899996,0,0,0,0,0,0,0,0,0
"France",43.77,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,54.610001,0,0,14.85,0.85000002,0,20.68,0,0,0,47.18,0,23.59,4.5900002,0,0,0,0,0,0,0,0
"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.709999,0,0,0,0,0,0,0,0,0,0,0
"Spain",0,0,0,0,0,0,0,0,0,0,0,0,0,15.06,0,0,18.27,0,0,1.91,0,0,0,0,0,0,0,0.27000001,0,0,0,0,0,0,0,0,0
"Portugal",1.8,0,0,0,0,0,0,0,0,0,0,0,0,13.82,0,0,2.55,0,1.91,0,0,0.41999999,0,0,0,0,0,0.51999998,0,0,0,0,0,0,0,0,0
"Bavaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
