"","United States of America","Haiti","Mexico","Guatemala","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Chile","Argentina","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Bavaria","Germany","Baden","Wuerttemburg","Austria-Hungary","Italy","Greece","Russia","Sweden","Denmark","Morocco","Tunisia","Iran","Turkey","Egypt","China","Japan"
"United States of America",0,0,5,0,0.62,0,0,0,0,0,0,1.55,75.19,8.96,14.92,7.88,0,8.78,10.59,0,10,0,0,0,3.43,0,0,0.19,0,0,0,0,0,0,15.66,4
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",5,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0.62,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0,0,0,8.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,0,0,0,0,0,0,1.93,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",0,0,0,0,0,0,0,0,0,0,0,0,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",1.55,0,0,0,0,0,0,0,1.93,0,0,0,2.68,0,11.1,0,0,1.66,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",75.19,0.67,3.98,0,8.05,1.27,1.02,8.78,0.75,0,7.99,2.68,0,33.83,3.67,13.86,0,18.3,17.01,0,93.17,0,0,4.1,25.26,5.57,66.13,22.58,2.45,0.87,0,0,2.88,0,16.5,7.94
"Netherlands",8.96,0,0,0,0,0,0,0,0,0,0,0,33.83,0,0.52,0,0,0,0,0,32.2,0,0,0,0,0,11.41,0.6,0,0,0,0,0,0,0,0
"Belgium",14.92,0,0,0,0,0,0,0,0,0,0,11.1,3.67,0.52,0,42.66,0,0,0,0,4.02,0,0,0,0,0,9.95,0,0,0,0,0,0,0,0,0
"France",7.88,0,0,0,0,0,0,0,0,0,0,0,13.86,0,42.66,0,0,5.59,1.38,0,7.17,0,0,0,54.58,1.21,13.24,2.68,0,0,0,0,0,0,0,0
"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.95,0,0,0,0,0,0,0,0,0,0,0
"Spain",8.78,0,0,0,0,0,0,0,0,0,0,1.66,18.3,0,0,5.59,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portugal",10.59,0,0,0,0,0,0,0,0,0,0,0,17.01,0,0,1.38,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bavaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",10,0,0,0,1.2,0,0,0,0,0,0,1.07,93.17,32.2,4.02,7.17,0,0.8,0.11,0,0,0,0,0,0.9,0,52.96,8.67,0,0,0,0,0,0,0,0
"Baden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wuerttemburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austria-Hungary",0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,4.51,0,1.81,0,0,0,0,0,0,0,0,0
"Italy",3.43,0,0,0,0,0,0,0,0,0,0,0,25.26,0,0,54.58,18.95,0,0,0,0.9,0,0,4.51,0,1.03,0,0,0,0,0,0,0,0,0,0
"Greece",0,0,0,0,0,0,0,0,0,0,0,0,5.57,0,0,1.21,0,0,0,0,0,0,0,0,1.03,0,1.89,0,0,0,0,0,1.71,0,0,0
"Russia",0,0,0,0,0,0,0,0,0,0,0,0,66.13,11.41,9.95,13.24,0,0,0,0,52.96,0,0,1.81,0,1.89,0,0,0,0,0,0,0,0,1.99,0
"Sweden",0.19,0,0,0,0,0,0,0,0,0,0,0,22.58,0.6,0,2.68,0,0,0,0,8.67,0,0,0,0,0,0,0,2.71,0,0,0,0,0,0,0
"Denmark",0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunisia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkey",0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0
"Egypt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",15.66,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0,0,1.13
"Japan",4,0,0,0,0,0,0,0,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0
