"","United States of America","Haiti","Mexico","Guatemala","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Chile","Argentina","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Greece","Russia","Sweden","Denmark","Morocco","Tunisia","Iran","Turkey","Egypt","China","Japan"
"United States of America",0,0,2,0,0.73,0,0,0,0,0,1.55,0.19,178.72,10.05,20.21,5.4,0,9.55,1.1,19,0,3.77,0,16.72,1.67,1.1,0,0,0,0,0,9.54,5
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",2,0,0,0,0,0,0,0,0,0,0,0,3.77,0,0,1.87,0,0,0,9.19,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0.73,0,0,0,0,0,0,0,0,0,0,0,7.75,0,0,2.04,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,2.32,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0,0,0,14.12,11.41,10.13,5.57,0,10.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,0,0,0,0,0,0,2.04,5.06,0,0.88,4.13,0,1.05,1.18,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",1.55,0,0,0,0,0,0,0,0,0,0,1.06,8.77,0,2.1,2.76,0,0,0,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0.19,0,0,0,0,0,0,0,2.04,0,1.06,0,9.32,9.8,8.76,7.91,0,1.58,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0
