"","United States of America","Haiti","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Chile","Argentina","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Greece","Russia","Sweden","Denmark","Morocco","Tunisia","Iran","Turkey","Egypt","China","Japan"
"United States of America",0,0,5,0,0,1.4299999,0,0,0,42,0,0.38,0,106.41,1.6,3.1900001,69.57,0,3.0699999,0.40000001,40,0,5.02,0,0,0.28999999,0.029999999,0,0,0,0,0,11.43,8
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,4.9200001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",6,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,4.6700001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0.74000001,0,0,0,0,0,0,0,0,0,0,0,0,4.5799999,0,0,4.3200002,0,0,0,0.57999998,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0.63999999,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",8,0,0,0,0,0,0,0,0,0,0,0,0,33.419998,0,1.65,17.75,0,0,4.5,0,0,0,0,0,0,0.0042880001,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",2.04,0,0,0,0,0,0,0,0,0,0,0,2.6199999,10.74,0,1.13,7.1399999,0,0,0,4.0799999,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0,0,0,0,0,0,0,0,0,0,0,0.19,0,11.61,0.40000001,0.82999998,16.75,0,4.0300002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",338.63,2.1500001,3.51,0,0,4.6799998,0.18000001,1.13,23.76,36.099998,0,20.41,6.6100001,0,72.190002,72.120003,227.34,0,42.139999,21.620001,100.77,6.4099998,22.540001,8.5699997,100.77,43.389999,20.639999,3.46,0,0,31.9,0,66.209999,1.83
"Netherlands",8.4399996,0,0,0,0,0,0,0,2.4100001,0,2.4100001,0,0,63.830002,0,42.209999,11.05,0,0,0.80000001,64.720001,0.050000001,0.80000001,0,14.87,1.3099999,0.28,0,0,0,0,0,0.2,0
"Belgium",13.63,0,0,0,0,0,0,0,3.6400001,3.97,0,3.6400001,9.21,28.129999,32.720001,0,108.39,0.34,2.1800001,0.1,83.110001,0,1.77,0,15.75,2.5599999,0.31999999,0,0,0,0,0,0,0
"France",36.68,0,2.3699999,0.17,0,0,0,0,0,0,0,0,0,74.730003,7.29,95.589996,0,63.549999,22.809999,2.0999999,86.919998,11.83,79.260002,1.37,46.029999,9.0699997,0.050000001,0,0,0,27.67,0,17.77,14.57
"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,76,0,0,0,0,0,18.870001,0,0,0,0,0,0,0,0,0,0,0
"Spain",11.73,0,0,0,0,0,0,0,0,0,0,0,2.01,16.690001,0,1.8,42.259998,0,0,1.4299999,0.67000002,0,0,0,0,0.44,0,0,0,0,0,0,0,0
"Portugal",2.48,0,0,0,0,0,0,0,0,2.6800001,0,0,0,12.47,0.40000001,0.37,6.48,0,2.4400001,0,0.87,0,0.20999999,0,1.29,0.79000002,0,0.13,0,0,0,0,0,0
"Germany",50,0,0.38,0,0,3.04,0,0,0,0,0,0.87,0,0,95.669998,47.139999,89.989998,0,1.09,0.88,0,0,4.1500001,0,80.589996,3.46,13.26,0,0,0,0,0,0,0.090000004
"Austria-Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,5.7199998,0.000079999998,0,4.4899998,0,0,0,0,0,33.07,0,12.2,0,0,0,0,0,0,0,0,0
"Italy",7.4400001,0,0,0,0,0,0,0,0,0,0,0,0,32.919998,2.01,3.3299999,67.160004,5.3600001,0,0.15000001,6.4000001,40.34,0,0,4.8400002,0.090000004,0,0,0,0,0,0,0,0
"Greece",0,0,0,0,0,0,0,0,0,0,0,0,0,5.5799999,0,0,4.1599998,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0
"Russia",5.9499998,0,0,0,0,0,0,0,0,0,0,0,0,39.209999,9.0200005,3.71,11.17,0,0,0.2,162.57001,18.950001,8.1400003,1.72,0,1.51,0.34,0,0,0,11.23,0,4.6100001,0
"Sweden",0.63999999,0,0,0,0,0,0,0,0,0,0,0,0,22.08,0.80000001,2.1700001,2.8499999,0,0.33000001,0.1,14.79,0,0.31,0,4.8800001,0,6.1199999,0,0,0,0,0,0,0
"Denmark",0.56,0,0,0,0,0,0,0,0,0.97000003,0,0,0,11.3,1.2,0.94,1.58,0,0,0,22.459999,0,0,0,1.91,6.9299998,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunisia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkey",0,0,0,0,0,0,0,0,0,0,0,0,0,28.66,0,0,21.190001,0,0,0,0,0,0,0,7.6999998,0,0,0,0,0,0,0,0,0
"Egypt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",1.51,0,0,0,0,0,0,0,0,0,0,0,0,23.98,0,0,1.29,0,0,0,0,0,0,0,0.15000001,0,0,0,0,0,0,0,0,3.7
"Japan",2,0,0,0,0,0,0,0,0,0,0,0,0,11.97,0,0,6.4000001,0,0,0,0.76999998,0,0,0,0,0,0,0,0,0,0,0,2.9000001,0
