"","United States of America","Haiti","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Greece","Russia","Sweden","Denmark","Morocco","Tunisia","Iran","Turkey","Egypt","China","Japan"
"United States of America",0,0,5,0,0,0,0,0,0,0,0,0,1.0599999,29,123,1.9400001,2.2,51,0,2.3199999,0.43000001,35,0,3.96,0,0,0.20999999,0.0040199999,0,0,0,0,0,10.36,15
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4400001,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,3.8699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8000002,0,0.66000003,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,28.77,0,1.51,15.71,0,0.17,4.0300002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",2.51,0,0,0,0,0,0,0,0,0,0,0,0,3,12.59,0,0.66000003,5.48,0,0,0,3.5799999,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",1.84,0,0,0,0,0,0,0,0,2.1300001,0,0,0.47999999,0,8.7200003,0.22,0.79000002,10.2,0,1.96,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",368.85999,0,3.21,0,0,1.1799999,3.3099999,0.25999999,27.280001,25.16,2,0,17.42,8.1199999,0,80.68,67.300003,220.17999,0,42.290001,18.01,102.61,4.1500001,20.17,8.7399998,85.410004,38.740002,20.49,3.04,1.9,0.30000001,22.299999,0,72.510002,3.1900001
"Netherlands",15.71,0,0,0,0,0,0,0,1.2,0,1.2,0,0,0,82.709999,0,42.849998,6.4400001,0,0,0.60000002,77.959999,0.059999999,0.94,0,22.74,1.85,0.19,0,0,0,0,0,0.029999999,0
"Belgium",21.4,0,0,0,0,0,0,0,2.5,2.49,0,0,2.5,11.1,48.029999,35.700001,0,68.040001,0.33000001,2.3099999,0.14,37.779999,0,2.24,0,23.139999,5.6500001,0.51999998,0,0,0,0,0,0,0
"France",51.040001,7.9699998,1.65,2.7,0,1.29,2.8299999,0,11.44,10.67,0,0,5.1900001,21.24,125.43,7.6399999,77.870003,0,21.24,18.540001,2.29,75.07,13.3,79.169998,0.88,34.040001,11.13,0.07,1.91,1.91,0,36.220001,0,27.17,7.0599999
"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8499999,57.700001,0,0,0,0,0,29.23,0,0,0,0,0,0,0,0,0,0,0
"Spain",11.52,0,0,0,0,0,0,0,2.3099999,1.17,0,0,0,1.5700001,27.68,0,3.4100001,31.58,0,0,0.85000002,1.41,0,3.1400001,0,0.94,3.0799999,0,0,0,0,0.38,0,0,0
