"","United States of America","Haiti","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Morocco","Tunisia","Iran","Turkey","Egypt","China","Japan"
"United States of America",0,0,2,0,0,0,0,0,0,0,0,0,0.67,0,337.23,18.16,40.54,84.96,0,15.95,6.09,21,0,1.91,0,0,0,13.8,1.35,2.72,0,0,0,0.73,0,8.67,6.78
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,5.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,1.22,0,0,0,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.71,10.55,2.47,7.33,0,9.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4.54,0,0.46,3.07,0,0.34,2.35,0,0,0,0,0,0,0,0,0.0662,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,10.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",0.67,0,0,0,0,0,0,0,0,0,0,0,0,1.34,14.03,0,2.47,2.03,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0,0,0,0,0,0,0,0,0,1.1,0,0,1.34,0,6,9.05,6.36,11.87,0,2.16,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",337.23,0.23,0.53,0,0,1.74,2.26,0.82,12.71,4.54,1.23,0,14.03,6,0,17.88,13.57,71.31,0,8.61,1.75,14.64,4.31,33.71,0,4.46,1.83,32.26,15.62,11.08,0.45,1.71,0.05,15.48,0,26.21,9.77
"Netherlands",18.16,0,0,0,0,0,0,0,10.55,0,10.55,0,0,9.05,17.88,0,6.04,3.87,0,11.2,0.03,19.39,0.8184,1.28,0,0,0,27.41,0.71,1.33,0,0,0,0,0,0.09,0
"Belgium",40.54,0,0,0,0,0,0,0,2.47,0.46,0,0,2.47,6.36,13.57,6.04,0,20.44,4.17,0.82,0.82,5.43,0,1.08,0,0,0,22.77,0.87,0.47,0,0,0,0,0,0,0
"France",84.96,5.15,1.22,0.09,0,1.62,0.77,9.73,7.33,3.07,0,0,2.03,11.87,71.31,3.87,20.44,0,27.66,22.83,13.6,13.41,13.35,10.94,0,0.4,0.39,45.06,15,0.1,12.28,12.28,0,18.47,0,17.74,4.21
"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,27.66,0,15.25,0,0,0,23.47,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",15.95,0,0,0,0,0,0,0,9.29,0.34,0,0,0,2.16,8.61,11.2,0.82,22.83,15.25,0,1.38,7.68,46.51,1.4,0,10.95,0,18.92,0.15,0,0,9.84,0,9.29,0,0,0
"Portugal",6.09,0,0,0,0,0,0,0,0,2.35,0,0,0,0,1.75,0.03,0.82,13.6,0,1.38,0,0.91,0,0.04,0,0,0,0.45,0.82,0,0.31,0,0,0,0,0,0
"Germany",21,0,9.57,0,0,0,0,0,0,0,0,0,1.16,0.7,14.64,19.39,5.43,13.41,0,7.68,0.91,0,0,4.21,0,0,1.73,60.02,10.26,5.02,0,0,0,0.2257,0,0,10.2
"Austria-Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,0.8184,0,13.35,0,46.51,0,0,0,2.4,0,0,10.78,9.67,0,0,0,0,0,7.62,0,0,0
