"","United States of America","Haiti","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Morocco","Iran","Turkey","Egypt","China","Japan"
"United States of America",0,0,1.57,0,0,0,0,0,0,0,0,0,0,2.01,0.86,278.29,1.79,27.15,9.51,0,12.27,5.39,18.48,0,1.45,0,0,0,31.72,1.22,2.22,0,0,1.32,0,7.09,10.77
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23,0,0,3.87,0,0,0,10.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,1.91,0,0.85,2.82,0,0.1,2.94,0,0,0,0,0,0,0,0,9.0011,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,13.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0,2.13,0,1.28,1.64,0,0,0,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",2.01,0,0,0,0,0,0,0,0,0,0,0,1.83,0,0.38,14.26,9.29,6.34,11.82,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0.86,0,0,0,0,0,0,0,0,0.57,0,0,0,0.38,0,3.01,0,14.03,2.54,0,11.05,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",278.29,0.86,6.23,0,0,3.84,3.16,0.13,0,1.91,1.4,0,2.13,14.26,3.01,0,12.08,34.32,50.65,0,22.86,2.11,30.79,6.37,40.44,0,3.76,19.45,20.26,4.2,9.81,0.32,0.46,6.6,0,22.4,6.79
"Netherlands",1.79,0,0,0,0,0,0,0,0,0,13.95,0,0,9.29,0,12.08,0,3.76,0.27,0,0,0.09,60.94,9.01,2.48,0,0,0,24.24,0.38,1.47,0,0,0,0,9.0004,0
"Belgium",27.15,0,0,0,0,0,0,0,0,0.85,0,0,1.28,6.34,14.03,34.32,3.76,0,36.81,4.33,2.11,0.85,9.85,0,0.61,0,0,0,18.82,0.44,1.22,0,0,0,0,0,0
"France",9.51,5.46,3.87,0.1,0,1.06,1.89,9.57,0,2.82,0,0,1.64,11.82,2.54,50.65,0.27,36.81,0,24.82,28.24,0.98,33.76,18.33,11.44,0,1.3,5.16,39.01,11.74,1,13.28,0,13.93,0,16.45,8.14
"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,24.82,0,0,0,0.34,0,16.15,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",12.27,0,0,0,0,0,0,0,0,0.1,0,0,0,1.76,11.05,22.86,0,2.11,28.24,0,0,1.03,14.6,0,2.64,0,0,0,3.57,0.37,0,0,0,11.69,0,0,0
"Portugal",5.39,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,2.11,0.09,0.85,0.98,0,1.03,0,1.87,0,0.53,0,0,0,0.4,0.56,0,0.2024,0,0,0,0,0
"Germany",18.48,0,10.24,0,0,0,0,0,0,0,0,0,4.99,0,1.06,30.79,60.94,9.85,33.76,0.34,14.6,1.87,0,128.75,3.69,0,0,4.6,47.95,17.58,20.51,0,0,9.24,0,0,0.69
"Austria-Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37,9.01,0,18.33,0,0,0,128.75,0,8.42,0,0,11.52,2.22,0,0,0,0,10.93,0,0,0
"Italy",1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.44,2.48,0.61,11.44,16.15,2.64,0.53,3.69,8.42,0,15.37,1.11,15.37,0.07,0.26,0,0,0,3.7,0,0,0
"Yugoslavia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.37,0,0,0,0,0,0,0,0,0,0,0,0
"Greece",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,0,0,1.3,0,0,0,0,0,1.11,0,0,0,1.72,0,0,0,0,0,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.45,0,0,5.16,0,0,0,4.6,11.52,15.37,0,0,0,3.21,0,0,0,0,0,0,0,0
"Russia",31.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.26,24.24,18.82,39.01,0,3.57,0.4,47.95,2.22,0.07,0,1.72,3.21,0,4.09,1.87,0,0,4.29,0,5.09,0
"Sweden",1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0.38,0.44,11.74,0,0.37,0.56,17.58,0,0.26,0,0,0,4.09,0,7.4,0,0,0,0,0,0
"Denmark",2.22,0,0,0,0,0,0,0,0,9.0011,0,0,0,0,0,9.81,1.47,1.22,1,0,0,0,20.51,0,0,0,0,0,1.87,7.4,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,13.28,0,0,0.2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkey",1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,13.93,0,11.69,0,9.24,10.93,3.7,0,0,0,4.29,0,0,0,0,0,0,0,0
"Egypt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4,9.0004,0,16.45,0,0,0,0,0,0,0,0,0,5.09,0,0,0,0,0,0,0,3.69
"Japan",10.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79,0,0,8.14,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,3.69,0
