"","United States of America","Haiti","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Morocco","Iran","Turkey","China","Japan"
"United States of America",0,0,1.04,0,0,0,0,0,0,0,0,0,1.83,1.35,0.96,349.27,16.79,22.43,0.64,0,15.41,0,1.91,0,0.1,0,0,0,0,2.45,3.57,0,0,0.8,6.27,11.84
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3.24,0,0,0,10.09,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28,10.81,0.27,3.65,0,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1.15,2.48,0,2.35,1.22,0,0.28,0,0,0,0,0,0,0,0,0,9.0011,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,10.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",1.83,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,6.65,0,0.27,0.04,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",1.35,0,0,0,0,0,0,0,0,0.48,0,0,3.18,0,1.34,19.24,9.07,7.38,16.98,0,1.88,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0.96,0,0,0,0,0,0,0,0,1.15,0,0,0,1.34,0,3.15,0,12.11,2.13,0,11.4,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",349.27,1.34,4,0,0,4.56,0.7,0.76,7.28,2.48,1.35,0,6.65,19.24,3.15,0,18.23,40.44,53.31,0,20.49,7.3,21.5,6.66,40.94,0,3,10.56,15.25,19.92,12.84,0.08,0.47,7.38,26.41,7.84
"Netherlands",16.79,0,0,0,0,0,0,0,10.81,0,10.81,0,0,9.07,0,18.23,0,18.31,2.2,0,0,0.25,72.45,0,0.64,0,0,0,31.27,0.45,1.48,0,0,0,0.0008,0
"Belgium",22.43,0,0,0,0,0,0,0,0.27,2.35,0,0,0.27,7.38,12.11,40.44,18.31,0,35.62,3.74,5.56,0,19.91,0,0.16,0,0,0,19.24,0.28,1,0,0,0,0,0
"France",0.64,5.47,3.24,0.59,0,2.3,2.66,9.67,3.65,1.22,0,0,0.04,16.98,2.13,53.31,2.2,35.62,0,20.46,26.41,0.85,30.1,22.73,11.5,0,1.68,4.14,24.96,11.43,0.93,12.54,0,16.52,15.9,7.34
"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,20.46,0,0,0,1.68,0,11.49,0,0,0,0,0,0,0,0,0,0,0
"Spain",15.41,0,0,0,0,0,0,0,9.31,0.28,0,0,0,1.88,11.4,20.49,0,5.56,26.41,0,0,3.48,15.17,0,3.83,0,0,0,4.32,4.21,0,0,0,12.56,0,0
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0.25,0,0.85,0,3.48,0,3.22,0,1.4,0,0,0,0,0,0,0,0,0,0,0
"Germany",1.91,0,10.09,0,0,0,0,0,0,0,0,0,5,2.12,1.25,21.5,72.45,19.91,30.1,1.68,15.17,3.22,0,33.17,7.02,0,9.19,7.5,12.04,19.33,21.98,0,0,0.16,0,1.09
"Austria-Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66,0,0,22.73,0,0,0,33.17,0,13.5,0,4.8,15.77,0.64,0,0,0,0,11.87,0,0
"Italy",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.94,0.64,0.16,11.5,11.49,3.83,1.4,7.02,13.5,0,10.8,1.74,10.8,0.65,0.16,0,0,0,1.47,0,0
"Yugoslavia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0
"Greece",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1.68,0,0,0,9.19,4.8,1.74,0,0,0,2.19,0,0,0,0,2.31,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.56,0,0,4.14,0,0,0,7.5,15.77,10.8,0,0,0,2.22,0,0,0,0,0,0,0
"Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.25,31.27,19.24,24.96,0,4.32,0,12.04,0.64,0.65,0,2.19,2.22,0,6.54,2.66,0,0,2.58,5.26,0
"Sweden",2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.92,0.45,0.28,11.43,0,4.21,0,19.33,0,0.16,0,0,0,6.54,0,4.04,0,0,0,0,0
