"","United States of America","Haiti","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"United States of America",0,1.41,8.08,0,0,0.53,7.05,0,0,46.65,0,0,0.3,2.55,0.98,220.8,18.93,21.09,9.79,13.69,13.98,4.13,22.8,8.35,5.68,9.04,9.76,0,15,0,3.39,0,0,3.39,12.11,0,14.42,0
"Haiti",1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",8.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,0,0,12.58,0,9.36,0,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",7.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,4.43,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",46.65,0,0,0,0,0,0,0,0,0,0,0,0.5865,0.52,0.75,2.14,0,0.78,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",0.3,0,0,0,0,0,0,0,1.32,0.5865,0,0,0,1.76,0,5.77,0,0,1.75,0,0,0,5.25,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",2.55,0,0,0,0,0,0,0,0,0.52,0,0.68,1.76,0,4.54,16.26,0,4.5,17.02,0,2.83,0,1.75,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0.98,0,0,0,0,0,0,0,0,0.75,0,0,0,4.54,0,5.46,0,2.59,1.67,0,2.04,0,2.57,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",220.8,1.86,3.04,0,0,4.32,3.18,0.76,4.43,2.14,0.3,0,5.77,16.26,5.46,0,24.17,35.51,88.03,10.84,26.57,0.45,10.64,3.41,22.66,0.49,3.66,11.34,34.63,15.25,10.16,0.24,0.22,18.86,2.03,0,20.8,0.2
"Netherlands",18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.17,0,26.22,1.43,0.66,0,0,55.04,0,13.07,0,0,0,35.89,0,1.6,0,0,1.82,0,0,0.03,0
"Belgium",21.09,0,0,0,0,0,0,0,13.6,0.78,0,0,0,4.5,2.59,35.51,26.22,0,25.41,2.81,2.33,1.08,37.07,0,4.75,9.09,1.47,17.49,15.7,18.06,1.05,0,0,2.01,0,0,0.37,0
"France",9.79,0,12.58,0,0,0,0,0,0,0,0,0,1.75,17.02,1.67,88.03,1.43,25.41,0,15.45,22.5,0.15,10.09,0,35.81,0.08,2.07,2.66,27.47,5.68,0.7,0,0,2.47,0,0,6.49,0
"Switzerland",13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.84,0.66,2.81,15.45,0,0,0,13.8,11.54,9.34,0.05,0,0,1.93,0,0,0,0,0,0,0,0.38,0
"Spain",13.98,0,9.36,0,0,0,0,0,0,0,0,0,0,2.83,2.04,26.57,0,2.33,22.5,0,0,1.09,11.11,0,0.84,0,0,0,7.71,5.8,0,0,0,1.59,0,0,0,0
"Portugal",4.13,0,0,0,0,0,0,0,0,1.91,0,0,0,0,0,0.45,0,1.08,0.15,0,1.09,0,3.97,0,0.26,0,0,0,0,0.69,0,0,0,0,0,0,0,0
