"","United States of America","Haiti","Dominican Republic","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"United States of America",0,0,0,0,0,0,0,0,0,0,79.360001,0,0,0,0,0,107.37,0,0,47.540001,0,2.5,0,69.379997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0,0,0,0,0.61000001,0,0,2.6800001,0,0.2,0,0,0,0,0.95999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",0,0,0,0,0,0,0,0,0,0,0,0,0,0.039999999,3.74,0,36.490002,0,2.1800001,15.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",1.5599999,0,0,0,0,0,0,0,0,1.46,0.050000001,0,0,0,1.72,0,10.56,0,1.23,0.94,0,0,0,5.1199999,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",2.73,0,0,0,0,0,0,0,0,0,0.56,0,0,0.02,0,0,8.9300003,0,2.4100001,2.73,0,0,0,2.8800001,0,2.3900001,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",434.56,0.38999999,0,2.6900001,0,0,2.76,0.69999999,1.13,5.1900001,19.1,0,0,17.99,29.91,1.29,0,133.88,82.690002,210.71001,22.6,51.150002,11.59,130.33,6.7199998,15.17,0,6.2399998,19.360001,114.44,40.389999,46.279999,1.75,0,23.76,17.18,0,4.6399999,0.75
"Netherlands",53.189999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.089996,0,64.870003,8.6499996,0.79000002,0,0,107.15,0,0,0,0.50999999,0,70.580002,4.8400002,0.079999998,0,0,1.4400001,0,0,0.02,0
"Belgium",24.049999,0,0,0,0,0,0,0,0,6.23,8.0600004,0,0,4.2199998,17.09,0,33.939999,33.299999,0,53.869999,1.03,3.0799999,0,35.27,0,4.5799999,0,1.45,13.11,20.129999,9,0.25999999,0,0,0.20999999,0,0,1.15,0
"France",62.990002,0,0,0,0,0,0,0,0,0,0,0,0,0.81999999,5.0799999,0,92.459999,4.79,71.660004,0,14.04,33.900002,0,59.709999,0,23.5,0,1.8200001,0,54.32,8.79,0.46000001,0,0,16.68,0,0,4.1599998,0
"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29,0.57999998,4.4200001,27.65,0,0,0,46.689999,15.42,35.32,0,0,0,10.71,0,0,0,0,0,0,0,0.60000002,0
