"","United States of America","Haiti","Dominican Republic","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"United States of America",0,2.09,11.38,7.5,0.65,0,1.91,4.98,0.09,0.29,48.44,9.02,9.0007,0.34,2.35,0.2,498,98.84,48.71,66.11,11.12,14.56,0.93,85.35,8.59,10.88,0.19,0.04,0.37,20.32,0.14,16.57,0,0,0,1.98,8.05,9.12,22.02,0
"Haiti",2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",11.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,0,0,0.16,0,0.86,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0.09,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0.29,0,0,0,0,0,0,0,0.38,0,0,0.27,0,1.46,0,0,3.25,0,0.1,0.35,0,0,0,0.33,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",48.44,0,0,0,0,0,0,0,0,0,0,0,0,0.33,2.15,4.08,7.68,0,5.52,19.49,0,0,0,0,3.26,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",9.02,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",9.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",0.34,0,0,0,0,0,0,0,0,1.46,0.33,0,0,0,1.19,0.64,3.62,0,3.08,2.16,0,0,0,0.66,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",2.35,0,0,0,0,0,0,0,0,0,2.15,0,0,1.19,0,2.08,8.53,0,11.96,40.02,0,0,0,5.73,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0.2,0,0,0,0,0,0,0,0,0,4.08,0,0,0.64,2.08,0,5.03,0,4.12,2.95,0,1.78,0,0.51,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
