"","United States of America","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"United States of America",0,1.63,12.12,8.98,1.01,0.08,0.46,2.08,3.65,0.17,0.44,45.64,9.03,0.0098,0.02,9.48,0.04,460.22,14.4497,42.3,14.23,14.56,19.01,1.16,71.55,6.1,0.2,9.2,0.73,0.3215,3.94,11.6,20.09,0,0,0,2,4.12,0.1396,11.5,0
"Haiti",1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",12.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",8.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0.06,0,0.9,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0.17,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0.44,0,0,0,0,0,0,0,0,0.13,0,0,0.28,0,1.14,0,0,2.64,0,0.1,0.47,0,9.07,0,0.05,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",45.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,2.11,0,6.89,0,7.74,19.88,0,0.18,0,0,2.87,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
