"","United States of America","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"United States of America",0,0,0,22.53,0,0,0,0,0.35,3.53,0,0.63,66.64,0,0,1.76,3.83,0.14,513.85,101.08,47.23,82.8799,17.57,7.23,0,68.23,15.91,11.53,9.22,0.54,0,10,6.3,20.23,0,0,0,3.8,4.34,0,16.9,0
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",22.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,1.94,0,0.98,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,3.96,0,0.6019,0.48,0,0.09,0,0.17,0,0.58,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0
"Brazil",66.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,9.41,5.03,7.73,9.58,4.62,16.28,0,0.76,5.3,21.28,5.81,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",1.76,0,0,0,0,0,0,0,0,0,0,1.46,0.63,0,0,0,1.14,0.3,2.64,0,5.32,12.36,0,0,0,21.42,0,9.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",3.83,0,0,0,0,0,0,0,0,0,0,0,9.41,0,0,1.14,0,1.27,44.37,0,10.53,9.58,0,2.42,0,63.58,0,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0.14,0,0,0,0,0,0,0,0,0,0,0,5.03,0,0,0.3,1.27,0,3.91,0,2.78,2.78,0,0.85,0,0.28,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",513.85,0.75,0,2.68,0,0,0,0,1.98,1.96,0.37,3.96,7.73,0,0,2.64,44.37,3.91,0,59.52,66.94,246.8099,27.07,44.4,7.68,1.7,21.94,33.86,0.64,1.03,8.46,54.06,25.7,45.65,0,1.07,1.68,5.11,19.09,0,15.6,0.97
"Netherlands",101.08,0,0,0,0,0,0,0,0,0,0,0,9.58,0,0,0,0,0,59.52,0,52.05,3.95,0.4,0,0,93.93,2.06,12.62,9.08,1.61,0,59.36,3.05,3.36,0,0,0,0,0,0,0.03,0
"Belgium",47.23,0,0,0,0,0,0,0,0,0,0,0.6019,4.62,0,0,5.32,10.53,2.78,66.94,52.05,0,66.6499,3.71,3.93,0,13.51,4.05,0.14,0.01,0.62,14.88,15.92,8.09,1.75,0,0,0,0,2.34,0,2.55,0
