"","United States of America","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"United States of America",0,49.490002,0,0,41.310001,0,0,0,0,4.21,5.3099999,0,3.4100001,67.220001,0,0,9.3800001,9.4300003,0,190.02,22.860001,22.559999,90.050003,21.18,8.4700003,0,119.77,10.56,36.240002,0,0.77999997,0,9.2299995,4.9699998,4.1100001,0,0,0,0,26.639999,0,44.139999,0
"Cuba",25.24,0,0,0,3.1400001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0900002,0,0,3.04,0,9.54,0,3.6099999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",19.379999,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0799999,0,0,3.1300001,0,1.45,0,4.5799999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",4.3000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",2.8599999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86000001,0,0,5.2600002,0,0.68000001,1.15,0,0.12,0,3.02,0,0.69999999,0,0,0,0,0,0,0,0,0,0,0.43000001,0,0,0
"Brazil",6.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4.4099998,2.5999999,13.89,0,2.9000001,4.3299999,0,0.2,3.4100001,5.6399999,1.22,3.0599999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",5.2199998,0,0,0,0,0,0,0,0,0,0,0,1.74,0.44999999,0,0,0,1.15,0.20999999,19.01,0,0.0005806,2.9100001,0,0,0,13.22,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",11.43,0,0,0,0,0,0,0,0,0,0,0,0,2.1700001,0,0,0.15000001,0,0,28.4,0,2.5799999,0,0,2.02,0,0,0,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0.93000001,0,0,0.28999999,0,0,7.4099998,0,0,0,0,0.93000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",614.22998,5.8000002,0.28999999,0,1.47,0,0,0,0,1.74,0.20999999,1.2,6.5300002,30.030001,0,0,21.879999,67.830002,3.1600001,0,168.56,128.39,245,35.73,69.110001,16.5,162.71001,6.48,17.33,0.20999999,7.98,37.209999,124.2,46.279999,75.260002,0,3.3800001,1.01,29.559999,11.64,0,9.1800003,0.43000001
"Netherlands",92.849998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,92.419998,8.6300001,1.0700001,0,0,207.3,6.0700002,0,0.0083237002,1.4,0,83.190002,6.54,0.050000001,0,0,0,0,0,0,0.36000001,0
"Belgium",52.66,0,0,0,0,0,0,0,0,0,0,0,0.029999999,5.1199999,0,0,5.5900002,19.76,0,54.209999,39.709999,0,73.669998,1.36,6.3899999,0,63.220001,1.85,5.8400002,0.52999997,1.0599999,27.84,28.17,12.37,0.27000001,0,0,0,0,1.63,0,0.28999999,0
"France",81.099998,1.29,0,0,1.74,0,0,0,0,0,0,0,0.99000001,8.04,0,0,6.27,42.93,0,108.2,0,62.970001,0,21.459999,28.24,0,79.769997,12.49,29.379999,0.12,1.51,2.1800001,38.740002,7.5300002,0.66000003,0,0,0,0,0,0,0,0
"Switzerland",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.36,0.75999999,4.7199998,41.619999,0,0.33000001,0,62.220001,13.52,34.09,0.059999999,0,0.079999998,12.07,0,0,0,0,0,0,0,0,0.37,0
"Spain",22.35,1.14,0,0,0.55000001,0,0,0,0,0,0,0,0.07,1.4400001,0,0,0,3.98,0.88,36.009998,0,6.3699999,27.360001,3.5999999,0,6.7399998,17.01,1.75,4.1799998,0,0,0,5.6300001,4.5999999,0,0,0,0,0,0,0,0,0
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,8.8999996,0,0,0,0,7.6300001,0,4.7800002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",193.84,3.96,0,0,4.6199999,0,0,0,0,0,0,0,1.46,12.21,0,0,19.950001,22.93,0,143.7,48.41,46.209999,74.110001,39.639999,17.59,3.47,0,169.06,45.220001,1.05,1.05,3.78,181.75,24.5,17.549999,0,0,0,0,0,0,0,0
"Austria-Hungary",27.08,0,0,0,0,0,0,0,0,0,0,0,0,7.8899999,0,0,0,0,0,28.5,3.8199999,6.7399998,12.19,9.6300001,0.67000002,0,130.02,0,21.85,11,3.6900001,7.0599999,19.209999,0,0,0,0,0,8.4399996,0,0,0.56,0
"Italy",39.419998,0,0,0,0,0,0,0,0,0,0,0,0.039999999,2.7,0,0,1.7,5.8499999,0,53.630001,3.8399999,6.0900002,34.330002,10.56,5.21,0,41.41,32.889999,0,0.02,0.89999998,3.8599999,33.950001,0,0,0,0,0,18.190001,0,0,6.5599999,0
"Yugoslavia",0.18000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77999997,0.029999999,0.1,0.18000001,0.14,0,0,1.3,4.79,0.18000001,0,0.11,0.18000001,0.12,0,0,0,0,0,0.20999999,0,0,0,0
"Greece",0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0.15000001,0.57999998,2.1700001,0,0,0,2.1099999,4.0599999,1.0599999,0,0,0.25,5.9099998,0,0,0,0,0,2.3599999,0,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.63,0,0.98000002,3.26,1.09,0,0,15.37,13.36,3.8,0.28,0.70999998,0,1.23,0,0,0,0,0,2.24,0,0,0,0
"Russia",19.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.919998,5.6900001,3.5,13.21,3.3599999,0.44999999,0,101.98,11.81,4.6300001,0.0099999998,0.36000001,1.0700001,0,1.74,2.1400001,0,0,0,3.27,9.7700005,0,0.47,0
"Sweden",2.8800001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.389999,3.6400001,4.8499999,2.53,0,0.54000002,0,53.599998,0,0,0,0,0,8.25,0,17.200001,0,0,0,0,0,0,0,0
"Denmark",18.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.049999,3.1900001,2.3599999,3.77,0,0,0,0.039999999,0,0,0,0,0,24.5,16.950001,0,0,0,0,0,0,0,0,0
"Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkey",0.27000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.139999,0,0,0,0,0,0,0,14.21,8.4700003,0.28,2,1.9400001,7.71,0,0,0,0,0,0,0,0,0,0
"China",18.889999,0,0,0,0,0,0,0,0,0,0,0,0.00033869999,0,0,0,0,0,0,34.549999,0,4.3800001,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,23.129999,0
"Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1999998,0
"Japan",24.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.870001,0.38,3.4400001,2.3399999,0.95999998,0,0,12.74,1.17,0.090000004,0,0,0,0.050000001,0,0,0,0,0,0,20.040001,3.9300001,0,0.82999998
"Thailand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
