"","United States of America","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"United States of America",0,34.38,0,0,21.68,0,0,0,0,0,3.27,3.72,0,0.41,59.11,0,0,6.26,7.14,0,425.63,75.07,27.5,21.72,19.27,14.3,0,104.6,22.02,6.96,9.14,9.47,0,19.64,6.14,16.62,0,0,0.07,14.69,13.14,0,24.03,0
"Cuba",34.38,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,2.24,0,7.84,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",21.68,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,1.53,0.56,0,0.42,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0.66,0,1.1028,0.42,0,0.06,0,0.58,0,0.66,0,0,0,0,0,0,0,0,0,0,9.3,0,0,0
"Brazil",59.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,6.88,1.7,5.46,0,0.38,2.33,0,1.17,2.2,4.29,6.38,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",6.26,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.44,0,0,0,1.41,0.38,2.75,0,6.01,6.55,0,0,0,1.24,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88,0,0,1.41,0,0,53.79,0,31.09,60.61,0,1.06,0,34.87,0,8.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0.38,0,0,3.58,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",425.63,4.2,1.12,0,5.33,0,0,0,0,0,0.96,2.66,0.9,0.66,5.46,0,0,2.75,53.79,3.58,0,67.5,72.26,132.3,23.08,32.14,6.45,28.75,18.66,36.9,0.89,0.65,12.19,93.24,28.57,55.27,0,0.63,1.18,1.68,18.75,0,13.37,0.77
"Netherlands",75.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5,0,46.15,17.76,6.72,0,0,171.37,3.76,0,0.05,0.82,0,85.46,2.2,3.49,0,0,0,0,0,0,0.29,0
"Belgium",27.5,0,0,0,1.53,0,0,0,0,0,0,0,0,1.1028,0.38,0,0,6.01,31.09,0,72.26,46.15,0,16.67,3.58,1.24,0,16.25,4.33,0.56,0.02,0.54,24.26,38.49,6.46,2.05,0,0,0,0,2.83,0,3.54,0
"France",21.72,2.24,0,0,0.56,0,0,0,0,0,0,0,0,0.42,2.33,0,0,6.55,60.61,0,132.3,17.76,16.67,0,20.69,3.38,0,3.09,0.56,7.68,0.5,0.01,1.15,43.43,5.93,3.26,0,0,0.76,0,0,0,14.58,0
"Switzerland",19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,6.72,3.58,20.69,0,3.14,0,27.89,4.73,23.4,0.15,0,1,10.61,0,0,0,0,0,0,0,0,0.96,0
"Spain",14.3,7.84,0,0,0.42,0,0,0,0,0,0,0,0,0.06,1.17,9.41,0,0,1.06,0.23,32.14,0,1.24,3.38,3.14,0,0.55,2.37,0.91,1.21,0,0,0,6.45,4.37,0,0,0,0,0,0,0,0,0
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,6.45,0,0,0,0,0.55,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",104.6,1.45,0,0,0.65,0,0,0,0,0,0,0,0,0.58,4.29,0,0,1.24,34.87,0,28.75,171.37,16.25,3.09,27.89,2.37,2.08,0,37.97,2.13,0.77,1.28,12.23,78.86,19.52,31.79,0,0,0.24,0,0,0,10.88,0
"Austria-Hungary",22.02,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38,0,0,0,0,0,18.66,3.76,4.33,0.56,4.73,0.91,0,37.97,0,9.05,3.46,0.52,5.51,8.73,0,0,0,0,9.94,5.97,0,0,1.34,0
"Italy",6.96,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.46,0,0,0.47,8.22,0,36.9,0,0.56,7.68,23.4,1.21,0,2.13,9.05,0,0.17,0.24,2.46,34.34,0,0,0,0,0.28,11.96,0,0,5.35,0
"Yugoslavia",9.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.05,0.02,0.5,0.15,0,0,0.77,3.46,0.17,0,0.09,0.04,0.1293,0,0,0,0,0,0.05,0,0,0,0
"Greece",9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.82,0.54,0.01,0,0,0,1.28,0.52,0.24,0.09,0,0.36,5.71,0,0,0,0,0,1.71,0,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.19,0,24.26,1.15,1,0,0,12.23,5.51,2.46,0.04,0.36,0,0.47,0,0,0,0,0,0.22,0,0,0,0
"Russia",19.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.24,85.46,38.49,43.43,10.61,6.45,0,78.86,8.73,34.34,0.1293,5.71,0.47,0,2.81,15.84,0,0,0.13,6.1,7.96,0,0.42,0
"Sweden",6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,2.2,6.46,5.93,0,4.37,0,19.52,0,0,0,0,0,2.81,0,3.88,0,0,0,0,0,0,0,0
"Denmark",16.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.27,3.49,2.05,3.26,0,0,0,31.79,0,0,0,0,0,15.84,3.88,0,0,0,0,0,0,0,0,0
