"","United States of America","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Norway","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"United States of America",0,95.330002,0,0,50.959999,0,0,1.1900001,0,0,7.0799999,8.0299997,3.3299999,2.5799999,80.410004,0,0,16.940001,18.370001,2.1300001,210.02,27,28.41,108.41,23.42,10.69,0.5,135.14,13.86,40.59,0,1.25,0,13.53,3.8900001,3.1300001,5.5,0,0.44999999,0.0099999998,15.86,28.58,0,52.549999,0
"Cuba",43.110001,0,0,0,0,0,0,0,0,0,0,1.74,0,0,0,0,0,0,0,0,13.5,0,0,5.2399998,0,10.18,0,5.9099998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4299999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",72.120003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.18,0,2.54,16.17,0,7.5900002,0,20.66,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",1.35,0,0,0,0,0,0.079999998,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3099999,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0
"Nicaragua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8199999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",2.6400001,0.0038923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5999999,0.60000002,0,0.52999997,0,0.41,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,2.1400001,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",3.46,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0.090000004,0,1.21,0,0,7.5599999,0,0.85000002,1.26,0,0,0,3.3,0,0.82999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",15.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,17.23,7.2199998,38.93,0,5.3299999,13.19,0,0.36000001,10.72,19.5,1.65,4.8699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0.68000001,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,1.33,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",6.9400001,0,0,0,0,0,0,0,0,0,0,0,0,1.8200001,0.28999999,0,0,0,2.3299999,0.38999999,26.18,0,0.97000003,5.23,0,0,0,17.52,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
