"","United States of America","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Norway","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Japan","Thailand"
"United States of America",0,88.169998,0,0,57.23,0,0,0,0,0,6.3000002,7.8499999,0,3.1300001,97.879997,0,0,18.280001,16.709999,2.1099999,246.11,32.450001,30.139999,127.8,26.83,13.42,6.4699998,161.53999,16,50.450001,0,3.0799999,0,16.549999,4.1700001,3.79,6.8299999,0,0.47999999,0.28,7.6599998,38.43,64.220001,0
"Cuba",47.599998,0,0,0,0,0,0,0,0,0,0,1.5599999,0,0,0,0,0,0,0,0,14.08,0,0,5.5700002,0,9.0100002,0,6.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",73.559998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,0,1.5700001,8.6999998,0,3.98,0,12.07,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",3.0799999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6599998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",2.6900001,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0.79000002,0,0.15000001,0,0.37,0,1.9,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",5.4499998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,6.6300001,0,0.89999998,1.54,0,0,0,4.5,0,0.81999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",5.6900001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2399998,1.66,13.9,1.63,1.92,4.5700002,0,0.28,0,7.2800002,0.75999999,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",10.19,0,0,0,0,0,0,0,0,0,0,0,0,4.7600002,0,0,0,0,0,0,29.92,0,7.1999998,0,0,0,0,17.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",38.869999,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5300002,0,0,0,0,6.4499998,93.379997,0,12.04,26.33,0,7.25,0,37.82,0,23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0,0,3.3499999,0,10.33,0,2.01,4.25,0,2.04,0,5.71,0,2.9400001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",645.5,5.8899999,0.20999999,0,4.1700001,0,0,0,0,0,1.36,0.75999999,0.68000001,8.1899996,44.860001,0,0,30.879999,117.19,2.6500001,0,180.47,142.95,265.23999,34.66,77.93,16.440001,187.2,5.9699998,17.780001,0.0099999998,10.98,17.790001,147.96001,52.830002,0,80.910004,0.0051452001,1.75,1.11,29.41,16.309999,11.49,2.8099999
"Netherlands",104.5,0,0,0,0,0,0,0,0,0,0,2.5599999,0,0,2.75,0,0,0,0,0,57.150002,0,58.799999,0,1.63,0,0,105.61,6.8400002,0,0.0014054,2.3,0,54.540001,7.29,0,0.19,0,0,0,0,0,0.11,0
"Belgium",57.93,0,0,0,2.6600001,0,0,0,0,0,0,0,0,0.63999999,6.1300001,0,0,9.75,46.099998,5.0799999,86.230003,50.259998,0,116.97,2.9300001,10.79,0,89.989998,2.6099999,8.5900002,1.22,0.62,31.219999,45.220001,6.6100001,5.6999998,0.56,0,0.029999999,0,0,3.28,0.66000003,0
"France",114.26,1.51,0,0,4.04,0,0,0,0,0,0,4.0300002,0,2.47,9.54,0,0,0,54.790001,7.71,145.35001,0,73.260002,0,20.809999,33.220001,0,113.29,15.5,35.360001,0.64999998,1.58,5.4899998,58.880001,10.26,0,0.41999999,0,3.4000001,1.26,0,0,20.540001,0
"Switzerland",0.61000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.33,1.46,5.5799999,54.91,0,0.36000001,0,93.589996,17.9,39.169998,0.0035359,0,0.039999999,14.14,0,0,0,0,0,0,0,0,0.0099999998,0
"Spain",27.07,0.69,0,0,1.5,0,0,0,0,0,0,0.54000002,0,0,2.4100001,0,0,0,6.8600001,1,33.439999,0,5.3699999,28.549999,3.1400001,0,8.4499998,17.77,1.85,3.0599999,0,0,0,12.45,1.53,3.21,0,0,0.79000002,0,0,0,0,0
"Portugal",2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,6.71,0,7.7800002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",294.5,3.3299999,0,0,4.5100002,5.77,0,0,0,0,0,0.94999999,0,2.5599999,44.790001,5.5500002,0,34.540001,88.660004,4.4499998,196.36,57.470001,69.349998,103.22,51.639999,38.040001,4.3899999,0,192.89,57.41,3.71,4.0999999,27.969999,246.14999,35.650002,7.5900002,30.530001,0,1.6,0.13,13.11,13.57,4.2800002,0
"Austria-Hungary",43.549999,0,0,0,0,0,0,0,0,0,0,0,0,0,10.64,0,0,0,0,0,38.299999,4.29,9.4200001,16,15.03,0.58999997,0,183.09,0,23.540001,6.1199999,5,7.1399999,30.59,0,0,0,0,0.0073707001,0.0025965001,9.21,0,0.62,0
"Italy",60.150002,0,0,0,0.0099999998,0,0,0,0,0,0,0.059999999,0,0.039999999,4.4099998,0,0,0,9.1700001,1.0599999,87.099998,0,13.4,47.23,16.43,5.9699998,0,76.93,44,0,0.11,0.99000001,17.809999,37.389999,0,0,0,0,0.40000001,0.00017660001,24.450001,15.55,6.02,0
"Yugoslavia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88999999,0.039999999,0.07,0.22,0.12,0,0,1.89,4.3299999,0.18000001,0,0.02,0.15000001,0.23,0,0,0,0,0,0,0.36000001,0,0,0
"Greece",0.77999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4299998,0.27000001,0.43000001,1.99,0,0,0,2.8399999,3.3,1.3200001,0.079999998,0,0.2,5.1999998,0,0,0,0,0,0,2.73,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.23,0,2.0899999,3.78,1.46,0,0,27.76,23.299999,3.55,0.44999999,0.18000001,0,2.01,0,0,0,0,0,0,3.0899999,0,0,0
"Russia",22.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.75,6.6500001,3.6400001,14.23,2.95,0.28,0,136.60001,10.76,5.4400001,0,0.94999999,0.52999997,0,3.28,3.02,2.8399999,0,0,20.360001,3.3599999,9.3599997,5.3899999,0
"Sweden",16.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.509998,4.1900001,2.8399999,5.6500001,0,0.99000001,0,64.809998,0,0,0,0,0,9.0699997,0,6.9499998,11.73,0,0,0,0,0,0,0
"Norway",5.6799998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.33,0,2.3800001,0,0,0.27000001,0,17.309999,0,0,0,0,0,3.2,9.8000002,0,0,0,0,0,0,0,0,0
"Denmark",34.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.59,4.9299998,2.8199999,4.8000002,0,0,0,62.529999,0,0,0,0,0,20.68,20.01,0,0,0,0,0,0,0,0,0
"Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco",0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9200001,0,0.92000002,5.9200001,0,0.33000001,0,1.05,0.15000001,0.18000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1500001,0,0,0,0.75,1.34,0.31,0,0,0,20.09,0,0,0,0,0,0,1.17,0.1,0,0
"Turkey",1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.470001,0,0,0,0,0,0,16.32,23.01,15.02,1.05,1.38,5.46,7.3600001,0,0,0,0,0,5.3299999,0,0,0,0
"China",25.700001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.060001,0,7.8400002,0,0,0,0,16.129999,0,0.58999997,0,0,0,0,0,0,0,0,0,0.57999998,0,0,60.049999,0
"Japan",35.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.650002,0.62,5.3699999,2.54,2.28,0,0,21.66,1.4,0.31999999,0,0,0,0.73000002,0,0,0,0,0,0,0,29.26,0,1.62
"Thailand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0
