"","United States of America","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Bulgaria","Romania","Russia","Sweden","Norway","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Japan","Thailand"
"United States of America",0,0,0,47.709999,0,0,0,0,0,7.0100002,8.3100004,0,6.3699999,98.050003,0,0,13.71,22.23,0,208.61,26.08,27.389999,108.38,23.83,14.07,6.2399998,143.52,15.43,49.279999,0,2.3800001,0,0,11.05,4.48,4.6399999,6.5599999,0,0,0.0099999998,6.3899999,28.790001,70.389999,0
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",45.860001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.01,0,0.95999998,6.25,0,2.6199999,0,8.6700001,0,0.91000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",3.6700001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6300001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6600001,0.55000001,0,0.13,0,0.70999998,0,2.1300001,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4100001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",7.0100002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,1.4299999,0,0,7.6799998,0,1.17,1.23,0,0,0,4.2399998,0,0.92000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",21.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.84,5.4299998,50.740002,0,8.2200003,15.87,0,0,9.1099997,26.16,2.8199999,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
