"","United States of America","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Bulgaria","Romania","Russia","Sweden","Norway","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Japan","Thailand"
"United States of America",0,61,0,6.6500001,57,0,0,2.8199999,1.7,0,11.78,6.2199998,0,10.3,27,0.23,0,19.879999,23.559999,1.5599999,261,42.18,21.9,115,27.629999,11.15,0.79000002,163,11.67,47.200001,0,2.53,0,0,20.66,6.6199999,7.0300002,2.1800001,0,0.14,0.56999999,6.73,19,79,0
"Cuba",60.009998,0,0,0,0,0,0,0,0,0,0,0.15000001,0,0,0,0,0,0,0,0,13.69,0,0,6.1999998,0,9.1999998,0,7.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",4.2199998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80000001,0,0,0.28,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",56.810001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.06,0,1.6,9.5500002,0,2.8900001,0,13.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",2.6400001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,1.5599999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,0,0,0,0,0,0.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0.64999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",1.8099999,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0.52999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079999998,0
"Nicaragua",2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0.44,0,0,0,0.63999999,0,0.20999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
