"","United States of America","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Bulgaria","Romania","Russia","Sweden","Norway","Denmark","Ethiopia","Iran","Turkey","China","Japan","Thailand"
"United States of America",0,51.86,0.18,0.16,36.68,1.19,0,4.29,0.52,0,11.08,1.56,1.03,2.45,48.93,1.29,0.47,9.21,46.39,3.83,370.39,140.76,50.64,33.79,1.62,4.97,8.04,221.81,3.16,44.05,0,1.25,0.11,6.14,17.98,8.83,2.19,21.34,0,0.89,1.32,14.26,2.51,0
"Cuba",51.86,0,0,0,1.17,0,0,2.398,0,0,0,0,0.013,0,0,0,0,0,0.25,2.37,6.46,0.44,2.35,5.65,0,11.96,0,4.93,0,0.67,0,0,0,0,0,0,1.9286,0,0,0,0,0.127,0.158,0
"Haiti",0.18,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,9.17,0,0.37,0,0.103,0,3.37,0,0,0,0,0,0,0,9.02,0,0,0,0,0,0,9.3,0
"Dominican Republic",0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0.61,0,0,0,0.39,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",36.68,1.17,0.1,0,0,9.03,0,0,0,0,0,0,0,0,0.115,0,0,0,1.45,0,2.13,0.74,1.14,4.57,0,1.95,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",1.19,0,0,0,9.03,0,0.04,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,9.12,9.4,0,9.11,0,2.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,0
"Honduras",0,0,0,0,0,0.04,0,0.0298,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",4.29,2.398,0,0,0,0.0011,0.0298,0,0.01,0,0,0,0,0,0,0,0,9.18,0,0,0.01,0.12,0,4.41,0,0.01,0,3.36,0,2.64,0,0,0,0,0,0.66,0.616,0.033,0,0,0,0,9.08,0
"Nicaragua",0.52,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,1.35,0,0.047,0,1.25,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0
"Panama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",11.08,0,0,0,0,0,0,0,0,0,0,0.41,0.04,0,0,0,0,0,0,0,0.27,0,0.09,3.56,0,0.56,0,0.78,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
