"","United States of America","Cuba","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Ethiopia","Iran","Turkey","Afghanistan","China","Japan","Thailand"
"United States of America",0,140.22,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,139.58,0,1137.3701,0,18.97,0,82.16,0,0,0,0,0,0,2.92,14.2,0,0,0,0,0,0,0,0,177.62,133.32,0.0096,0,0,0,0,26.6595,0
"Cuba",140.22,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,1.18,1.14,0,79.14,4.29,0,49.64,0,2.8,0,9,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0.11,0.1,0,0,0,0,0,0,0
"Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,2.2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.0002,0,0,0,0,0,0.09,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0.05,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,3.28,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,1.7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,4.54,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82,0,10.15,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,1.18,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.44,0
"Brazil",0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,12.56,0,117.34,0,0,0,0.85,0,0.02,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5.96,9.24,0,0,0,0,0,2.03,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,0,0.14,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0.14,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1.86,0,0.0055,1.54,0,0,0,0.09,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"Chile",0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.76,0,10.35,0,0,0,0.47,0,0,0,0,0,0,0,0.0086,0,0,0,0,0,0,0,0,0.42,0.3,0,0,0,0,0,1.62,0
"Argentina",0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0,0,0,141.37,63.02,0,211.03,0,0,0,0.64,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,27.29,23.26,0,0,0,0,0,7.65,0
"Uruguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,63.29,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",0,79.14,0,0,0,0,0,0,0,0,0,0,0,0,0.0055,0,141.37,0,0,136.01,0,989.5,0,0,0,4.39,0,0,0,0,0,0,0,46.2,0,0,0,0,0,0,0,0,116.31,148.55,0.12,0,0,0,0,41.869,0
"Netherlands",139.58,4.29,0.93,1.25,0,0.04,0.01,0,0.7,2.82,0.06,0.4,12.56,0.0024,1.54,10.76,63.02,1.31,136.01,0,0,15.57,15.31,8.47,6.63,349.94,0,0,0,0,2.06,0.0077,0,10.09,0,0,8.39,0,0,0,0,6.31,8.83,8.89,0,0,8.21,0,9.62,5.05,0.14
"Belgium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",1137.3701,49.64,2.2,0.05,0.12,3.28,1.7,0,4.54,10.15,1.18,1,117.34,0.14,0,10.35,211.03,63.29,989.5,15.57,0,0,23.71,182.64,24.43,103.33,0.05,0.52,0.0055,6.62,52.81,0,0.32,7.04,0.14,0.13,9.53,0,0,0,2.88,19.42,9.26,10.16,9,0,16.79,0,76.5,45.46,0.6
"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.31,0,23.71,0,0,0,91.65,0,0,0,0,0,0,0.67,2.5,0,0,0,0,0,0,0,0,8.07,8.12,0,0,0,0,0,7.26,0
"Spain",18.97,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,8.47,0,182.64,0,0,0,0.74,0,0.0097,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,12.14,4.66,0.005,0,0,0,0,0.24,0
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.63,0,24.43,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,2.54,0,0,0,0,0,0.0036,0
"Germany",82.16,9,9,9,9,9,9,9,9,9,9,9,0.85,9,9,0.47,0.64,9,4.39,349.94,0,103.33,91.65,0.74,9,0,9,9,9,9,10.05,9,9,9,9,9,9,9,9,9,9,68.79,38.43,78.02,9,9,9,9,0.0005,0.13,9
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0.52,0,0.0097,0,9,0,0,0,0,12.1,0,0,0,0,0,0,0,0,0,0,1.21,0.56,0,0,0,0,0,0,0,0
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0,0,0,0,0,0,0,0
"Czechoslovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62,0,0,0,9,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0.3,0.35,0,0,0,0,0,0,0,0
"Italy",0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0,52.81,0,0,0,10.05,0,12.1,0,3.58,0,1.02,1.53,4.09,0,0,0,0,0,0,0,0,2.08,3.03,0,0,0,0,0,16.17,0
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0077,0,0,0,0,0,9,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0
"Yugoslavia",2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.67,0,0,9,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greece",14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086,0.01,0,46.2,10.09,0,7.04,2.5,0.02,0,9,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0.34,0.19,0.24,0,0,7.05,0,0,0,0
"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0,0,0,0,0,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39,0,9.53,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0.8,0,0,0,0,0,33.01,0
"Estonia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0.1,0,0,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0.0005,0,0,0,0,0,0,0
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,5.77,0,0,0,0,0,0,0
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,0,19.42,0,0,0,68.79,0.15,1.21,0,0.3,0,0,0,0.34,0,0,0,0.51,0.27,0,0,0,27.64,14.14,0,0,0,0,0,0.87,0
"Norway",177.62,0.11,0.23,0,0,0,0,0,0,0,0,0,5.96,0,0,0.42,27.29,0,116.31,8.83,0,9.26,8.07,12.14,0.6,38.43,0,0.56,0.0004,0.35,2.08,9,0,0.19,0.0018,0,1.53,0,0,0,0.1,27.64,0,23.28,0,0,0.01,0,2.6,3.79,0.47
