"","United States of America","Canada","Cuba","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Afghanistan","China","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,123.62,206.49,47.22,0,23.02,1.92,1.91,0.39,9.8,0,14.01,0.93,17.01,2.34,11.93,1.86,69.32,93.58,17.01,1844.2,101.8069,120.82,0,478.458,88.54,10.93,19.71,404.85,69.19,17.44,0,496.56,228.4,0,0,19.32,0.19,7.4,13.62,0,6.82,0,23.31,128.07,92.67,98.32,0,0.0397,77.44,1.49,0,0,78.15,26.4325,0,2.38,129.75,16.13
"Canada",123.62,0,19.64,0.46,0,0,0,0,0,0,0,0,0,9.4,2.6,0,9.0003,0,0,0,218.03,2.74,15.34,0,7.12,11.36,0,0,5.73,9.13,9,0,9.0028,19.16,9,9.0012,17.19,0,0,0,9,9,9,0,0,8.91,0,0,9,16.22,0,0,0,15.31,7.21,0,0,20.85,4.55
"Cuba",206.49,19.64,0,4.73,0.01,0,0.009,0,0.0015,0,0,0,0,0,0.16,0,0,2.2353,1.21,1.5,86.2503,4.25,0,0,2.3857,0,11.26,0,2.83,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0.5,0.13,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",47.22,0.46,4.73,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,32.43,0,8.95,4.74,0.39,0,8.42,10.64,2.89,0,0.34,0,10.11,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0.0208,0.034,0,0,0,0,0,0,0,0.3,0,0,0,0
"Guatemala",0,0,0.01,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0.1,0.0012,0,0.49,0,0.14,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031,0,0,0,0,0,0,0,0.25,0,0,0,0
"Honduras",23.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.39,0,0,0,0.23,0,9.1,0,0.31,0,0,0,0,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",1.92,0,0.009,0,0,0,0,0.05,0.0211,0.123,0,0,0,0,0,0,0,0.1355,0,0,0.59,0.01,0,0,1.51,0,0.05,0,0.12,0,0,0,0,9.03,0,0,0,0,0,0,0,0,0,0,0.7125,0.797,0.067,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",1.91,0,0,0,0,0,0.05,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0836,0,0,1.56,0,0.08,0,0.138,0,0,0,0,0.0331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0049,0,0,0,0,0
"Costa Rica",0.39,0,0.0015,0,0,0,0.0211,0.5,0,0.04,0.0095,0,0,9.04,0,0,0,0,0,0,0.03,0.22,9.0032,0,0.17,0,0.1189,0,1.13,0,0,0,0,0.197,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.01,0,0,0,0,0,0,0,0.04,0,0,0,0
"Panama",9.8,0,0,0,0,0,0.123,0,0.04,0,0,0,0,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0
"Colombia",0,0,0,0,0,0,0,0,0.0095,0,0,0.33,0.12,0,0,0,0,0,0,0,0,0.4,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",14.01,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,11.11,0.83,9.03,0,1.7537,0,2.61,0,1,0,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0.93,0,0,0,0,0,0,0,0,0,0.12,0,0,0.1,0,0,0,0.08,0,0,0.6,0.91,0.21,0,0.56,0,0.12,0,0.29,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",17.01,9.4,0,0,0,0,0,0,9.04,0.144,0,0,0.1,0,0,1.46,0,7.62,2.0854,0,46.25,0.53,0.1,0,1.34,0,1.91,0,1.37,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0.0037,0,0,0,0,0,0,0,1.55,0,0,1.85,11.25
"Brazil",2.34,2.6,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.0975,3.19,2.29,2.91,85.04,7.32,0.38,0,26.9948,2.53,2.83,4.38,2,0,0.21,0,0.51,0.91,9,0.0007,0.03,0,0,0,0,0,0,0.29,5.36,1.07,4.81,0,0,4.71,0,0,0,0,2.4,0,0,0,0
"Bolivia",11.93,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0.24,0,0,1.7,0.12,0,12.81,0.0094,0,0,0.3967,0,0.18,0,0.44,0,0,0,0,0.1595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",1.86,9.0003,0,0,0,0,0,0,0,0,0,0,0,0,0.0975,0,0,0.0003,2.38,1.03,2.5212,0.1148,0.0051,0,1.06,0,0.18,0,0.34,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"Chile",69.32,0,2.2353,0,0,0,0.1355,0,0,0,0,0,0.08,7.62,3.19,1.7,0.0003,0,0.53,0,3.39,11.324,6.25,0,10.0307,0,0.64,0,4.66,0,0.0043,0,0,1.73,0,0,0.12,0,0,0,0,0,0,0,0,6.205,2.85,0,0,0,0,0,0,0,4.6317,0,0,0.52,0
"Argentina",93.58,0,1.21,32.43,0,0,0,0,0,0,0,0,0,2.0854,2.29,0.12,2.38,0.53,0,3.21,327.46,70.0601,45.68,0,159.9076,7.55,25.97,6.34,20.57,0.0017,0.2085,0,0.08,64.92,0,0.02,0.0184,0,0,0,0,0,0,2.95,20.59,14.49,20.57,0,0,6.3,0,0,0,0,4.79,0,0,0,0
"Uruguay",17.01,0,1.5,0,0,0,0,0,0,0,0,0,0,0,2.91,0,1.03,0,3.21,0,7.51,0.47,4.53,0,15.9627,0,1.02,0.1125,2.45,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0.0052,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",1844.2,218.03,86.2503,8.95,3.44,10.39,0.59,0.02,0.03,0,0,11.11,0.6,46.25,85.04,12.81,2.5212,3.39,327.46,7.51,0,29.2729,32.5,0,266.5926,59.55,122.88,41.4,15.05,0,6.57,0,2.27,88.58,0,13.3031,23.7191,4.21,22.42,85.22,0,57.9,0,9.86,58.76,56.2702,3.61,0,1.31,195.15,9,95.86,0,22.47,18.0469,0,15.24,34.49,62.41
"Netherlands",101.8069,2.74,4.25,4.74,0.1,0,0.01,0.0836,0.22,0,0.4,0.83,0.91,0.53,7.32,0.0094,0.1148,11.324,70.0601,0.47,29.2729,0,60.29,0,9.1285,2.8885,2.34,0.97,228.6365,0.23,8.19,0.07,13.83,0.2414,0,0.07,2.55,0.09,4.07,0.96,0,2.04,0,7.54,12.8514,9.48,17.62,0.04,0.0003,1.16,0,0.05,0.0173,2.69,6.74,0,0.7,1.03,0.13
"Belgium",120.82,15.34,0,0.39,0.0012,0,0,0,9.0032,0,0,9.03,0.21,0.1,0.38,0,0.0051,6.25,45.68,4.53,32.5,60.29,0,19.17,26,8.43,0.3,12.86,24.23,0,0.53,0,18.9,0.99,0,0,1.84,19.05,3.51,1.24,0,12.36,0,8.75,8.46,2.44,11.37,0,0,4.16,0,5.43,12.54,1.12,0.18,0,0.4,17.09,1.26
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",478.458,7.12,2.3857,8.42,0.49,0.23,1.51,1.56,0.17,0,1.92,1.7537,0.56,1.34,26.9948,0.3967,1.06,10.0307,159.9076,15.9627,266.5926,9.1285,26,0,0,40.0806,34.6577,1.0111,93.1584,1.06,3.5,0.0088,27.4,9.4539,0,1.26,19.22,1.59,19.89,0.2959,0.47,4.25,0,7.75,21.7482,2.8395,8.04,9,9,3.43,0,22.6056,0,48.2593,21.6095,0,0.53,55.47,0.4091
"Switzerland",88.54,11.36,0,10.64,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,7.55,0,59.55,2.8885,8.43,0,40.0806,0,12.12,1.8073,97.91,0.05,9.33,0,4.15,34.87,0,4,0.68,0.07,3.67,1.09,0,0.01,0,0,5.42,3.65,9.4,0,0,13.42,0,0,0,1.59,0.88,0,0,5.33,0
"Spain",10.93,0,11.26,2.89,0.14,9.1,0.05,0.08,0.1189,0,0,2.61,0.12,1.91,2.83,0.18,0.18,0.64,25.97,1.02,122.88,2.34,0.3,0,34.6577,12.12,0,3.92,6.65,0,0.36,0,0.0003,0.98,0,0.0017,1.5,0,6.23,9.21,0,0,0,9.84,0.47,3.73,2.29,0,0.01,0,0,1.29,0,0,0.31,0,0,0,0
