"","United States of America","Canada","Cuba","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,107.55,42.63,42.93,0.05,19.85,2.61,2.41,1.44,5.95,0,9.01,0.48,14.95,21.62,1.33,0.04,8.57,97,25.15,826.98,88.2118,104.45,0,68.0405,25.5,85.51,14.3,292.11,23.89,0.49,1.16,43.8,198.96,0,2.34,0.748,1.07,5.69,1.86,2.83,78.67,0.03,8.33,34.98,26.73,84.2391,0,0.01,31.54,0,0,0,37.44,0,25.87,0,2.9,152.91,24.55
"Canada",107.55,0,6.67,3.46,0,0,0,0,0,0,0,0,0,0.0328,1.92,0,9,0,0,0,128.88,8.51,11.91,0,2.11,29.46,0,0,2.12,9.2,9.02,0,0,11.97,9,0.0001,3.62,0,0,0,9.01,9.13,9,0,0,4.82,0,0,9,7.93,0,0,0,8.4,0,2.72,0,0,20.61,6
"Cuba",42.63,6.67,0,7.57,0.0003,9.11,0.069,0,0.0061,0,9,0.0278,0,0.1291,0.03,0,0,1.5306,1.05,0.11,7.91,0.29,0,0,5.2089,0,9.29,0,4.92,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0.0016,0,0.3185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",42.93,3.46,7.57,0,0.05,9.07,0,0,0,0,0,0,0,0,0,0,0,0,19.48,0,0.69,4.14,1.9,0,18.05,3.4636,9.09,0,9.64,0,0.2,0,0.24,2.04,0,0,0.008,0,0,0,0,0,0,0,0,0.03,0.08,0,0.03,0,0,0,0,0,0,0.5,0,0,0,0
"Guatemala",0.05,0,0.0003,0.05,0,9.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0.13,0.019,0,0.53,0,0.135,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,0,0,0,0,0,0,0,0.14,0,0,0,0
"Honduras",19.85,0,9.11,9.07,9.02,0,0,0,0,9.01,0,0,0,0,0,0,0,0,0,0,0.49,0.02,0,0,0.2297,0,0.065,0,0.5,0,0,0,0,9.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0
"El Salvador",2.61,0,0.069,0,0,0,0,0.01,0.09,0.008,0,0,0,0,0,0,0,9.02,0,0,1.07,0.01,0,0,0.35,0,0.08,0,0.19,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0.83,1.259,0.157,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",2.41,0,0,0,0,0,0.01,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0.55,0.0289,0,0,0.55,0,0.03,0,0.05,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",1.44,0,0.0061,0,0,0,0.09,0.16,0,0.13,0.0009,0,0,0.02,0,0,0,0,0,0,0.69,0.06,9.0052,0,0.08,0,0.04,0,0.06,0,0.0001,0,0,0.0491,0,0,0.0012,0,0,0,0,0,0,0,0,0.0001,0.0068,0,0,0,0,0,0,0,0,0.0078,0,0,0,0
"Panama",5.95,0,0,0,0,9.01,0.008,0,0.13,0,0,0,0,9.29,0,0,0,0,0,0,0.79,0,9.001,0,0.29,0,9.1,0,0.14,0,0,0,0,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.54,0,0.3,0,0,0,0
