"","United States of America","Canada","Cuba","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,416,376.44,140.14,11.09,7.1799998,6.5100002,7.8099999,3.4100001,2.1500001,50.009998,7.6700001,3.6400001,24.4,143.23,9.6599998,0.79000002,91.800003,115.27,14.28,274.60001,0,77.519997,45.610001,0,178.05,38.119999,0,1.9,161.19,3.6300001,4.6900001,0,17.309999,69.57,0.38999999,0,14.38,0.75999999,0.14,1.3099999,0.49000001,0.75999999,0.16,8.6499996,36.18,18.690001,5.8699999,0,0,9.3000002,5.5799999,3.8599999,0,187.60001,0,346.94,0,0.059999999,41.080002,12.31
"Canada",598.14001,0,10.78,2.8399999,0,0,0,0,0,0,0,0,0,2.9400001,0.34,0,0,0,0,0,152.78999,0,2.3900001,5.3099999,0,15.68,8.2600002,0,0,5.3499999,0,0.0099999998,0,0,1.84,0,0,0.5,0,0,0,0,0,0,0,0,0.63999999,0,0,0,0.12,0,0,0,1.42,0,6.2600002,0,0,1.03,3.24
"Cuba",181.62,7.46,0,5.7399998,0.23,0.0099999998,0.63,0.31999999,0.050000001,0.039999999,0.02,0.5,0.19,1.04,0.41999999,0,0,0.38999999,0.77999997,1.54,12.95,0.69,1.83,0,0,8.3800001,0.41,13.19,0.02,7.9200001,0,0.1,0,0,1.1900001,0,0,0,0,0.0099999998,0.000018999999,0,0,0,0,0.62,1.64,0.72000003,0,0,0,0.001943,0.0038980001,0,1.34,0,0.66000003,0,0.55000001,0,0
"Mexico",140.14,0.75,0.11,0,0.02,0.003,0,0,0,0,0,0,0,0,0.22,0,0.00075100001,0,0.15000001,0,10.43,0,0.49000001,1.03,0,6.6300001,1.77,3.01,0,9.5200005,0.00642,0.23,0,0.23,0.67000002,0,0.001009,0.0046799998,0,0,0,0,0,0.002971,0,0,0.18000001,0.15000001,0,0,0,0,0,0,0,0,0.34999999,0,0,0,0
"Guatemala",8.1400003,0,0.0099999998,0.12,0,0.0020000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0799999,0,0.16,0.059999999,0,0.38,0,0.14,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0
"Honduras",9.7799997,0,0.0099999998,0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0.050000001,0,0,0.25999999,0,0.039999999,0,0.19,0,0,0,0,0.079999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0089999996,0,0,0,0
"El Salvador",5.3499999,0,0.0099999998,0,0,0,0,0.039999999,0.0090918997,0.0049999999,0,0,0,0,0,0,0,0.0049999999,0,0,1.52,0,0.079999998,0.44999999,0,0.02,0,0.090000004,0,0.44999999,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0.039999999,0.02,0.0049999999,0,0,0,0,0,0,0,0,0.31999999,0,0,0,0
"Nicaragua",5.4499998,0,0,0,0,0,0.0099999998,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.86000001,0,0,0,0,0.090000004,0,0.02,0,0.22,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059405998,0,0.029999999,0,0,0,0
"Costa Rica",2.8199999,0,0.00336,0,0,0,0.0086374003,0.090000004,0,0.28,0.0022730001,0,0,0.039999999,0,0,0,0,0,0,0.74000001,0,0.059999999,0.050000001,0,0.090000004,0,0.050000001,0,0.30000001,0,0,0,0.001538,0.07,0,0,0,0,0,0,0,0,0,0,0,0.0040770001,0.0060439999,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0
"Panama",8.5500002,0,0.050000001,0,0,0,0.28999999,0,0.13,0,0.090000004,0,0,0.07,0,0,0,0,0,0,1.37,0,0,0.02,0,0.75999999,0,0.11,0,0.50999999,0,0,0,0,0.079999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47999999,0,0.15000001,0,0,0,0
