"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,134.63,78,10.51,120,4,0.81,10.23,0.69,0.5,0,25.74,20.98,0.99,2.04,115.63,2.81,0.52,47.382,399.83,19.91,627,13.38,23.92,45.98,0,142.65,33.58,38.43,9.48,445.18,38.31,25.36,3.15,12.37,170.3,0.45,4.95,2.3,0,0,47.1,1.26,1.97,0.72,13.05,20.06,15.02,69.09,0,0.007,38.03,6.82,3.24,0,0.12,0,131.14,0,1.06,116.79,22.58
"Canada",134.63,0,0.65,6.78,0.26,0,0.87,0,0,0,0,0,0,5,5.7,4.87,0,0.04,0,4.06,0,343.08,6.42,7.56,11.58,0,2.58,10.72,0,0,20.94,0.78,0.17,0,1.27,12.21,0,0.0886,4.94,0,0,0,0,0.0004,0.0003,0,0,6.74,0.13,0,0.01,10.45,0,0,0,4.47,0,25.33,0,0,9.4,13.88
"Cuba",78,0.65,0,0.59,8.58,0.1816,0.33,0.4368,0.3,0.09,0.01,0.01,0.6113,0.15,0.0105,1.1,0.0014,0,1.5985,1.23,5.11,44,0.92,0.34,2.86,0,5.68,1.46,11.1,0.06,7.2,0.02,0.09,0.0038,0,2.54,0,0,0.0001,0,0.07,0,0,0,0,0,0.36,2.472,0.59,0,0,0,0.0014,0.0096,0,0.16,0,0.83,0,0.33,0.45,0
"Dominican Republic",10.51,6.78,0.59,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0,4.47,0,0.14,0,0,2.25,0,0.2191,0,1.31,0.0002,0.11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",120,0.26,8.58,0.12,0,0,0.05,0,0,0,0,0,0,0,0,44.964,0,0,0,4.4,11.43,6.92,0,2.65,2.68,0,4.07,0,3.51,0,2.92,0.03,0.16,0,0.41,0,0,0.0063,0.004,0,0,0,0,0,0,0,0,0.09,0.08,0,0,0,0,0,0,0,0,0.7,0,0,0,0
"Guatemala",4,0,0.1816,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0.18,0,0,0.64,0,0,0,7.3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"Honduras",0.81,0.87,0.33,0,0.05,0.053,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0.13,0,0,0,0.21,0.0014,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0
"El Salvador",10.23,0,0.4368,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0.78,0,0,0,3.77,0.04,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3425,0,0,0,0
"Nicaragua",0.69,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.178,0,0,9,0,0,0,0.7,0,0.52,0,0,2.67,0,0.56,0,0.13,0.01,0,0,0,0.12,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0
"Costa Rica",0.5,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0.03,0,0,0.06,0,0.21,0,0.45,0.02,0.0015,0,0.003,0.255,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0.03,0,0,0,0
"Panama",0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",25.74,0,0.01,0,0,0,0,0,0,0,0,0,27.62,0,0,0,0,0,0,0,0,15.64,0,0.55,0,0,2.18,0,0,0,7.43,0.0057,0.02,0,0.2,0,0,0.0034,0.0015,0,0,0,0,0,0,0,0,0.07,0.29,0,0,0,0,0,0,0,0,0.36,0,0,0,0
