"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,974.97998,242.88,8.1300001,0,15.6,13.48,0,6.8299999,7.6399999,0.23999999,94.650002,0,5.6799998,30.719999,0,3.95,0.54000002,96.209999,63.84,11.33,232.91,1.49,101.85,0,0,126.41,38.810001,40.919998,2.3499999,198.49001,1.65,9.4099998,0.68000001,25.01,75.129997,0.38,0.87,16.17,0.66000003,0,11.91,0.33000001,1.0700001,0.94,9.1999998,46.200001,21.24,3.01,0,0.0099999998,9.54,7.96,0,0,0,0,0,405.64001,0,0,90.400002,18.07
"Canada",609.71997,0,11.06,5.71,0,0,1,0,0,0,0,0,0,0.059999999,5.1100001,0,0,0.007828,0,0.81999999,0,163.73,0.28999999,6.8600001,6.9499998,0,19.15,7.46,0,0,9.9799995,0.029999999,0.38,0,1.63,2.5899999,0,0.0068799998,0.33000001,0,0,0.029999999,0,0,0.0023749999,0,0,0.89999998,0.15000001,0,0.0099999998,0.63,0,0,0,0,2.54,0,9.5600004,0,0,5.6999998,2.72
"Cuba",160.05,8.5200005,0,0.66000003,6.71,0.0099999998,0.079999998,0.2,0.059999999,0.007063,0.039999999,0.02,0.44,0.23,0.07,0.16,0,0,0.38999999,1.48,4.02,12.47,0.97000003,2.26,3.6300001,0,11.87,0.86000001,11.51,0.050000001,7.7399998,0,0.17,0.00039599999,0,2.26,0,0,0.000504,0,0.07,0,0,0,0,0,0.63,1.91,0.60000002,0,0,0,0.00011,0.002477,0,0,0.80000001,0,0.75,0,0.31,0.000352,0
"Dominican Republic",14.57,0.46000001,0.029999999,0,0.02,0,0,0,0,0,0,0,0,0,0.000367,0,0,0,0,0.00088499999,0,6.1100001,0,0.14,0.30000001,0,0.0099999998,0,0.001663,0,0.20999999,0,0.000871,0,0,0.34999999,0,0,0.000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",0,0,0.039999999,0.14,0,0.0099999998,0.029999999,0,0,0,0,0,0,0,0,0,0,0.0026420001,0,0.16,0.003,0,0,0.88999999,0,0,8.5,0,0,0,13.56,0.039999999,0.33000001,0,0.80000001,0,0,0.0086899996,0.0099999998,0,0,0,0,0,0.00035700001,0,0,0.23999999,0.12,0,0.000087,0,0,0,0,0,0,0,0.56999999,0,0,0,0
"Guatemala",15.21,0,0.002481,0.001186,2.6700001,0,0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47,0,0.27000001,0.34,0,0.56,0,0.25999999,0,3.51,0,0.001455,0,0.00041400001,0,0,0,0.000142,0,0,0,0,0,0,0,0,0.0099600004,0.0094020003,0,0,0,0,0,0,0,0,0,0.38999999,0,0,0,0
"Honduras",8.4399996,0.0099999998,0.13,0,0.1,0.039999999,0,0.11,0.039999999,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0.75,0,0.029999999,0.02,0,0.19,0,0.050000001,0,0.44999999,0,0.001761,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0
"El Salvador",0,0,0.0099999998,0,0,0,0,0,0,0.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.2,0,0.001603,0,0,0,0,0,0.000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",7.04,0,0.0099999998,0,0,0,0.11,0,0,0.02,0,0,0,0,0.18000001,0,0,0,0,0,0,1.11,0,0,0,0,0.25,0,0.050000001,0,0.70999998,0,0.000356,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0.07,0,0,0,0
"Costa Rica",7.6999998,0,0.0099999998,0,0,0,0,0.0099999998,0.18000001,0,0.31,0.0020000001,0,0,0.25,0,0,0,0,0,0,1.99,0,0.30000001,0.13,0,0.17,0,0.20999999,0,1.7,0,0.00030700001,0,0.00065200002,0.30000001,0,0,0,0,0,0,0.0014290001,0,0,0,0,0.029999999,0.0099999998,0,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0
"Panama",10.28,0,0.12,0,0,0,0,0,0,0.19,0,0,0,0,0.13,0,0,0,0,0,0,1.28,0,0.17,0.090000004,0,0.58999997,0,0.15000001,0,0.17,0,0.0028890001,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95999998,0,0.2,0,0,0,0
"Colombia",52.290001,0,0.050000001,0,0,0,0,0,0,0.22,0,0,0.62,0.55000001,0,0,0,0,0,0,0,18.129999,0,2.6099999,3.76,0,6.5999999,0,2.1800001,0,13.99,0,0.0099999998,0,0.039999999,3.8199999,0,0,0.0019690001,0,0,0,0,0,0,0,0,0.039999999,0.40000001,0,0,0,0,0,0,0,0,0,0.49000001,0,0,0,0
"Venezuela",0,0,0.029999999,0.00078900001,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0,4.1999998,0,0,5.02,0,0,0,7.3299999,0,0.0065540001,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.059999999,0.31999999,0,0,0,0,0,0,0,0,0,0.090000004,0,0,0,0
"Ecuador",4.4899998,0.001125,0.029999999,0,0,0,0,0,0,0,0,0.0083250999,0,0,0,0,0,0,0.079999998,0,0,2.3900001,0,0.16,0.44999999,0,0.49000001,0,0.15000001,0,1.14,0.000014,0.001167,0,0,0.62,0,0,0.000043,0,0,0,0,0,0,0,0.0099999998,0.029999999,0,0,0,0,0,0,0,0,0.0099999998,0,0.02,0,0,0,0
"Peru",33.610001,0.79000002,0.11,0,0,0,0,0,0.0019801999,0.1,0,0,0,0.27000001,0,0,0.0099999998,0,1.54,0.25,0,11.35,0,0.86000001,1.9,0,2.71,0,0.64999998,0,7.1700001,0,0.000096999996,0,0,2.8499999,0,0,0.000168,0,0,0,0,0,0,0,0,0.34,0.050000001,0,0,0,0,0,0,0,0,0,0.88999999,0,0,1.5700001,0
"Brazil",0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81999999,0.050000001,0.039999999,26.41,4.4400001,61.259998,0,4.6999998,0,0,20.67,4.1300001,0,2.8900001,49.369999,0.27000001,0.41999999,0,0.68000001,0,0,0.001588,0.029999999,0,0,0,0,0.0099999998,0,0.85000002,2.47,2.5,0.91000003,0,0,0.16,0,0,0,0,0,0,0.75,0,0,0,0
"Bolivia",6.9499998,0,0.02,0,0,0,0,0,0,0,0,0,0,0,1.11,0.31999999,0,0,2.6700001,1.16,0,5.2399998,0,0.02,0.46000001,0,0.85000002,0,0.27000001,0,2.76,0,0.001959,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0.89999998,0.029999999,0,0,0,0.000090000001,0,0,0,0.0000030000001,0,0,0,0,0,0.0098900003,0,0,0,1.97,0.039999999,3.23,0,0.02,0.23999999,0,0.44,0,0.0061989999,0,0.14,0,0.001088,0,0,0.69999999,0,0,0,0,0,0,0,0,0,0.000109,0,0,0,0,0,0,0,0,0,0,0,0,0.20999999,0,0,0,0
"Chile",51.02,0,0.49000001,0.000126,0,0,0,0,0,0,0,0,0,0.66000003,9.6700001,2.0699999,0.31,0.000018000001,0,8.4899998,0,26.870001,0,1.2,8,0,6.5,0,1.78,0,18.950001,0.0099999998,0.18000001,0,0.14,5.5,0,0.11,0,0,0,0,0,0,0,0,0,1.33,0.17,0,0,0,0,0,0,0,0,0,0.98000002,0,0,0,0
"Argentina",179.47,7.27,2.6700001,0,8.9399996,0,0,0,0,0,0,0,0,0.039999999,20.190001,37.400002,0.91000003,4.02,2.47,0,4.9099998,149.75999,0.029999999,8.4700003,34.700001,0,46.580002,6.8299999,16.98,0.25999999,75.860001,0.22,1.23,0,1.25,65.510002,0.002967,0.64999998,0.30000001,0,0,0.15000001,0.0051310002,0.0068180002,0.0099999998,1.29,4.6599998,2.3499999,0.97000003,0,0,0,0,0,0,0,0,0,3.3299999,0,0,0,0
"Uruguay",21.65,0,0.50999999,0.0099999998,1.54,0,0,0,0,0,0,0,0,0,0,3.9000001,0,0.28999999,0,5.4899998,0,9.96,0,0.87,4.0999999,0,5.4099998,0,3.47,0,8.2600002,0,0.0061530001,0,0.02,4.0999999,0,0,0.000139,0,0,0,0,0,0,0,0,0.14,0.0099999998,0,0,0,0,0,0,0,0,0,0.58999997,0,0,0,0
