"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,342.75,80.37,8.03,14,2.1,7.65,5.24,1.62,4.64,9.25,36.22,6.37,0.86,1.76,81.36,1.64,0.98,39.23,102.58,17.59,562.22,19.14,25.45,19.75,0,108.89,8.13,27.97,11.72,170.97,39.52,17.18,6.56,11.34,69.52,0.32,4.12,9.25,1.2,0,121.72,0.04,1.73,0.35,10.61,17,8.73,59.26,0,0.8,64.49,1.39,0,0,0,0,20.3,0,129.0654,0,3.23,113.75,1.12
"Canada",342.75,0,1.41,1.4,1.65,0,0,0,0,0,0,0,0.07,9.05,9.3,0.65,0,0.06,0.24,1.57,9.09,23.05,3.49,3.78,8.65,0,7.93,8.49,3.26,0,50.34,0.15,0.8,0.01,2.09,31.55,0.0012,0.04,8.94,0,0,0.55,0.03,0.0041,0.0017,0.7,1.34,4.04,3.94,0,0.0319,12.39,0,0,0,0,0,21.31,0,19.17,0,0.01,12.63,15.27
"Cuba",80.37,1.41,0,0.61,1.32,0.1,0,0.304,0.13,0.1433,0.2767,0.58,1.21,0.3582,0.01,1.0052,0.01,0.1094,0.84,3.22,1.08,25.99,0.868,1.48,2.39,0,3.18,0.88,6.85,0.05,5.22,0.2387,0.11,0.0002,0.0089,1.91,0,0.0002,0.0694,0.0003,0.02,0.0083,0,0,0,0.0021,0.39,1.94,0.59,0,0,0.17,0.0015,0.0068,0,0,0,0.32,0,0.86,0,0.77,0.23,1.22
"Dominican Republic",8.03,1.4,0.61,0,0.0637,0.001,0,0,0,0,0,0,0,0,0.0018,0,0,0,0.0001,0.0017,0.0003,7.52,0,0.02,0.21,0,2.76,0,0.23,0,0.23,0.0001,0.0012,9,0,0.23,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"Mexico",14,1.65,1.32,0.0637,0,9.3,0,0,0,0,0,0,0,0,0,2.071,0,0.11,0,3.93,9.96,17.52,0,2.3,16.99,0,0.51,1.7765,0.67,0,7.97,0.43,0.1,0,0.24,0.58,0.0006,0,0.0092,0,0,0,0,0,0.0499,0,0,0.36,0.04,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0
"Guatemala",2.1,0,0.1,0.001,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,0,1.67,0.77,0,0.68,0,0.25,0,16.02,0.38,0.15,0,0.0064,0,0,0.0002,0,0,0,0,0,0,0,0,0,0.01,0.08,0,0,0,0,0,0,0,0,0,0,0.278,0,0,0,0
"Honduras",7.65,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0.11,0,0,0.25,0,0,0,2.77,0.0004,0.0014,0,0,0.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",5.24,0,0.304,0,0,0,0,0,0,0.06,0,0,0,0,0.36,0,0,0,0.09,0,0,2.36,0,1.68,0.15,0,0.74,0,0.04,0,4.3,0.0697,0.0367,0,9.09,1.09,0,0.0003,0,0,0,0,0,0,0,0,1.24,1.44,0.216,0,0,0,0,0,0,0,0,9.06,0,0.3885,0,0,0,0
"Nicaragua",1.62,0,0.13,0,0,0,0.12,0,0,0.692,0,0,0,0,0.2911,0,0,9,0,0,0,0.87,0,0.1,0,0,0.89,0,0.1,0,0.2,0.0699,0.0081,0,0,0.05,0,0,9,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,9.01,0,0.16,0,0,0,0
"Costa Rica",4.64,0,0.1433,0,0,0,0,0.06,0.692,0,0.04,0.08,0,0,0.11,0,0,0,0,0,0,7.74,0,0.13,9.37,0,0.44,0,0.23,0,1.56,0.11,0.0174,0,0.0023,0.38,0,0.0007,0,0,0,0,0.0003,0,0,0,0,0.07,0.01,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
"Panama",9.25,0,0.2767,0,0,0,0,0,0,0.04,0,0,0,0,9.19,0,0,0,0,0,0,1.58,0,0.25,9.16,0,0.03,0,9.2,0,0.13,0,0.0061,0,0,0.139,0,0.0001,0.0083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0.13,0,0,0,0
"Colombia",36.22,0,0.58,0,0,0,0,0,0,0.08,0,0,0.93,2.23,0,0,0,0,0,0,0,11.85,0,0.27,3.39,0,6.31,0,1.73,0,15.05,0.11,0.18,0,0.05,3.4,0,0.11,0.01,0,0,0,0,0,0,0,0,0.02,0.66,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0
"Venezuela",6.37,0.07,1.21,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0.0505,0,9.47,0,5.91,3.42,0,0.43,0,2.34,0,10.73,0.09,0.0648,0,0.18,1.13,9,0.0006,0.0024,0,0,0,0,0,9,0,0,0.23,1.51,0,9,0,0,0,0,0,0,9.0037,0,0.19,0,0,0,0
"Ecuador",0.86,9.05,0.3582,0,0,0,0,0,0,0,0,2.23,0,0,0.31,0,0,0,1.27,0.0284,0,2.77,0,0.49,0.67,0,0.16,0,0.81,0,1.1,0.01,0.04,0,0,0.33,0,0.0073,0,0,0,0,0,9,0,0,0.25,0.03,0,0,0,0,0,0,0,0,0,0.0072,0,0.02,0,0,9.03,0
