"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,23.41,35.35,3.46,10.17,0.17,3.01,1.07,0.04,0.66,2.99,24.69,3.41,1.88,0.05,62.98,3.27,0.13,9.56,17.69,0.01,129,2.53,0.35,20.21,0,61.18,7.35,0.72,5.69,36.95,13.54,6.02,3.47,4.62,32.38,0.1,1.12,1.08,0.18,2.71,3.41,0.57,0.7,0.1,3.23,6.11,3.13,12.71,0,0.16,18.18,0.63,3.67,0,0,0,0,45.15,0,31.27,0,0.79,18.34,7.67
"Canada",23.41,0,0.08,0.21,0.09,0,9.001,9.0054,0,0,0,2.29,0.96,0.0292,2.46,0.01,0,0.0001,9.02,3.03,9.0076,54.94,12.56,3.23,2.61,0,6.37,6.46,0.7,0.04,10.14,0.03,1.68,0,0.14,1.45,0.0001,0.0035,1.7,0,0,9.08,0.0099,0.0026,0.0048,0.26,0,2.91,1.62,0,0.0012,1.31,0,0,0,0,0,0,4.64,0,9.17,0,0.007,5.08,1.13
"Cuba",35.35,0.08,0,0.0169,0.61,0.0082,0.0075,0.0027,0.008,0.01,0.083,0.01,0.0039,0.04,0.0352,0.0025,0.0012,0.002,0.29,1.18,0.21,11.69,0.04,0.08,0.48,0,2.15,0.01,1.6,0.0024,1.08,0.0008,0.0052,0.0022,0.05,0.34,0,0.0001,0.0028,0.0003,0.04,0.0019,0,0,0,0.06,0.07,0.34,0.07,0,0,0.07,0.0032,0.01,0,0,0,0,0.06,0,0.84,0,0.89,0.05,0.12
"Dominican Republic",3.46,0.21,0.0169,0,0.027,0.0005,0,0,0,0,0,0,0.0004,0,0,0,0,0,0,0.0024,0.0003,2.26,0,0.1,0.13,0,1.88,0,0.2079,0.0056,0.09,0,0.0095,9,0,0.07,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0007
"Mexico",10.17,0.09,0.61,0.027,0,0.19,9.009,0,0,0,0,0,0,0,0,10.88,0,0.0002,0.0765,2.82,9.27,16.22,0,0.56,2.33,0,0.14,10.23,0.68,0,0.53,0.09,0.04,0,0.19,0.2,0,0.01,0.0075,0,0,0,0.0032,0.0003,0.0046,0,0,0.07,0.04,0,0,0,0,0,0,0,0,0,9.05,0,0.38,0,0,9.75,0
"Guatemala",0.17,0,0.0082,0.0005,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,1.48,0.1,0,0.32,0,0.03,0,2.46,0.0035,0.1748,0,0.0088,0,0,0.01,0,0,0,0,0,0,0,0,0,0.0758,0.0552,0,0,0,0,0,0,0,0,0,0,0,0.217,0,0,0,0
"Honduras",3.01,9.001,0.0075,0,9.009,0,0,0.22,0.1112,0,9.01,0,0,0,0,0,0,0,0,9.001,0,0.49,0,0.71,0.038,0,0,9.02,0,0,1.01,0,0.0006,0,0,0.097,0,0.0077,0,0,0,0,0,0,0,0,9.01,0,0,0,0,0,0,0,0,0,0,0,9.006,0,0.26,0,0,0,0
"El Salvador",1.07,9.0054,0.0027,0,0,0,0.22,0,0,0.0057,0,0,0,0,0.2301,0,0,0,0.008,9.0003,0,0.7518,0,0.31,0.06,0,0.58,0,0.16,0,1.11,0,0.038,0,9.05,0.78,0,0.01,0,0,0,0,0,0,0,0,0.46,0.5822,0.0356,0,0,0,0,0,0,0,0,0,0.0097,0,0.19,0,0,0,0
"Nicaragua",0.04,0,0.008,0,0,0,0.1112,0,0,0.0587,9.0069,0,0,0,9.18,0,0,0,0,0,0,0.14,0,0.2658,0,0,0.51,0,0.13,0,0.41,0,0.0295,0,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0.0073,0,0,0,0,0,0,0,0,0,0,9.0029,0,0.04,0,0,0,0
"Costa Rica",0.66,0,0.01,0,0,0,0,0.0057,0.0587,0,0,0.0489,0,0,0,0,0,0,0,0,0,3.83,0,0.02,0.1449,0,0.08,0,0.05,0,2.16,0,0.08,0,0.03,0.14,0,0.0092,0.0002,0,0,0,0,0,0,0,0,0.07,0.02,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0
"Panama",2.99,0,0.083,0,0,0,9.01,0,9.0069,0,0,0.06,0,0,0.036,0,0,0,0,0,0,0.53,0,0.067,9.06,0,0.4,0,9.09,0,0.48,0,0.0024,0,0,0.083,0,0.0049,0,0,0,0,0,0,0,0,0,0.0079,0,0,0,0,0,0,0,0,0,0,9.48,0,0.68,0,0,0,0
"Colombia",24.69,2.29,0.01,0,0,0,0,0,0,0.0489,0.06,0,0.13,0.3,0,0.062,0,0,0,0,0,7.03,0,1.77,0.57,0,1.95,9.38,0.43,0,4.41,0.45,0.07,0,0.23,0.69,0,0.13,0,0,0,0,0,0,0,0,0.14,0.03,0.15,0,0,0,0,0,0,0,0,0,0,0,0.6968,0,0,0,0
"Venezuela",3.41,0.96,0.0039,0.0004,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0.0438,9.04,0,3.52,0,0.79,0.84,0,0.24,0,0.11,0,1.15,0.079,0.0098,0,0.0014,9.44,9,0.0005,0,0,0,0,0,0,9,0,0,0.2538,0.55,0,9,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0
