"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,232,79,0.86000001,2.6099999,36,4.5,8.6999998,2.45,2.54,2.4000001,3.3699999,49.990002,16.959999,8.1199999,6,91,0,0.40000001,23,29,5.4200001,115,1,28,26,0,61,15,19,2.26,69,5.6399999,2.4200001,1.3,22.969999,36,0.050000001,2.2,7.5599999,0.2,0.17,12,0.55000001,0.60000002,0.75,9.9899998,34,17,1.89,0,0.51999998,3,3.5799999,7.0300002,1.01,0,0,0,44,0,119,0,0.15000001,9,5.0999999
"Canada",176.87,0,0.60000002,0.050000001,1.42,0.16,0,0,0,0,0,0,4.9099998,0.02,0.0068346998,2.1600001,0.22,0,0.001724,0.02,1.86,0.22,68.260002,0.15000001,2.22,2.0999999,0,3.79,1.4400001,0.77999997,0.16,6.1999998,2.75,0.28,0.02,1.3200001,1.5599999,0,0.090000004,0.029999999,0,0,0.18000001,0.0099999998,0.0031590001,0.0000099999997,0.059999999,1.08,0.70999998,0.1,0,0.0099999998,1.74,0,0,0,0,0,0,1.38,0,2.6400001,0,0.029999999,3.79,1.74
"Cuba",41.209999,1.1900001,0,0.00039999999,0.002573,1.12,0.00052499998,0.003426,0.000138,0.000018999999,0.000002,0.001914,0.0099999998,0.77999997,0.07,0,0.0099999998,0,0.0088050002,0.51999998,0.25,0,3.9300001,0.50999999,0.52999997,0.77999997,0,1.45,0.22,4.04,0.0099999998,2.9000001,0.029999999,0.02,0.0047590001,0.2,0.62,0,0.00139,0.003063,0.001082,0.02,0.02,0.0056269998,0.00085499999,0,0.050000001,0.31999999,0.44999999,0.07,0,0,0,0.0059159999,0.0067500002,0,0,0,0,0.14,0,3.1300001,0,1.7,0.0099999998,0
"Haiti",3.98,0.13,0.02,0,0.0099999998,0.000079999998,0.0000060000002,0,0,0,0.0000030000001,0,0.0000099999997,0.039999999,0.000062999999,0.0000060000002,0.000001,0,0,0.0015219999,0.0051580002,0,0.75,0,0.23,0.16,0,0.44999999,0.0099999998,0.0099999998,0,0.40000001,0.000512,0.000917,0.003145,0.0099999998,0.079999998,0,0,0.0000049999999,0,0,0,0,0,0,0.00090699998,0.0099999998,0.029999999,0.039999999,0,0,0,0,0,0,0,0,0,0.000037999998,0,1.45,0,0,0.0082,0
"Dominican Republic",6.0100002,0.14,0.02,0.000113,0,0.00060899998,0,0,0,0,0,0,0,0.000121,0,0,0,0,0,0.000159,0.0016430001,0,0.75999999,0,0.079999998,0.13,0,0.0099999998,0,0.0050860001,0,0.16,0,0.000212,0,0.029999999,0.13,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0.80000001,0,0.33000001,0,0
"Mexico",55.68,0.63,0.07,0.000001,0.029999999,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0.000018999999,0.0049999999,0.27000001,0.0037294,9.8800001,0,0.98000002,0.70999998,0,4.5599999,1.4,2.1099999,0,9.4700003,0.1,0.16,0,0.31999999,1.0700001,0,0.00081200001,0.003308,0,0,0,0.0000099999997,0.00059700001,0.0064090001,0,0,0.20999999,0.14,0,0,0,0,0,0,0,0,0,0.079999998,0,0.83999997,0,0,0,0
"Guatemala",4.0999999,0,0.0091610001,0,0.000162,0.2,0,0.0080000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73000002,0,0.11,0.2,0,0.23,0,0.090000004,0,0.93000001,0.001648,0.0057199998,0,0.0099999998,0,0,0,0.0000099999997,0,0,0,0,0,0,0,0,0.00764,0.0071740001,0,0,0,0,0,0,0,0,0,0,0,0.50999999,0,0,0,0
"Honduras",6.1799998,0.02,0.0099999998,0,0,0.0099999998,0.02,0,0.1,0.19,0,0.0099999998,0,0,0,0,0,0,0,0,0.0070000002,0,0.60000002,0,0.079999998,0.02,0,0.0088679995,0.0099999998,0.050000001,0,0.07,0,0.00017699999,0,0,0.079999998,0,0.000183,0,0,0,0,0,0,0,0,0.029999999,0.001237,0,0,0,0,0,0,0,0,0,0,0.003,0,1.01,0,0,0,0
"El Salvador",3.6300001,0.059999999,0.0026469999,0.000002,0,0,0,0.34999999,0,0,0.0032941001,0,0,0,0,0.28999999,0,0,0,0.0099999998,0.00038020001,0,1.05,0,0.0099999998,0.059999999,0,0.0099999998,0,0.1,0,0.70999998,0,0.00088299997,0,0.050000001,0.17,0,0,0,0,0,0,0,0,0,0,0.07,0.029999999,0.039999999,0,0,0,0,0,0,0,0,0,0.0034221001,0,0.86000001,0,0,0,0
"Nicaragua",2.6500001,0,0.0085749999,0,0,0,0,0.02,0,0,0.0068235002,0,0,0,0,0.12,0,0,0,0,0,0,0.52999997,0,0.0099999998,0,0,0.0063760001,0,0.029999999,0,0.37,0,0.00070700003,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.001562,0,0,0,0,0,0,0,0,0,0,0.0088235,0,0,0,0,0,0
"Costa Rica",4.04,0,0.0099999998,0,0,0,0,0,0.0099999998,0.15000001,0,0.19,0.0023529001,0,0,0.0099999998,0,0,0,0,0,0,1.15,0,0.059999999,0.11,0,0.18000001,0,0.15000001,0,1.05,0.00053100003,0.0099999998,0,0.059999999,0.30000001,0,0.003976,0.000122,0,0,0,0.00078300002,0,0,0,0,0.1,0.039999999,0,0,0,0,0,0,0,0,0,0,0,0.51999998,0,0,0,0
"Panama",7.0700002,0,0.050000001,0,0,0,0,0,0,0,0.13,0,0.029999999,0,0,0.039999999,0,0,0,0,0,0,0.94999999,0,0.079999998,0.039999999,0,0.57999998,0,0.14,0,0.090000004,0,0.002049,0,0,0.090000004,0,0,0.0000049999999,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0.69,0,1.64,0,0,0,0
"Colombia",23.639999,0.37,0.0099999998,0.001153,0,0,0,0,0,0,0.079999998,0.23,0,0.31999999,0.52999997,0,0.2,0,0,0,0,0,9.3800001,0,0.75,1.11,0,2.1500001,0.25999999,0.54000002,0,8.0799999,0.005752,0.12,0,0.44999999,1.45,0,0.000001,0.00048799999,0,0,0,0,0,0,0,0.56,0.029999999,0.25999999,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0
"Venezuela",16.959999,0.02,0.029999999,0,0.000136,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0.0099999998,0.07,0,10.1,0,1.76,1.76,0,1.73,0,0.57999998,0,2.6600001,0.00066000002,0.0023169999,0,0.0099999998,0.47,0,0,0.000068000001,0,0,0,0,0,0,0,0,0.0046100002,0.16,0,0,0,0,0,0,0,0,0,0,0,0.51999998,0,0,0,0
"Ecuador",3.52,0.12,0.000035000001,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0.23999999,0,0,0,0.27000001,0.050000001,0,1.3200001,0,0.02,0.12,0,0.0099999998,0,0.18000001,0,1.1799999,0.001954,0.0024029999,0,0,0.28999999,0,0,0,0,0,0,0,0,0,0,0.12,0.0099999998,0,0,0,0,0,0,0,0,0,0,0.0081682997,0,1.45,0,0,0.0015003,0
