"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","South Africa","Iran","Turkey","Iraq","Egypt","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,91.79,59.23,1.23,0.28,45.86,2.75,0.51,5.38,0.42,0.14,7.66,2.27,10.64,0.22,3.84,44.09,5.72,0,20.29,62.14,1.67,318.58,1.9,21.37,5.52,0,110.8,1.95,8,6.66,20.44,9.12,22.83,1.23,5.32,31.52,0.01,0.49,11.23,1.18,1.94,17.16,1.66,2.54,0.1,0.76,22.28,3.59,13.37,0,84.17,1.68,1.52,0.01,3.12,0,0,0,48.22,0,161.67,0,2,43.13,8.53
"Canada",91.79,0,0.2,0.15,0.13,1.75,0.17,0,0.5,0,0.03,0.09,3.54,3.73,0.0675,3.27,3.8,0,0.02,0.531,1.48,0.02,262.82,0,7.51,12.95,0,17.86,1.94,9.9,0.03,7.71,0.96,0.58,0.09,1.5,0.09,0.0024,0.0521,1.75,0,0,10.22,0.0184,0.1112,0.0003,0.79,1.21,4.87,0.25,0,9.66,0,0,0,0.42,0,0,0,0.54,0,24.33,0,0.0255,27.37,10.37
"Cuba",59.23,0.2,0,0.0036,0.01,1.42,0.0056,0.0794,0.0029,0,0.0099,0.1126,0.23,0.31,0.0796,0.06,0.02,0.0013,0.0095,1.17,0.25,0.062,15.77,0.01,0.23,0.56,0,0.6,0.11,1.24,0.07,2.71,0.33,0.12,0.08,0.63,0.26,0,0.0079,0.005,0.0092,0.0094,0,0.0045,0.0026,0.01,0.01,0.04,0.44,0.14,0,0.15,0,0.02,0,0.0926,0,0,0,0.0813,0,0.56,0,4.28,0,0.42
"Haiti",1.23,0.15,0.0036,0,0,0.0019,0,0,0,9,0,0,0,0,0,0,0.0026,0,0,0.0001,0.0055,9,0.23,0,0.11,0.65,0,0.79,0.0747,9,0,0.4,0.0017,0,9,0.055,0.07,0,0,0,0,0,0,0,0,0,0,0.182,0.07,0.36,0,0,0,0,0,0,0,0,0,9.02,0,0.2,0,0,0.0897,0
"Dominican Republic",0.28,0.13,0.01,0,0,0.0597,0,0,0,0,0,0,0.0094,0,0,0,0,0,0,0,0.0025,0.0039,4.66,3.11,0.43,0.214,0,2.58,0,0.004,0.02,0.63,0.008,0.0087,9,0.01,0.05,0,0.0033,0,0,0,9.002,0,0,0,0,0,0.0022,0,0,0,0,0,0,0,0,0,0,9.02,0,1.24,0,9.08,0.04,0.0097
"Mexico",45.86,1.75,1.42,0.0019,0.0597,0,9.26,0,0,0,0,0,0,0,0,0,1.89,0,0.003,0.469,0.49,0.65,19.43,0,0.56,9.54,0,0.22,2.347,0.5,0.16,1.22,0.18,0.67,0.126,1.31,0.67,0.0042,0.139,0.0184,0,0,0.002,0.01,0,0.0041,0.86,0.63,0.44,0.2,0,0,0,0,0,0.13,0,0,0,0.09,0,0.11,0,0,1.25,0
"Guatemala",2.75,0.17,0.0056,0,0,9.26,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0.59,0.08,0,0.07,0,9.03,0,2.62,0.213,0.22,0,0.01,0.07,0,0.0004,0,0,0,0,0.0003,0,0,0,0.43,0.08,0.04,0,0,0,0,0,0.0003,0,0,0,0,0,0.01,0,0,0,0
"Honduras",0.51,0,0.0794,0,0,0,0,0,0.1,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0.14,0,0.37,0,0,0.2058,0,0,0,0.84,0.0197,0,0,0,0.085,0,0.0011,0,0,0,0,0,0,0,0,0,0.1096,0,0,0,0,0,0,0,0,0,0,0,0,0.8689,0,0,0,0
"El Salvador",5.38,0.5,0.0029,0,0,0,0.01,0.1,0,0,0.008,0,0,0,0,0.21,0,0,0,0.0344,9.02,0,0.96,0,0.09,0.08,0,0.46,0,9.03,0,1.37,0.0081,0,0,0.05,0.21,0,0.0005,0.0007,0,0,0,0,0,0,0.14,0.62,1.01,0.0452,0,0,0,0,0,0,0,0,0,9.0004,0,0.0077,0,0,0,0
"Nicaragua",0.42,0,0,9,0,0,0,0,0,0,0.24,0.04,0,0,0,0.086,0,0,9,0,0,0,0.21,0,0.08,0.0226,0,0.16,0,9.0005,0,1.12,0.0097,0,0,0.04,0.01,0,0.0025,9,0,0,0,0,0,0,9.01,0,0.0007,0.0191,0,0,0,0,0,9,0,0,0,0,0,0.04,0,0,0,0
"Costa Rica",0.14,0.03,0.0099,0,0,0,0,0,0.008,0.24,0,0.03,0.133,0,0,0.01,0,0,0,0,0,0,1.38,0,0.01,0.09,0,0.07,0,0.028,0,0.5,0.04,0.01,0,0.0284,0.08,0,0,0.0004,0,0,0,0.0088,0.0004,0,0,0,0,0.0112,0,0,0,0,0,0.0001,0,0,0,0,0,0.95,0,0,0,0
"Panama",7.66,0.09,0.1126,0,0,0,0,0,0,0.04,0.03,0,0.01,0,0,9.06,0,0,0,0,0,0,1.23,0,9.38,9.15,0,0.66,0,9.03,0,1.02,0.01,0,0,0,9.14,0,0.0001,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,9.88,0,3.07,0,0,0,0
"Colombia",2.27,3.54,0.23,0,0.0094,0,0,0,0,0,0.133,0.01,0,0.5,9.18,0,0.39,0,0.0097,0,0.18,0,17.66,0,1.46,0.54,0,1.25,0.841,9.03,0,2.44,0.69,0.06,0,0.74,0.77,0.001,0.22,0.09,0,0,0,0.0331,0.0031,0.0018,0,0.7,0.14,0.03,0,0,0,0,0,0.0031,0,0,0,0,0,0,0,0,0,0
"Venezuela",10.64,3.73,0.31,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.12,0.73,0,4.72,0,3.42,3.86,0,12.3733,9.19,0.34,0,0.99,0.12,0.09,0,0.13,0.71,0,0.0796,0.0033,0,0,0,0,0,0,0.38,0.13,0.0412,0.26,0,0,0,0,0,0.01,0,0,0,0,0,0.06,0,9.4,0,0
"Ecuador",0.22,0.0675,0.0796,0,0,0,0,0,0,0,0,0,9.18,0,0,0.01,0,0,0,0.22,0.06,9.78,0.84,0,0.05,0.01,0,1.94,0,9.05,0,0.41,0.229,0,0,0.4,0.25,0,0.02,0.0012,0,0,0,0,0,0,0,0.07,0.01,0,0,0,0,0,0,0,0,0,0,9.01,0,0.09,0,0,0,0
"Peru",3.84,3.27,0.06,0,0,0,0,0.037,0.21,0.086,0.01,9.06,0,0,0.01,0,0,3.4225,0,6.18,9.25,9.45,0,0,0.01,0,0,8.5833,9.13,0,0,0,0.44,0.01,0,0.37,0,0,0.3076,0.0095,0,0,0,0.01,0.01,0.005,0,0,0.15,0.03,0,0,0,0,0,0.0014,9.74,0,0,0,0,0,0,0,0,0
"Brazil",44.09,3.8,0.02,0.0026,0,1.89,0,0,0,0,0,0,0.39,0,0,0,0,0.25,0.0028,0.25,26.77,2.15,0.69,10.16,2.68,2.77,0,20.3,0.87,1.72,1.24,5.05,1.95,0.93,0,3.09,3.29,9.0053,1.13,1.16,0,0,0,0.1268,0.0006,0.0194,1.92,0.71,0.74,1.62,0,1.46,0,1.31,0,0.8574,0,0,0,9.12,0,12.81,0,0,0.1,0
"Bolivia",5.72,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,3.4225,0.25,0,0,0.65,2.74,0,1.4,0,3.49,0.14,0,1.23,0.01,0,0,3.51,0.01,0,0,0.0016,0.1689,0,0,9,0,0,0,0,0,0,0,0.28,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1.0585,0,0,0,0
