"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","South Africa","Iran","Turkey","Iraq","Egypt","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,0,104.93,3.03,5.8200002,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,28.93,0,0,62.349998,0,0,0,52.439999,11.49,0,4.0300002,0,0.14,5.5,22.35,0,0,0,1.54,0.75,0.49000001,0,0,21.68,3.79,0,0,0,0,0,7.02,0,0,0,0,0,161.21001,0,0,0,0
"Canada",0,0,0.85000002,0.039999999,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090000004,0,0,0,0,0,3.6400001,0,0,5.7800002,0,0,0,8.5900002,0.17,0,0.18000001,0,0,0.18000001,0.029999999,0,0,0,0.0099999998,0.0091899997,0.0052769999,0,0,0.64999998,0.18000001,0,0,0,0,0,0.98000002,0,0,0,0,0,4.6700001,0,0,0,0
"Cuba",77.550003,0.98000002,0,0.000121,0.0099999998,0.75999999,0.0059639998,0.00043300001,0,0.00025400001,0.001287,0.003237,0.006325,0.00024600001,0.07,0.0099999998,0.0099999998,0,0.0099999998,0.57999998,0.22,0.02,3.0599999,0.00055699999,0.61000001,0,0,2.27,0.5,1.34,0.43000001,3.3800001,0.079999998,0.14,0.23,0.98000002,0,0.02,0.000047000001,0,0.0099999998,0.00098799996,0.000207,0.00156,0.000734,0.050000001,0.97000003,0.44,0.02,0,0,0.00013299999,0.0095910002,0,0.039999999,0,0,0,0.02,0,0.37,0,2.1400001,0.1,0.00049000001
"Haiti",5.1199999,0,0.0099999998,0,0,0.000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",6.7800002,0,0.07,0,0,0.000199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",0,0,0.0099999998,0.001134,0.000032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025480001,0,0,0,0,0,1.0700001,0,0,4.4699998,0,0,0,15.49,0.19,0,0,0,0,0.0099999998,0.0099999998,0,0,0,0.00073799997,0.0086989999,0.00087699998,0,0,0.27000001,0.15000001,0,0,0,0,0,0.22,0,0,0,0,0,1.4,0,0,0,0
"Guatemala",0,0,0.0061849998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000439,0,0,0,0,0,0.20999999,0,0,0.20999999,0,0,0,4.1199999,0.0099999998,0,0.07,0,0,0.00027399999,0.000053,0,0,0,0,0.000070000002,0,0,0,0.0099999998,0.0099999998,0,0,0,0,0,0.000028,0,0,0,0,0,0.039999999,0,0,0,0
"Honduras",0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0.001334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0.76999998,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0.0043139998,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0.050000001,0,0,0,0
"Costa Rica",0,0,0.079999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0.22,0,0,0,2.98,0.050000001,0,0,0,0,0.00099199999,0.00035399999,0,0,0,0.0015979999,0.00052100001,0,0,0,0.039999999,0.02,0,0,0,0,0,0.000029999999,0,0,0,0,0,0.85000002,0,0,0,0
"Panama",0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0.31999999,0,0.0000099999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,0,0,3.0799999,0,0,0,13.38,0.33000001,0,1.22,0,0,0.16,0.0099999998,0,0,0,0,0.001425,0,0,0,0.28999999,0.60000002,0,0,0,0,0,0.00023999999,0,0,0,0,0,0.18000001,0,0,0,0
"Venezuela",0,0,0.23999999,0.000016,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0599999,0,0,3.04,0,0,0,9.7299995,0.18000001,0,0.02,0,0.000121,0.000872,0.003392,0,0,0,0.0021180001,0,0.00077699998,0,0,0.02,1.6900001,0,0,0,0,0,0.00053600001,0,0,0,0,0,1.97,0,0,0,0
"Ecuador",0,0,0.20999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0.12,0.0000030000001,0.000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000268,0,0,0,0,0,1.01,0,0,1.7,0,0,0,7.0500002,0.079999998,0,0.63999999,0,0,0.0099999998,0.0099999998,0,0,0,0.0066579999,0.001756,0,0,0,0.31999999,0.039999999,0,0,0,0,0,0.00097300002,0,0,0,0,0,1.5,0,0,0,0
"Brazil",0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,3.3299999,0,0,8.2299995,0,0,0,57.509998,0.55000001,0,0.99000001,0,0,0.0099999998,0.12,0,0,0,0.0099999998,0.0065430002,0.0099999998,0,0,1.37,1.1900001,0,0,0,0,0,0.0022209999,0,0,0,0,0,4.5599999,0,0,0,0
"Bolivia",0,0,0.0034630001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0.67000002,0,0.002349,0,0,0.0031659999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000070000002,0,0,0,0,0,0.2,0,0,0.47999999,0,0,0,4.8200002,0.0020659999,0,0.02,0,0,0.001844,0.000072000003,0,0,0,0,0.000001,0,0,0,0.029999999,0.059999999,0,0,0,0,0,0.2,0,0,0,0,0,0.79000002,0,0,0,0
"Argentina",0,0,0.41,0.00084300002,0.00061300001,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,90.82,0,9.0600004,0,0,21.65,0,0,0,35.34,4.96,0,1.36,0,0,1.48,1,0,0,0,0.029999999,0.15000001,0.000132,0,0,3.6800001,0.79000002,0,0,0,0,0,0.0065649999,0,0,0,0,0,3.1300001,0,0,0,0
"Uruguay",0,0,0.059999999,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23999999,0,0,0,0,0,1.33,0,0,0.97000003,0,0,0,6.8600001,0.88999999,0,0.37,0,0,0.15000001,0.050000001,0,0,0,0,0.0099999998,0.001532,0,0,0.37,0.20999999,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0
"United Kingdom",0,0,26.209999,1.5599999,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1199999,0,172.78,0,0,0,137.28224,0,0,122.32383,0,0,0,88.255196,31.83,0,14.79,0,0.02,8.3500004,11.16,0,0,0,8.1899996,16.76,15.06,0,0,54.840015,165.30528,0,0,0,0,0,54.772949,0,0,0,0,0,39.369999,0,0,0,0
