"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Hungary","Italy","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","South Africa","Iran","Turkey","Iraq","Egypt","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,0,20.73,1,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,25.48,0,0,140.16,0,3.42,0,0.92,0,0,1.93,3.17,0,0,0,9.15,9.11,9.07,0,0,16.62,17.06,0,0,0,0,0,13.28,0,0,0,0,0,132.37,0,0,0,0
"Canada",0,0,1.21,0.19,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.99,0,0,7.96,0,0,0,0.29,0,0,0.05,0.1,0,0,0,9.0007,9.01,9,0,0,4.62,0.16,0,0,0,0,0,0.83,0,0,0,0,0,12.3,0,0,0,0
"Cuba",20.73,1.21,0,0,0,0.03,0.01,0,0,0.0089,0.2698,0,0.02,0.22,0,0.11,0.01,0,0,0.06,0.36,9.07,16.93,0,9,0,0,1.54,1.79,2.15,0.03,0.96,9,0.51,9,9,0,0,0,0,0,0,0,0.42,2.43,0.02,0,0.06,0,0,0,0,0,0,0,0.0014,0,0.0019,0,0,0.04,0.001
"Haiti",1,0.19,0,0,0,0,0,0,0,9,0,0,0.0003,0.0012,0,0.0002,0,0,0,0,0.0029,9,2.24,0,9,0,0,0.53,0.22,0.0002,0,0.13,9,0.03,9,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0
"Dominican Republic",1.63,3.22,0,0,0,0.0093,0,0,0,0,0,0,0.01,0.0024,0,0,0,0,0,0,0.0008,9.0082,7.88,0,9,0,0,1.68,0,0.008,0.0054,1.03,9,0.0019,9,9,0,0,0,0,0,0,0,0,0.0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0003
"Mexico",0,0,0.03,0,0.0093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,1.64,0,0,0,0.06,0,0,0,0.01,0,0,0,9,9.0037,9,0,0,0.19,0.05,0,0,0,0,0,0.07,0,0,0,0,0,0.59,0,0,0,0
"Guatemala",0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.11,0,0,0,0.28,0,0,0.0062,0.0011,0,0,0,9,9.0047,0,0,0,0.11,0.0053,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0
"Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.0001,0,0,0,0.12,0,0,9,9,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.05,0,0,0,0.37,0,0,9,9,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",0,0,0.0089,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.01,0,0,0.16,0,0,0,0.3,0,0,0,9,0,0,0,0,0,0,0,0,0.002,0.0021,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0
