"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","France","Switzerland","Spain","Portugal","Germany","Hungary","Italy","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Egypt","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,0,55.3,1.71,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,196.76,0,0.98,0,3.46,0,0,0.16,3.27,0,0,0,0,0,0,0.24,0,0,0,0,237.45,0,0,0,0,0,55.83,0,0,0,0
"Canada",0,0,3.78,0.28,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,9.09,0,0,0,0.0093,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,2.32,0,0,0,0,0,2.63,0,0,0,0
"Cuba",55.3,3.78,0,0,0,2.05,0.01,0,0,0.0048,0.0897,0,0.03,0.26,0,0.09,0.01,0,0,0.05,0.39,9.16,28.8,0,3.29,0.44,0.37,0.04,9,9,0,9,0,0,0,0,0,0.03,0,0,0.18,0,0,0,0,0,0,0,9,0,0.0023,0,0,0.01,0.0009
"Haiti",1.71,0.28,0,0,0,0,0,0,0,9,0,0,0.16,0,0,0,0,0,0,0,0.0002,9,0.37,0,2.39,0.02,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0
"Dominican Republic",0.44,4.22,0,0,0,0.01,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.0012,9.01,9.23,0,0.83,0,0.0005,0.0055,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0012
"Mexico",0,0,2.05,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065,0,0,0,0,0,0.59,0,0,0,0.43,0,0,0,0.0007,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,5.19,0,0,0,0
"Guatemala",0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0
"Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",0,0,0.0048,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.1523,0,0,0,0.0042,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0
"Costa Rica",0,0,0.0897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0
"Panama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0.03,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"Venezuela",0,0,0.26,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23,0,0,0,0.56,0,0,9.0009,9.0029,0,0,0,0,0,0,9,0,0,0,0,0.0015,0,0,0,0,0,0.45,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0.65,0,0,0.01,0.04,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0
"Brazil",0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062,0,0,0,0,0,23.42,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.01,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",2.33,0.09,0,0,0,0.0065,0,0,0,9,0,0,0,0,0,0,0.0062,0,0,0.0001,1.56,9.44,2.77,9,0.0008,0.11,0,0.02,9,9,0,9,0,0,0,0,0,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0.0009
"Chile",0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,20.17,0,0,0,0.2,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.81,0,0,0,0
"Argentina",0,0,0.39,0.0002,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,49.06,0,72.21,0,0,0,1.14,0,0,0.0044,0.13,0,0,0,0,0,0,0,0,0,0,0,0.0004,0,0,0,0,0,11.127,0,0,0,0
"Uruguay",0,0,9.16,9,9.01,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,2.66,0,0,0,9.1,0,0,9.0043,9.08,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1.15,0,0,0,0
"United Kingdom",0,0,28.8,0.37,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,0,49.06,0,0,0,58,0,0,0,0.16,0,0,1.49,9.93,0,0,0,0,0,0,0,0,0,0,0,36.17,0,0,0,0,0,1.69,0,0,0,0
"Ireland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",196.76,9.09,3.29,2.39,0.83,0.59,0,0,0.02,0.1523,0.0423,0,0.08,6.23,0.35,1.15,23.42,0.63,0.0008,20.17,72.21,2.66,58,0.05,0,338.02,103.21,37.81,1564.9,55.33,190.64,23.55,2.85,19.04,107.31,15.67,37.99,99.76,9,9,8.61,38.2,10.86,0.82,7.83,9,0,0,2.19,0,4.65,0,0.01,37.88,64.47
"Switzerland",0,0,0.44,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,338.02,0,0,0,152.3,0,0,8.28,0.76,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.13,0,0,0,0
"Spain",0.98,0,0.37,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.21,0,0,0,4.68,0,0,0.0064,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0.0027,0,0,0,0
"Portugal",0,0,0.04,0,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,37.81,0,0,0,7.98,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0.26,0,0,0,0
"Germany",3.46,0.0093,9,9,9,0.43,0.04,9,9,0.0042,0.05,9,0.47,0.56,9,0.65,6.13,9,9,0.2,1.14,9.1,0.16,0,1564.9,152.3,4.68,7.98,0,0,359.59,0,9,9,9,9,9,207.35,9,9,0.08,9,9,9,9,0,0,9,0,0,16.4,0,9,0.59,0.02
"Hungary",0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,55.33,0,0,0,0,0,0,0,9,0,0,2.1,0,0,0,9,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0
"Italy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.64,0,0,0,359.59,0,0,9.63,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0
"Yugoslavia",0.16,0.01,9,9,9,0,0,9,9,0,0,9,0,9.0009,9,0.01,0,9,9,0,0.0044,9.0043,1.49,0,23.55,8.28,0.0064,0.02,0,0,9.63,0,9,9,9,9,9,1.33,9,9,0.0019,9,9,9,9,9,0,0,0,0,9,0,9,0.008,0.0001
"Greece",3.27,0.02,0,0,0,0.0007,0.0038,0,0,9,0,0,0,9.0029,0,0.04,0,0,0,0.0003,0.13,9.08,9.93,0,2.85,0.76,0,0.01,9,9,0.92,9,0,0,0,0,0,0.55,0,0,0.02,0,0,0,0,0,0,0,9,0,0,0,0,0.02,0.01
"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.04,0,0,0,9,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.31,0,0,0,9,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Russia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.67,0,0,0,9,2.1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.99,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweden",0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.76,0,0,0,207.35,0,0,1.33,0.55,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0.91,0,0,0,0
"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",0.24,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,9,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,9,0,0,0,0,0.0012,0
"South Africa",0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0,0,0,0,0,8.61,0,0,0,0.08,0,0,0.0019,0.02,0,0,0,0,0,0,0.0012,0,0,0,0,0.23,0,0,0,0,0,5.78,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0
