"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","France","Switzerland","Spain","Portugal","Germany","Hungary","Italy","Bulgaria","Romania","Russia","Finland","Sweden","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Egypt","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,0,161.03999,6.0799999,8.4099998,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0.77999997,0,7.8200002,0,0.47,0,0,0,0,0,0,0,0,1.0700001,0,0,0,0,18.110001,0,0,0,0,0,0.19,0,0,0,0
"Canada",0,0,5.2199998,0.19,0.54000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49000001,0,0,0,0,0,0.0099999998,0,0,0,0.001824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93000001,0,0,0,0,0,0.92000002,0,0,0,0
"Cuba",133.23,0,0,0,0,0,0,0,0,0.0067509999,0.000034000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haiti",5.1500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",9.2600002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",0,0,0.039999999,0.0031059999,0.27000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00052200002,0,0,0,0,0,0.0067070001,0,0,0,0.0080089998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0,0,0.20999999,0,0,0,0
"Guatemala",0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000024000001,0,0,0,0,0,0.00339,0,0,0,0.001745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025249999,0,0,0,0
"Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",0,0,0.0035349999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0
"Costa Rica",0,0,0.0087609999,0.000034000001,0.000019999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003089,0,0,0,0.003357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059819999,0,0,0,0
"Panama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0.17,0.61000001,0.0000090000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23999999,0,0,0,0,0,0.00051099999,0,0,0,0.00025300001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000002,0,0,0,0,0,0.0041100001,0,0,0,0
"Venezuela",0,0,0.079999998,0,0.0059850002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000049999999,0,0,0,0,0,0.039999999,0,0,0,0.0060640001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031500001,0,0,0,0,0,0.0099999998,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001596,0,0,0,0,0,0.0099999998,0,0,0,0.00038400001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001172,0,0,0,0,0,1.16,0,0,0,0
"Brazil",0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0.02,0,0,0,0.55000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0,0,0.41,0.0000099999997,0.000011,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,50.349998,0,0.07,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018,0,0,0,0,0,0.37,0,0,0,0
"Uruguay",0,0,0.19,0,0.0052260002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0.0099999998,0,0,0,0.090000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20999999,0,0,0,0
"United Kingdom",0,0,7.6300001,0.23,9.1199999,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71,0,142.08,0,0,0,0.23999999,0,0,0,0.15000001,0,0,0,0,0,0,0,0,0.039999999,0,0,0,0,63.119999,0,0,0,0,0,0.17,0,0,0,0
"Ireland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",125.54,8.4200001,0.23999999,0.050000001,0.059999999,0.30000001,0,0,0.029999999,0.27000001,0.14,0,0.0035369999,9.8599997,0.12,0.0099999998,5.0300002,0.28999999,0.25,0.61000001,5,12.63,11.87,0.00088399998,0,598.54999,454.98001,129.7,6648.3999,265.54999,375.20999,110.71,271.63,7.9699998,144.00999,214.02,0,0,2.75,4.8200002,81.269997,0.41,6.7800002,0,0,0.02,3.1900001,0,0.62,0,0.31,0.31999999,0.059999999
"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
