"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Egypt","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"United States of America",0,0,337.57999,15.95,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2199998,0,0,0,0,0,5.3600001,0,0,13.28,0,57.990002,0,1.1,0.001,0,0.49000001,0,0,0.19,0.34,0,0,0,0,0,1.27,0.25,0,0,1.0700001,0,0,0,0,11.23,0,0,0,0,0,0.13,0,0,0,0
"Canada",0,0,6.79,0.46000001,5.6100001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20999999,0,0,0,0,0,0.36000001,0,0,0.23999999,0,0,0,0.001905,0,0,0,0,0,0,0.002144,0,0,0,0,0,0.56999999,0.0053750002,0,0,0.001619,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0
"Cuba",195.75,0,0,0,0,0,0,0,0,0.004404,0.0029150001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haiti",9.6099997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",18.77,0,0,0,0,0,0,0,0,0,0.000078999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",0,0,4.3899999,0.00025799999,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072460002,0,0,0,0,0,0.0000030000001,0,0,0.079999998,0,0,0,0.002695,0,0,0,0,0,0,0,0,0,0,0,0,0.0046399999,0.0059930002,0,0,0,0,0,0,0,0.000002,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
