"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Nepal","Thailand","Philippines","Australia","New Zealand"
"United States of America",0,0,324.41,17.68,20.190001,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,22.940001,0,0,62.799999,0,160,0,0.25,0,19.16,0,0.0049999999,1.22,23.65,0,0,0,0,0,13.23,4.27,0,0,3.47,0,0,0,0,24.040001,8.4899998,0,0,0,0,0,0,0,0,0,0,0,0
"Canada",0,0,12.33,0.72000003,6.6399999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23999999,0,0,0,0,0,2.3199999,0,0,4.3000002,0,0,0,0.00048799999,0,0.88999999,0,0,0.001697,0.050000001,0,0,0,0,0,0.76999998,0.14,0,0,0.0010310001,0,0,0,0,0.23,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0
"Cuba",271.82001,4.4400001,0,0,0,0,0,0,0,0.76999998,0.090000004,0,0,0.039999999,0,0.14,0.14,0,0,0,0.94999999,0,18.57,0,0,0,0,0.0099999998,0.86000001,0.14,0.029999999,0,0,0.008285,0,0,0,0,0,0,0,0,1.09,0.50999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000031
"Haiti",12.3,0.94,0,0,0,0,0,0,0,0,0,0,0,0.00046899999,0,0.000050999999,0.000092000002,0,0,0,0.039999999,0,0.95999998,0,0,0,0,0.00063299999,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000080999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",29.440001,1.3,0,0,0,0,0,0,0,0,0.00139,0,0,0.0040350002,0,0.00052200002,0,0,0,0,0.16,0,1.71,0,0,0,0,0.00053899997,0,0.0070079998,0.00067400001,0,0,0,0,0,0,0,0,0,0,0,0,0.001786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121
"Mexico",0,0,14.45,0,0.63999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0080899997,0,0,0,0,0,0.44,0,0,1.91,0,0,0,0,0,0.17,0,0,0,0.0060009998,0,0,0,0,0,0.38,0.25999999,0,0,0,0,0,0,0,0.0050750002,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00088399998,0,0,0,0,0,0.00038899999,0,0,0,0,0,0,0,0,0,0.00134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076199998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00077899999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023139999,0,0,0.029999999,0,0,0,0,0,0.000165,0,0,0,0,0,0,0,0,0,0,0.002197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
