"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","India","Pakistan","Nepal","Thailand","Philippines","Australia","New Zealand"
"United States of America",0,0,17.78,5.07,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48,0,0,0,0,0,424.64,0,0,2631.001,0,76,0,106.37,0,37.1124,0,4.542,25.73,149.88,0,0,0,0,0,169.4,121.1,0,0,2.5,0,0,0,0,32.03,35.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canada",0,0,14.99,1.05,5.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,3.24,0,0,216.4299,0,0,0,14.0675,0,3.97,0,0.46,6.13,4.9,0,0,0,0,0,15.7,2.9,0,0,0.0717,0,0,0,0,9.81,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cuba",17.78,14.99,0,0,0,9.56,0,0,0,0.09,0.04,0,1.87,0,0,0.3151,0.07,0,0,0,0.25,9.37,134.14,0.79,10.31,0,0,15.2284,6.18,2.47,3.01,0,0,0.2,0,0,0,0,0,0,0,0,0.12,0.64,0.0002,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0.0062,0,0,0,0,0.07,0.02
"Haiti",5.07,1.05,0,0,0,9,0,0,0,9,0,0,0.08,0,0,0.001,0,0,0,0,0.0058,9,2.35,0,0,0,0,2.5215,0.72,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,3.2351,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0
"Dominican Republic",19.1,5.78,0,0,0,9.09,0,0,0,0,0.03,0,0.0001,0,0,0.0014,0,0,0,0,0.03,9.02,36.49,0,0,0,0,7.7514,0,0.6647,0.0094,0,0,0,0,0,0,0,0,0,0,0,0,0.1741,0,0,0,0,0.0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01,0.0053
"Mexico",0,0,9.56,9,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0011,0,0,0,0,0,2.02,0,0,63.7024,0,0,0,9.22,0,0.87,0,9,9.0002,9.03,0,0,0,0,0,0.16,1.27,0,0,9,0,0,0,0,9.11,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1376,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.0053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",0,0,0.09,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.03,0,0,0.11,0,0,0,9,0,0.0061,0,0,0,9,0,0,0,0,0,0.0025,0.0098,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
