"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","North Korea","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Philippines","Australia","New Zealand"
"United States of America",0,1794,374.98001,18.84,35.209999,312,50,17,35,13,25,10,265,303,21,44,575,59,4.0900002,203,202,65,327,3,43.57,0,0,73.089996,119,41,22,1.24,2,22.120001,106,0,5.02,19.48,1,1,97,44,102,33.48,5.9499998,4,0,7.1799998,152,32,56,11,30.07,4.5799999,0,0,6,18,0,0,138,0,0,297,30,2,59,0,59,256,146,34
"Canada",2038.5,0,20.719999,0.16,15.83,29.9,9,6.6999998,1.2,0.1,3.4000001,1.3,9.5,104.2,0.89999998,2.0999999,22.700001,0,0.20999999,0.30000001,6.6999998,0.89999998,338,0.1,5.3400002,0,0,11.59,8.1000004,2.9000001,1.3,0.0099999998,0.1,4.4000001,7.6999998,0,0.0048489999,0.13,0,0,0,0,3.0999999,1.01,10.6,0.1,0,0.029999999,4.1999998,1,1.1,0.89999998,1.36,0.02,0,0,0.1,0,0,0,4.3000002,0,0,36.700001,1.4,0,12.9,0,0.1,7,30.1,12.8
"Cuba",440.95999,10.02,0,0,0,11.99,0.11,2.0899999,0.11,0.61000001,0,0.11,0.44,0,2.8599999,0.002483,0.13,0,0.11,6.5999999,0,3.52,32.68,0.11,0.76999998,0,0,0,1.25,0.2,0.029999999,0,0.11,0,2.4200001,0,0.11,0,0,0,0,0.11,1.0599999,0.52999997,0.11,0.11,0,0,0.11,0,0.11,0,0.33000001,0,0,0,0,0,0,0,0.11,0,0,19.690001,0,0,0.11,0,0.22,0.11,0.11,0
"Haiti",20.200001,1.27,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0.000401,0.000012,0,0,0.0074519999,0,0,6.29,0,0.40000001,0,0,0,0.029999999,0,0.000101,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.002758,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
"Dominican Republic",46.98,2.1700001,0.22,0,0,0.44,0,0,0,0.000039999999,0,0,0,0,0.11,0.00060600002,0.22,0,0,0.07,0,0.33000001,1.4299999,0,0.22,0,0,0,0.11,0.0071299998,0.000459,0,0,0,0.33000001,0,0,0,0,0,0,0.22,0.55000001,0.001014,0,0,0,0,0.002873,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,2.4200001,0,0,0,0,0,0,0,0
"Mexico",458.60001,11.4,0.38999999,0.0099999998,0.000233,0,0.30000001,0.1,0,0,0,0.1,0,0,0,0.1,0.30000001,0,0.0078159999,0.60000002,1.7,0.30000001,15.4,0,1.38,0,0,2.4100001,6.1999998,1.8,1.3,0.00065,0,1.01,7.0999999,0,0.000849,0.0099999998,0,0,0,0.2,8.1000004,0.52999997,0.47999999,0,0,0,0.1,0,0,0,0.000109,0.001015,0,0,0,0,0,0,0.30000001,0,0,0.1,0,0,0.2,0,0,0.1,1.2,0
"Guatemala",52.099998,1.4,0.1,0,0,2.8,0,0.2,1.5,0,0,0,0,0,0,0.5,0.2,0,0,0.30000001,0.1,0,1.8,0,0.1,0,0,0,0.60000002,0.1,0,0,0,0,0.5,0,0,0,0,0,0,0,0.30000001,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",30.690001,0.11,0.22,0,0.22,1.21,0.11,0,2.2,0,0,0,0.11,0,0,0.22,0,0,0,0.22,0,0,0.44,0,0.11,0,0,0,0.11,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0.11,0.0068140002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",30.4,1.1,0.1,0,0,0.89999998,0.1,2,0,0.40000001,0,0,0.1,0,0,0.60000002,0,0,0,0,0,0.1,1.5,0,0.5,0,0,0,0.40000001,0.1,0,0,0,0.1,0.5,0,0,0,0,0,0,0,0.30000001,0.001501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",22.110001,0.11,0.02,0,0.000202,0.99000001,0,0.11,0.11,0,0.11,0.22,0,0,0,0.22,0.11,0,0,0,0,0,0.44,0,0.11,0,0,0.07,0.11,0,0,0,0,0.0099999998,0,0,0.000056000001,0,0,0,0,0,0.11,0.000124,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0
