"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,2101,436,24,41,338,57,21,55,20,26,11,335,347,37,53,767,38,7,172,221,114,359,3,91,144.38741,5.612576,141,118,54,26,12,2,28,116,0,20,19,3,0,41,37,76,44,13,5,0,13,152,25,66,14,58,13,5,0,9,26,0,0,161,0,0,0,3,278,34,1,71,0,81,253,167,151,69
"Canada",2162.1001,0,4.1999998,1.8,1.1,33.200001,5.8000002,5.5999999,0.80000001,0.30000001,3.4000001,5.4000001,13.4,88.400002,1.4,4,28.6,2.4000001,0.30000001,1.3,11,2.8,409.60001,0.1,9,22.331921,0.86807841,14.9,14.6,3.5,2.0999999,0.30000001,0,6.0999999,9.5,0,0.1,0.1,0,0,0.1,0.1,5.1999998,1.4,1.4,0.2,0,0,5,0.1,1.2,1.2,0.69999999,0,0,0,0.40000001,28.4,0,0,5.3000002,0,0,0,0,37.599998,1.7,0,17.799999,0,1.1,6.5,0.69999999,33.599998,12
"Cuba",448.25,17.27,0,1.1,0.11,7.1500001,0,1.98,1.3200001,0.11,0,0,0.33000001,0.44,0.22,0,0.11,0,0.11,3.3,0.55000001,0,9.3500004,0.11,2.2,6.0353942,0.2346057,2.97,2.0899999,7.1500001,0.66000003,0.11,0,0.66000003,2.8599999,0,0,0,0,0,0,0.33000001,1.87,1.98,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,21.120001,0,0,0,0,0,0,0,0,0
"Haiti",28.4,1.9,0.2,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0.2,0.77006632,0.0299337,0.60000002,0.2,0,0,0,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0
"Dominican Republic",35.310001,2.2,0.11,0.1,0,0.55000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0.11,0.52942061,0.0205794,0.22,0.22,0.33000001,0,0,0,0.11,0.33000001,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0
"Mexico",429.60001,11.4,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.2,0.80000001,0.40000001,11.6,0,1.7,3.946589,0.1534104,6,5.3000002,2.8,0.69999999,0,0,0.60000002,3.9000001,0,0,0,0,0,0,0.2,7.0999999,0.60000002,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.30000001,0,0,0.5,0,0,0,0.2,4.0999999,0.60000002
"Guatemala",48.700001,2.2,0,0,0,4.5,0,0.1,1.5,0,0,0,0,0.30000001,0,0.30000001,0,0,0,0,0,0,2.2,0,0.30000001,1.251358,0.0486423,0.5,0.60000002,0.2,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0
"Honduras",28.16,0.33000001,0.55000001,0,0.11,1.1,0.11,0,1.76,0.11,0,0,0,0.11,0,0.33000001,0,0,0,0,0,0,0.88,0,0,0,0,0.11,0.11,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",31.700001,1.3,0.2,0,0,1,0.2,2.0999999,0,0.40000001,0,0,0,0,0,0.80000001,0,0,0,0.2,0,0,1.6,0,1.2,0.5775497,0.0224503,0.40000001,0.5,0.1,0,0,0,0.1,1.1,0,0,0,0,0,0,0,0.60000002,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",22,0.33000001,0,0,0,0.55000001,0,0,0.22,0,0.11,0.11,0,0,0,0.11,0,0,0,0,0,0,0.76999998,0,0,0.1058841,0.0041159,0.11,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
