"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Libya","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,475.5,70.52,3.1,11.31,266.3,14.7,4.95,27.9,1.76,6.8,36.94,117.7,126.6,1.05,81.7,52.68,17.21,4,37.9,5,5,563.3,63.2,152.7,168.8624,7.6377,235.7,75.5,5.2,15.8,10,2,23,305.2,0,121.5,95.8,1,0,29,20.2,54.7,55.8,86.4,1.6,0,15.1,99,0,16.8,29.1,1.3,27.7,0.3,15.9,0,96.3,21,0,0,52,0,0,9,41,112.7,17.8,1.4,35.7,0,83,72.96,110.1,188.46,44.38
"Canada",475.5,0,10,0.8,2.42,5.6,2,3.87,0.7,0.16,6.7,2.06,5.6,114.7,1.84,0.1,5.55,0.52,0.2,2.9,1.6,2.1,290.4,23.8,10.7,39.4172,1.7828,24.9,18.3,7.2,4.7,32.1,0.9,4.7,33.9,9,4.2,1.8,0,3.6,42.1,2.3,0.6,28.8,2,0.5,0,0,1.1,6.7,0.3,0.1,1.9,5,15.9,3.4,1.8,8.8,2.9,0.4,0,101.2,0,0,0,33.1,5.5,0.5,0.3,13.5,0,7.6,5.76,3.1,0.74,12.48
"Cuba",70.52,10,0,0.23,0,2.3,0.02,0.99,0.37,0,0.01,0.44,0.69,7.77,1.21,0.2,0.33,0.33,9,5.6,0.44,6,113.28,9.59,34.93,4.3148,0.1952,7.45,3.12,8.66,1.23,0.33,0,1.32,0.81,0,2.3,13.9,0,0,0,1.91,2.7,1.28,0.34,0.19,0,0,0,0,0,0,0,0,1.6,0.3,0,0,0,9,0,0,0,0,0,0.2,16.7,12.5,9,0.11,0,0,0,0,0,0
"Haiti",3.1,0.8,0.23,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,1.7,7.3668,0.3332,0.6,1.4,0,0,0,0.2,0,3.9,0,0,0,9,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0
"Dominican Republic",11.31,2.42,0,0.1,0,0.44,0,0.2,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.1,61.61,0,0.47,0.9567,0.0433,0.67,0.48,1.45,0,0,0,0.33,0.06,9,0,0,0,0,0,0,0.22,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0.11,9,0,0,0,1.76,0,0,0,0,0,0,0,0,0
"Mexico",266.3,5.6,2.3,0.5,0.44,0,3.8,0.99,0.8,0.88,0.6,0.36,0.4,2,0,0.8,4.3,0.33,0,0.4,4.7,1,32.6,0.1,0.2,5.6447,0.2553,24.8,3.3,2.5,3.7,0.2,0.1,1.5,6.6,0,0.9,0.7,0,0,0.3,0.6,1.3,1,1,0,0,0,0.7,0,5.5,0.3,0.8,0.1,9,0,0,0.1,18,9,9,0,0,0,9,0,2.1,0.2,0,0.4,9,1.9,4.6,0.2,5.9,0.6
"Guatemala",14.7,2,0.02,0,0,3.8,0,0.4,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,1.1,1.4351,0.0649,0,2.3,0.1,0,0,0,0.8,0.4,9,0,0,0,0,0,0,0.1,0,0.1,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,9,0,0,0,0.6,0,9,0,0,0,0,0,0,0
"Honduras",4.95,3.87,0.99,0,0.2,0.99,0.4,0,1.01,0.11,0.1,0,0.22,0.2,0,0.22,0,0,9,0.11,0,0,1.02,0,0.2,0.287,0.013,0.1,0.09,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",27.9,0.7,0.37,0,0,0.8,0.3,1.01,0,1.57,0,0.01,0.1,0.2,0,0.1,0,0,0,0.4,0,0,1.6,0,1.4,0.9567,0.0433,0.8,0.6,0.1,0,0,0,0.2,0.3,0,0,0,0,0,0,0,0.5,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",1.76,0.16,0,0,0,0.88,0.3,0.11,1.57,0,0.01,0.22,0,1.1,0,0.99,0,0,0,0,0,0,1.68,0,0.02,0.3444,0.0156,0.18,0.4,0,0,0,0,0,0.2,9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0
