"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Libya","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,2601,476,32,60,458,70,30,66,25,33,15,416,430,46,81,874,64,9,310,172,64,528,11,172,196.7487,9.251255,181,153,68,40,11,3,2,171,0,43,22,0,1,19,41,97,56,28,13,0,20,114,0,25,69,11,83,9,3,0,13,54,0,0,30,0,4.0650001,0,20,255,294,26,3,44,0,106,256,299,167,91
"Canada",3354.1001,0,20.9,2.0999999,6.6999998,26.799999,2.3,5.1999998,0.80000001,0.60000002,9.8000002,4.5999999,20.200001,152.7,3.0999999,9,39.400002,3.7,0.30000001,3.5999999,4.8000002,2.0999999,405,0.40000001,18.6,35.624889,1.675106,21.5,18.4,4.6999998,2.3,0.60000002,0.2,4,13.1,0,0.1,0.2,0,0,2.5,0.2,9.6000004,4.3000002,2.4000001,0.1,0,0,4.5999999,0,1.2,3,1,0.40000001,0.1,17.1,0,1.2,8.3999996,0,0,1.4,0,0,0,0,14.7,30,0.1,0,14,0,0.80000001,6.0999999,1,21.1,15.8
"Cuba",508.97,20.24,0,0.99000001,0.11,8.1400003,0,3.0799999,0.55000001,0.22,0.11,0,0.33000001,0.33000001,1.4299999,0,0.11,0.11,0.11,3.96,0.44,0.55000001,17.049999,0.22,6.5999999,9.560461,0.44953921,4.4000001,2.4200001,10.45,1.21,0,0,0.99000001,4.0700002,0,0,0,0,0,0,0.76999998,2.2,3.4100001,0.55000001,0.33000001,0,0,0.11,0,0.11,0.11,0,0.33000001,0,0,0,0,0,0,0,0,0,0,0,0,1.98,26.620001,0,0,0.11,0,0,0,0.1,0,0
"Haiti",37.099998,3.3,0.40000001,0,0.1,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,2.3,0,0.69999999,1.528146,0.071854398,0.89999998,0.2,0,0,0,0,0.30000001,0.5,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0,0,0,0,0,0,0,0,0
"Dominican Republic",74.690002,4.8400002,0.11,0.11,0,0.55000001,0,0,0,0,0,0.11,0,0.88,0,0,0,0,0,0,0,0,3.8499999,0,0.99000001,2.8366201,0.1333797,0.88,0.44,0.76999998,0,0,0,0.33000001,0.99000001,0,0,0,0,0,0,0,1.65,0.11,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,1.21,1.1,0,0,0,0,0,0,0,0,0
"Mexico",611.90002,16.1,3,0,0,0,0.30000001,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0,0.1,0,0.1,0.2,0.89999998,0.2,19.1,0,4.8000002,5.730546,0.269454,10.6,10.8,3.2,1.5,0.1,0,1,4.6999998,0,0,0.1,0,0,0,1.9,9.8999996,0.89999998,1,0,0,0,0.30000001,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0,2.4000001,0.1,0,0,0.40000001,0,0,3.8,0,3.7,0.69999999
"Guatemala",47.599998,2.2,1.1,0,0,3.5,0,0.30000001,0.2,0,0.5,0.2,0,0.5,0,0.1,0,0,0,0.1,0,0,4.0999999,0,0.60000002,1.719164,0.080836199,0.60000002,0.69999999,0.2,0,0,0.1,0.30000001,0.80000001,0,0,0,0,0,0,0,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.40000001,0,0,0,0,0,0,0,0,0
"Honduras",46.75,0.44,0.22,0,0,0.88,0.44,0,1.54,0.33000001,0.11,0.33000001,0.22,0,0,0.33000001,0,0,0,0,0,0,1.98,0,0.44,3.1517999,0.14819971,0.11,0.11,0.11,0,0,0,0.11,0.33000001,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66000003,0,0,0,0,0,0,0,0,0,0
"El Salvador",42.400002,1.8,0.1,0.1,0,1.1,0.89999998,2.7,0,1.2,0,0.1,0.1,0.1,0,0,0,0,0,0.30000001,0,0,3.0999999,0,4.0999999,0.955091,0.044909,0.69999999,0.69999999,0.2,0,0,0,0.1,1.3,0,0,0,0,0,0,0,0.5,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89999998,0.1,0,0,0,0,0,0,0,0,0
"Nicaragua",31.129999,0.66000003,0.11,0,0,0.88,0,0.11,0.76999998,0,0.11,0.66000003,0.11,0,0,0,0,0,0,0,0,0,1.65,0,0.44,1.26072,0.0592799,0.11,0.11,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33000001,0.22,0,0,0,0,0,0,0,0,0
"Costa Rica",42.900002,2.4000001,0.1,0,0,0.5,0,0.40000001,0.1,0.2,0,0.69999999,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0,3.5999999,0,1.1,2.6742549,0.12574521,0.5,0.60000002,0.2,0,0,0,0.1,0.80000001,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0.69999999,0,0,0,0,0,0,0,0,0
"Panama",53.02,1.87,0.55000001,0,0.1,0.66000003,0.44,0.11,0.11,0.44,0.22,0,0.33000001,0.11,0.66000003,0.11,0,0,0,0.44,0.11,0,3.6300001,0,0.44,1.5759,0.074099898,0.66000003,0.22,0.22,0,0,0,0,0.55000001,0,0,0,0,0,0,0,0.33000001,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.11,0,0,0,0,0,0.22,0,0,0.55000001
"Colombia",278.79999,7.4000001,0.5,0.30000001,0.1,0.5,0,0.1,0,0,1.1,1.8,0,0.69999999,5.9000001,4.8000002,0.1,0,0,0.80000001,0.40000001,0.40000001,20.799999,0,5.5999999,9.55091,0.44909,12,6,0.40000001,0.2,0,0,0.40000001,3.5999999,0,0,0,0,0,0,0.1,7.5999999,0.2,0.69999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0.1,0.1,0
"Venezuela",575.90002,37.200001,5.5999999,0,0.1,2,0,0.60000002,0.40000001,2.8,0.60000002,1.3,0.60000002,0,0.1,0.2,1,0,0,0.40000001,1.9,0.30000001,60.200001,0.1,16.9,12.41618,0.58381712,19.799999,11.4,2.4000001,1.9,0.1,0.1,1,15.3,0,0,0,0,0,0.1,0.2,6.5999999,0.69999999,5.1999998,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,7.6999998,0.80000001,0,0,0.1,0,0.2,2.5999999,0.40000001,0.1,0
"Ecuador",39.490002,2.4200001,0,0,0,0.11,0,0,0,0,0,0.1,0.11,0,0,1.54,0,0,0,1.21,0.11,0,5.2800002,0,0.66000003,1.5759,0.074099898,1.3200001,0.99000001,0.11,0,0,0,0.33000001,1.3200001,0,0,0,0,0,0,0,0.76999998,0.11,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66000003,0.44,0,0,0.11,0,0,0,0,0,0
"Peru",161.39999,19.1,0.1,0,0,0.5,0,0,0,1.6,0.1,0.1,0.1,0.30000001,0.2,0,2.5,0.1,0,5.1999998,8.6999998,0.2,26.1,0,5.1999998,4.8709641,0.2290359,3.5,5.0999999,0.60000002,1,0,0.1,0.89999998,3.5999999,0,0,0,0,0,0,0.5,4.4000001,0.89999998,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,2,7,0,0,0.2,0,0,0.30000001,0.1,0.2,0
"Brazil",920.70001,54.23,0.1,0,0,1.65,0,0,0,0,0,0.11,0.11,94.489998,0.11,0.99000001,0,0.33000001,0.11,18.040001,41.689999,32.889999,188.98,0,51.59,58.833599,2.7663951,85.800003,38.720001,2.8599999,14.08,0.33000001,0,6.0500002,43.23,0,2.6400001,0.55000001,0,0,0,14.19,69.410004,31.02,25.959999,0.44,0,0,5.2800002,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6,1.54,9.0200005,0,0,0,0,0,4,3.6300001,0
"Bolivia",41.689999,5.0599999,0.11,0,0,0.22,0,0,0,0,0,0.11,0,0.1,0.11,7.1500001,2.75,0,0.11,3.3,13.97,0.99000001,8.4700003,0,0,2.73156,0.1284398,0.55000001,2.0899999,0.22,0,0,0,0.11,0.66000003,0,0,0,0,0,0,0,1.98,0.11,0.22,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.44,0,0,0,0,0,0,0,0.11,0
"Paraguay",7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.1,4.1999998,2.4000001,1.7,0,1.1,0.57305461,0.026945399,0.5,0.2,0.60000002,0,0,0,0,0.40000001,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80000001,0,0,0,0,0,0,0,0,0
