"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Libya","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,941.8999,81.01,10.4,7.79,265.9,16.7,4.35,26.2,4.13,7.2,31.16,163.9,134.4,7.31,53.1,424.07,46.24,0,85.1,72.1,22.2,121.1,40.1,27.1,4.7939,0.2061,184.4,28.7,3.8,9.5,15,2,2,154.8,0,100.8,29.2,0,0,12,17.6,11,5.5,1.7,10.1,0,28.5,108,0,19,30.7,11.5,53.4,7.1,21.7,3,76.1,5,0,0,11,0,0,9,85,473.5,58.1,10.5,1.1,22.1,0,21,0,0,110.21,92,30.08,26.6
"Canada",941.8999,0,1.34,1.8,2.32,3.7,1.5,4.88,0.2,0.36,8.4,2.13,17.9,139.3,1.24,16.4,5.9,4.88,0.1,6.3,0.5,1.4,348.6,15.4,23.7,24.5447,1.0553,10,24.1,10.1,1.4,0.1,0,2.8,18.6,9,9.1,0.3,0,0.1,0.9,0.7,5.7,36.5,1.9,0.5,0,0.1,46.5,0,0.4,1.3,1.2,22.2,0.5,19.2,0.3,6.4,0.3,0,0,1.2,0,0,0,15,112.5,9.2,0.2,0.1,12.7,0,0.5,0,0,9.13,0.3,19.56,2.46
"Cuba",81.01,1.34,0,0.1,0,3.4,0.01,1.54,0.1,0.34,1.11,0.22,1.68,3.88,0.11,0.3,0.11,0.22,9.11,1.32,2.72,5.8,86.98,0.37,2.52,0.8341,0.0359,12.35,1.19,3.25,0.29,0.1,0,0.77,2.71,0,0,0.4,0,0,0.7,0.16,2.91,0.92,0.12,0.05,0,0,0.11,0,2.5,0,0,0.11,1.2,0.9,0,0,0,9,0,0,0,0,0,0,46.4,10.88,0,9,0.11,0,0.11,9,0,0,0.11,0,0.11
"Haiti",10.4,1.8,0.1,0,0.22,0.1,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1.5,0,0.9,5.8485,0.2515,4.3,1.1,0,0,0,0.1,0.2,5.2,0,0,0,9,9,0,0,0.1,0.5,0.1,0,0,9,0,0,0,0,0,0,0.1,0,0,0,9,9,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",7.79,2.32,0,0.22,0,0.55,0,0.6,0,0,0.1,0.01,0.1,0.47,0,0,0,0,0,0,0.11,0.1,22.3,0.6,2.26,0.3164,0.0136,0.39,0.56,0.42,0,0,0,0.33,0.7,9,0,0,0,0,0,0.11,1.11,0.11,0.22,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0.99,1.32,0,0,3.7,0,0,0,9,0,0,0,0
"Mexico",265.9,3.7,3.4,0.1,0.55,0,3.3,0.99,1.2,0.66,0.7,0.23,1,2.1,0.11,0.4,0.44,0.11,0.1,0.2,0.4,0.1,11.7,0.3,0.3,13.4229,0.5771,5.2,2.8,0.6,2.1,0,0,0.5,5,0,0,0.4,0,0,0,0.5,5.9,0.8,0.6,0,0,0,0.1,0,0.9,0,0.1,0.1,9.1,0,0,0,0,9,9,0.2,0,0,9,0,81.6,3.1,0.1,0,0.4,9,0,9,9,0,0.2,3.59,0.5
"Guatemala",16.7,1.5,0.01,0,0,3.3,0,0.18,1.1,0,0,0.11,0.1,0.1,0,0.1,0,0,0,0,0,0,3.3,0,1.4,0.767,0.033,0.2,2.1,0,0,0,0.1,0.4,0.5,9,0,0,0,0,0,0.1,1.7,0.1,0.1,0,9,0,0,0,0,0.1,9,0,0,0,0,0,0,0,9,0,9,0,0,0.1,0.1,0.3,0,9,0,0,0,0,0,0,0,0,0
"Honduras",4.35,4.88,1.54,0,0.6,0.99,0.18,0,2.46,0.22,0.01,0,0.23,1,0,0.09,0,0,9,0,0,0,1.54,0,0.67,0.1534,0.0066,0.12,0.01,0.11,0,0,0.11,0.11,0.08,0,0,0,0,0,0,0,0.01,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,1.32,0.11,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",26.2,0.2,0.1,0,0,1.2,1.1,2.46,0,0.12,0.1,0.08,0.2,0.3,0.11,0.4,0,0,0,0.2,0,0,1.6,0,3.6,0.9588,0.0412,0.7,0.3,0.1,0,0,0,0.1,1.3,0,0,0,0,0,0,0,0.3,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.1,0,0,0,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",4.13,0.36,0.34,0,0,0.66,0,0.22,0.12,0,0.12,0.77,0.11,2.4,0,2.89,0,0.11,0,0,0,0,1.06,0,1.57,0.5849,0.0251,0.22,0.12,0.01,0,0,0,0,0.37,9,0,0,0,0,0,0,0.79,0,0.44,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,9,0,0.11,0,0,0,0.9,2.49,0.11,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",7.2,8.4,1.11,0,0.1,0.7,0,0.01,0.1,0.12,0,0.17,0.6,0,0.1,0,0,0,0,0.1,0,0,5.3,7.2,0.9,0.9588,0.0412,0.5,1.9,0.3,0,0,0,0.1,0.6,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,9,9,0,9,0,0,0,1.4,0.5,0,0,0.5,0,0,9,0,0,0,0,0
"Panama",31.16,2.13,0.22,0,0.01,0.23,0.11,0,0.08,0.77,0.17,0,1.55,0.99,0.45,0.1,0.11,0.11,0,0.03,0.11,0,1.44,0,0.63,1.0547,0.0453,0.66,0.22,0.22,0,0,0,0,0.95,9,0,0,0,0,0,0,0.04,1.5,0.22,0,9,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.8,0.11,0,0,0,0,0,0,9,0.11,0,0,0.55
"Colombia",163.9,17.9,1.68,0.4,0.1,1,0.1,0.23,0.2,0.11,0.6,1.55,0,0.4,5.08,8.4,0.1,0.1,0,0.8,2.9,1.3,23.6,0,4.9,1.8217,0.0783,34.6,6.1,0.3,0.5,0,0,0.8,2,0,0,0,0,0,0,0.8,0.7,0.3,0.4,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,9,9,0,9,0,0,0.9,3.4,0,0,0,0,0,0,0,9,0.5,0.1,0.4,0
"Venezuela",134.4,139.3,3.88,0,0.47,2.1,0.1,1,0.3,2.4,0,0.99,0.4,0,0.1,0.3,102.15,0.1,0.1,0.7,46.9,8.3,32,0,11.2,8.629,0.371,4.2,8.4,18,1.4,0.3,0.1,1.2,7.8,9,0,0.1,0,0,0,0.6,16.2,7.6,3.4,0.5,0,0,5.1,0,0.1,0.2,0,0.9,0.1,0.1,0,5.6,0,9,9,0.1,0,0,0,0,11.5,0.6,0,0,0,0,0.1,0,0,5.7,0,2.33,1.87
"Ecuador",7.31,1.24,0.11,0,0,0.11,0,0,0.11,0,0.1,0.45,5.08,0.1,0,1.01,0.22,0.22,0,0.3,1.46,3,4.87,0,0.38,0.2109,0.0091,0.76,0.2,0.12,0,0,0,0.12,3.65,9,0,0,0,0,0,0.11,0.08,0.01,0.19,0,0,0,1.7,0,0,0,0,0,0.1,0.1,0,0,9,0,0,0,0,0,9,0,1.23,0.33,0,0,0.11,9,0,0,0,0.2,0,0,0
"Peru",53.1,16.4,0.3,0,0,0.4,0.1,0.09,0.4,2.89,0,0.1,8.4,0.3,1.01,0,0.34,10.35,0,13.9,7.5,2.1,0.4,0.5,2.1,0.767,0.033,4.5,0.5,0.2,0.5,0,0,0.3,0.4,0,0.3,0,0,0,0,0.7,3.2,0.7,1.3,0,0,0,0.4,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,11.2,4,0.1,0,0.2,0,0,0,0,0,0.2,0.01,0.6
"Brazil",424.07,5.9,0.11,0,0,0.44,0,0,0,0,0,0.11,0.1,102.15,0.22,0.34,0,1.1,0.1,2.06,114.51,8.78,27.42,2.1,4.01,21.0164,0.9036,39.23,1.11,1.66,4.09,0.49,0,0.12,12.79,9,1.2,3.51,0,0,0,17.35,6.38,8.17,1.77,0.63,0,0,5.9,0,0,8.09,0.8,2,0.5,0.8,0.3,0.1,0.1,0,9,0.9,9,0,0,0,26.89,0.1,0,0,0,0,0,0,9,0.3,0,2.75,0.11
"Bolivia",46.24,4.88,0.22,0,0,0.11,0,0,0,0.11,0,0.11,0.1,0.1,0.22,10.35,1.1,0,0.11,2.43,9.37,0.33,25.74,0,1.22,1.6107,0.0693,0.14,1.65,0.44,0,0,9,0.11,0.05,0,0,0.1,9,0,0,0,0.99,0.11,0.22,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,9,9,0,0,0,0,0,0.09,0.33,0,0,0,0,0,0,9,0,0,0.22,0
"Paraguay",0,0.1,9.11,0,0,0.1,0,9,0,0,0,0,0,0.1,0,0,0.1,0.11,0,0,2.1,2.4,1.3,0,0.8,0.4794,0.0206,0.1,0,0.7,0,0,0,0,0.2,0,0.4,0.1,0,0,0,0,1.2,0.4,0.2,9,0,0,0.2,9,0,0,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0.1,0.2,9,9,0,0,0,0,9,0,0,0,9
"Chile",85.1,6.3,1.32,0,0,0.2,0,0,0.2,0,0.1,0.03,0.8,0.7,0.3,13.9,2.06,2.43,0,0,13.5,3.6,4.9,0.1,0.9,1.6299,0.0701,2.9,0.3,2.6,0.4,0,0,0.1,7.2,0,0,0.7,0,0,0,0.5,0.8,1.1,0.5,0,0,0,0.1,0,0,0,0,7.7,0.1,0.2,0,0.1,0,9,0,1.5,0,0,0,0,0.5,0.3,0.1,0,0,0,0,0,0,0,0,0.04,0.1
"Argentina",72.1,0.5,2.72,0,0.11,0.4,0,0,0,0,0,0.11,2.9,46.9,1.46,7.5,114.51,9.37,2.1,13.5,0,1,222.9,5.2,12.2,41.1315,1.7685,38.4,0.6,8.1,1.7,2.7,1.7,3.3,14.5,9,0.2,1.2,0,0.6,9.3,0.6,10.1,2.9,1.2,0,0,0,1.8,0,0.1,0,0,0.5,0.1,0.1,0,4.8,5.5,0,9,0,0,0,0,0,39.6,43.4,0,0,0,0,0,0,0,0.66,0,1.1,0.11
"Uruguay",22.2,1.4,5.8,0,0.1,0.1,0,0,0,0,0,0,1.3,8.3,3,2.1,8.78,0.33,2.4,3.6,1,0,61.1,0.6,9.5,10.4507,0.4493,1,11.5,2.2,0.1,0.2,0,0.2,9.2,0,0.1,0.2,0,0,0.2,0.3,5,0.8,0.9,0,0,9,0.3,0,0,1,0,0.5,9,0,0,0.7,0,9,9,0,9,0,0,0,13.3,3.1,0,9,0.3,9,0,0,0,0.22,0,0.56,0.1
"United Kingdom",121.1,348.6,86.98,1.5,22.3,11.7,3.3,1.54,1.6,1.06,5.3,1.44,23.6,32,4.87,0.4,27.42,25.74,1.3,4.9,222.9,61.1,0,34.5,28,41.1316,1.7685,67.2,15.7,40,21.2,44.5,3.4,15.7,66.8,0,0.6,13.3,0.2,3.9,77.3,77.7,66.8,82.5,76,4,0,3.2,242.1,0,5.8,51.4,108.3,7,2.8,14.1,8.5,12.2,10.4,0,0,11.1,0,0,0,2.2,23.1,20.5,28.4,24.5,9.6,0,37.5,0,0,1.58,34.1,151.06,190.95
"Ireland",40.1,15.4,0.37,0,0.6,0.3,0,0,0,0,7.2,0,0,0,0,0.5,2.1,0,0,0.1,5.2,0.6,34.5,0,22.6,6.8073,0.2927,8.2,3.3,5.1,2.1,0,0,0.5,5.2,0,0,1.3,0,0,0.8,5.2,10,1,3.9,0.4,0,0,1.8,0,0,1.1,0,0.3,0,0.1,0,0.5,0,0,0,0.8,0,0,0,0,2.3,8,1.4,0.1,0.7,9,0,0,0,0.6,0.5,13.16,7.49
"Netherlands",27.1,23.7,2.52,0.9,2.26,0.3,1.4,0.67,3.6,1.57,0.9,0.63,4.9,11.2,0.38,2.1,4.01,1.22,0.8,0.9,12.2,9.5,28,22.6,0,66.635,2.865,1.2,18.7,0.8,4.3,0.4,3.6,1.4,20.3,0,9.1,4,0.6,1.5,8.6,0.9,6.4,22.4,53.2,1.6,0,0.2,6,0,1,13.7,8.6,7.7,1.2,38.8,0.8,3.4,4.9,0,0,11.2,0,0,0,0.8,9.1,13.5,0.4,4.1,5.2,0,5.7,0,0,4.13,40.1,3.35,2.48
"Belgium",4.7939,24.5447,0.8341,5.8485,0.3164,13.4229,0.767,0.1534,0.9588,0.5849,0.9588,1.0547,1.8217,8.629,0.2109,0.767,21.0164,1.6107,0.4794,1.6299,41.1315,10.4507,41.1316,6.8073,66.635,0,0,100.9592,6.8073,0.5753,25.7911,11.5053,3.3557,2.2052,36.4335,0,9.8754,12.9435,0.0959,9.9713,0.1918,2.0134,1.3423,17.5456,29.6262,1.4382,0,1.0547,8.629,0,9.8754,19.4632,15.7239,3.6434,0.9588,5.8485,0.5753,10.8342,0.1918,0,0,5.5609,9,0,0,2.7805,1.6299,0.3835,12.7517,0.1918,0.2876,0,4.0269,0,0,2.0805,15.8198,58.1882,5.5513
"Luxembourg",0.2061,1.0553,0.0359,0.2515,0.0136,0.5771,0.033,0.0066,0.0412,0.0251,0.0412,0.0453,0.0783,0.371,0.0091,0.033,0.9036,0.0693,0.0206,0.0701,1.7685,0.4493,1.7685,0.2927,2.865,0,0,4.3408,0.2927,0.0247,1.1089,0.4947,0.1443,0.0948,1.5665,0,0.4246,0.5565,0.0041,0.4287,0.0082,0.0866,0.0577,0.7544,1.2738,0.0618,0,0.0453,0.371,0,0.4246,0.8368,0.6761,0.1566,0.0412,0.2515,0.0247,0.4658,0.0082,0,0,0.2391,9,0,0,0.1195,0.0701,0.0165,0.5483,0.0082,0.0124,0,0.1731,0,0,0.0895,0.6802,2.5018,0.2387
"France",184.4,10,12.35,4.3,0.39,5.2,0.2,0.12,0.7,0.22,0.5,0.66,34.6,4.2,0.76,4.5,39.23,0.14,0.1,2.9,38.4,1,67.2,8.2,1.2,100.9592,4.3408,0,48.3,13.8,9.3,4.1,1.3,2.3,62.1,0,21.4,14.3,0.8,6.9,0.8,0.4,3.9,10.4,16.4,0.4,0,0.6,28,0,1,12.9,187.4,7.4,3.2,8.2,2.1,4.4,67.4,0,0,1.3,0,0,0,0,11.9,7.1,31.3,0.4,1.8,0,4,0,0,0.79,6.4,154.4,50.15
