"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Democratic Republic","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Libya","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,2574,432,26,77,380,70,33,66,28,35,20,544,541,65,117,732,55,6,213,110,33,538,5,180,197.64529,8.3546705,169,156,69,32,4,23,1,3,152,0,25,20,0,0,13,42,81,62,55,11,0,36,98,0,21,69,18,22,9,4,0.1,15,63,0,0,0,0,0,0,21,301,215,25,1,31,0,59,0,0,0,0,282,179,128,48
"Canada",3362.3,0,11.2,1.8,1.9,15.8,5.6999998,3,1.1,0.2,8.8000002,6.5999999,28.1,189.39999,4.3000002,2.5,35.5,0.30000001,0.60000002,0.2,3.0999999,1.2,443.29999,1.3,25.5,27.24819,1.151809,24.9,21.700001,6.3000002,2.3,0.80000001,0.40000001,0.2,2,16.9,0,0.30000001,0.30000001,0,0,0.80000001,0.69999999,10.3,2.2,4,0.1,0,0.1,6.6999998,0,1.5,0.80000001,0.2,0.60000002,0,19.700001,0,1.2,2.5,0,0,1.9,0,0,0,0.2,21.700001,31.700001,0.69999999,0.1,14.2,0,0.89999998,0,0,0,0,4.5,0.69999999,27.9,8.3000002
"Cuba",404.03,11.77,0,0,0.11,6.9299998,0,1.1,0,0.11,0.11,0,0.22,5.8299999,0.11,0.11,0.88,0,0.11,1.21,0.55000001,0.44,12.65,0.22,4.9499998,11.60926,0.49073559,4.0700002,1.87,10.78,1.1,0,0,0,0.88,4.1799998,0,0,0,0,0,0,0.33000001,1.54,2.6400001,0.22,0.44,0,0,0.22,0,0,0.11,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,3.1900001,9.2399998,0,0,0.11,0,0.11,0,0,0,0,0,0.11,0,0
"Haiti",30.6,3.9000001,0.1,0,0.1,0.30000001,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,2,0,1.1,0.95944327,0.040556699,1.1,0.30000001,0,0,0,0.1,0.30000001,0.2,0.80000001,0,0,0,0,0,0,0,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",59.950001,4.6199999,0.22,0.11,0,0.66000003,0,0,0,0,0,0.11,0,0.33000001,0,0,0,0,0,0,0,0,2.6400001,0,1.1,2.8495469,0.1204533,2.0899999,0.44,0.76999998,0,0,0,0,0.44,1.4299999,0,0,0,0,0,0,0.11,0.33000001,0.11,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3200001,0.76999998,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",646.59998,18.6,2,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0,1.3,0.60000002,0.30000001,15.2,0,6.5,4.3174949,0.182505,13.2,10.9,3.5999999,1.6,0,0,0,0.80000001,12.9,0,0,0,0,0,0,1,9,0.5,0.60000002,0,0,0,0.89999998,0,0,0,0,0.1,0,0,0,0,0,0,0,0.30000001,0,0,0,0,3.0999999,0.1,0,0,1,0,0,0,0,0,0,0,0,8.8000002,1
"Guatemala",55.599998,2.3,0.2,0,0,3.7,0,0.30000001,0.80000001,0,0,4.8000002,0.1,0.5,0,0,0,0,0,0.1,0,0,3.4000001,0,1.6,1.151332,0.048668001,0.80000001,1,0.2,0,0,0,0,0.80000001,0.80000001,0,0,0,0,0,0,0.1,0.30000001,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",38.830002,0.44,0.22,0,0.22,0.76999998,0,0,1.65,0.44,0.22,0.11,0.11,0.11,0,0,0,0,0,0,0,0,1.65,0,0.76999998,0.63323271,0.026767399,0.33000001,0.33000001,0.11,0,0,0,0,0.22,0.44,0,0,0,0,0,0,0,0.11,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",51.200001,1.3,0.1,0,0,1.3,1.4,4.1999998,0,1.8,0.5,1,0.30000001,1,0,0,0,0,0,0.60000002,0,0.1,2.9000001,0,4.9000001,1.822942,0.077057697,1.1,1.1,0.30000001,0,0,0,0,0.2,1.1,0,0,0,0,0,0,0.1,0.80000001,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",41.689999,1.1,0.1,0,0,0.66000003,0,0.11,1.76,0,0.22,1.76,0.33000001,0,0,0,0,0,0,0,0,0,2.0899999,0,0.76999998,1.477543,0.0624572,0.22,0.44,0.11,0,0,0,0,0.11,0.55000001,0,0,0,0,0,0,0,0.22,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,1.3200001,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",47,2.5,0.2,0,0,0.80000001,0,0.2,0.1,0.1,0,0.89999998,0.30000001,0.2,0,0.40000001,0,0,0,0.1,0,0,5.9000001,0,1.8,1.535109,0.064890698,1.1,0.80000001,0.40000001,0,0,0,0,0.2,1.2,0,0,0,0,0,0,0.2,0.5,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panama",49.610001,1.87,0.33000001,0,0.11,0.44,0.11,0.11,0.11,0.11,0.22,0,0.22,0.22,0.11,0,0,0,0,0.22,0.33000001,0,3.0799999,0,0.76999998,1.583081,0.0669185,0.76999998,0.44,0.33000001,0,0,0,0,0,0.66000003,0,0,0.1,0,0,0,0,0.66000003,0.11,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,1.1,0.11,0,0,0,0,0,0,0,0,0,0.22,0,0,0.55000001
"Colombia",420.89999,13.9,1,0.1,0.40000001,1.2,0,0.1,0,0.2,2.0999999,3.3,0,1.8,8.1000004,3.0999999,0,0,0,1.2,0.40000001,1.6,30,0,11.9,16.310539,0.6894632,29.5,9.8999996,1.4,0.60000002,0,0,0,0.89999998,7.1999998,0,0,0,0,0,0,0.5,11.7,0.30000001,1.5,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3000002,0,0,0,0,0,0,0,0,0,0,1,0.2,0.69999999,0.1
