"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Libya","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,2887,457,18,67,449,78,27,68,27,30,22,477,622,57,130,683,46,5,218,136,16,666,6,172,250.0786,10.92138,218,159,64,35,396,6,28,37,2,4,194,0,28,27,0,0,19,48,91,66,63,8,0,33,104,0,37,62,34,27,13,5,0.1,19,64,0,0,0,0,5.4000001,0,7,466,240,32,1,38,0,113,0,0,0,0,274,229,138,47
"Canada",3858.5,0,11.2,1.8,1.8,32,5.0999999,1.9,3.3,1.5,6.6999998,10.1,24.799999,208.89999,5.8000002,1,34.200001,0,0.2,0.2,5,0.60000002,446.70001,0.40000001,23.4,30.948429,1.351573,27.799999,21.6,6.9000001,2.3,61.799999,0.69999999,0.69999999,3,0.1,3.2,20.6,0,0.60000002,0.30000001,0,0,0.69999999,0.40000001,13.5,2.5999999,4.6999998,0,0,0.1,6.9000001,0,2.3,0.89999998,1.4,0.30000001,1.2,20,0,1.3,7.8000002,0,0,3.5,0,0.097999997,0,0.60000002,40.900002,39.200001,0.89999998,0,17.4,0,1.3,0,0,0,0,2.3,1.1,29.299999,13.8
"Cuba",465.63,17.82,0,0,0.33000001,10.12,0.11,1.76,0,0.33000001,0,0,0.22,11.22,0.11,0,0.33000001,0,0,1.4299999,0.55000001,0,14.3,0.22,7.5900002,12.43686,0.54313982,4.9499998,1.98,13.2,0.44,16.389999,0,0,0.44,0,1.4299999,4.8400002,0,0,0,0,0,0,0.33000001,1.76,2.8599999,0.55000001,0.33000001,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,4.4000001,11.88,0.11,0,0.11,0,0.22,0,0,0,0,0.22,0,0,0
"Haiti",25.6,2.3,0.1,0,0.1,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0.89999998,0.86233997,0.037659898,1,0.30000001,0.1,0,1.6,0,0.5,0,0.5,0.2,0.40000001,0,0,0,0,0,0,0,0.1,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",70.839996,4.29,0.22,0.11,0,0.76999998,0,0,0,0,0,0,0,1.76,0,0.11,0.76999998,0,0,0,0,0,3.1900001,0,1.54,1.897148,0.082851797,2.0899999,0.55000001,1.21,0,4.6199999,0,0,0.11,0.11,0.44,1.21,0,0,0,0,0,0,0.11,0.33000001,0.11,0.33000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0899999,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",701,29.1,1.4,0,0,0,0.1,0,0.1,0,0,0.30000001,0.1,0.1,0,0,0,0,0,0.30000001,0.69999999,0.40000001,20.4,0,6.6999998,5.1740398,0.2259596,9.1000004,12.1,4.1999998,1.8,34.299999,0,0.1,0.60000002,0,0.80000001,18.6,0,0,0,0,0,0,0.60000002,11.9,0.80000001,0.80000001,0,0,0,0.60000002,0,0,0,0,0.1,0,0,0,0,0,0,0,0.30000001,0,0,0,0,5.3000002,0.2,0,0,0.69999999,0,0,0,0,0,0,0.1,0.40000001,10.8,0.5
"Guatemala",69.800003,3,0.1,0,0.1,5.6999998,0,0.60000002,0.80000001,0,0.1,0,0.1,0.69999999,0.1,0,0,0,0,0.1,0,0,4,0,1.5,1.341418,0.058582101,1.1,1,0.30000001,0,7.4000001,0,0,0.1,0,0.1,0.80000001,0,0,0,0,0,0,0.1,0.30000001,0.1,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",39.490002,0.44,0.44,0,0.11,1.1,0,0,1.98,0.22,0.22,0.11,0.11,0.11,0,0,0,0,0,0,0,0,1.54,0,0.66000003,0.94857413,0.041425899,0.44,0.22,0.11,0,3.74,0,0,0,0,0.44,0.55000001,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",52.400002,1.7,0.1,0,0.1,1.5,1.8,4,0,0.69999999,0.40000001,1.1,0.2,0.40000001,0.5,0,0,0,0,0.30000001,0,0.1,3.2,0,4.6999998,2.5870199,0.1129798,1.3,1.1,0.30000001,0,7.1999998,0,0,0,0,0.2,1.3,0,0,0,0,0,0,0.1,0.69999999,0.1,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",45.400002,1.3,0.1,0,0,0.69999999,0,0.1,1.2,0,0.2,2,0.30000001,0,0.30000001,0,0,0,0,0,0,0,2.3,0,0.69999999,1.628865,0.071135402,0.60000002,0.40000001,0.1,0,4.4000001,0,0,0,0,0.1,0.5,0,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1.4,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",52.099998,3,0.1,0,0,0.89999998,0,0.2,0.30000001,0.2,0,0.80000001,0.40000001,0.2,0.80000001,0,0,0,0,0.1,0,0,6,0,2,1.820496,0.079504304,1.1,0.80000001,0.40000001,0,8,0,0,0.2,0,0.2,1.3,0,0,0,0,0,0,0.1,0.40000001,0.1,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panama",49.939999,1.65,0.33000001,0,0,0.44,0.11,0.55000001,0.11,0.11,0.33000001,0,0.22,0.11,0,0.11,0,0,0,0.33000001,0.22,0,3.74,0,0.99000001,1.686354,0.073646098,0.88,0.44,0.33000001,0.11,3.4100001,0,0,0,0,0,0.66000003,0,0,0,0,0,0,0,0.55000001,0,0.33000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99000001,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0.55000001
"Colombia",420.60001,17.1,0.89999998,0.1,0.1,0.89999998,0,0,0,0.1,2.5999999,7.5999999,0,1.4,6.0999999,3.5,0,0,0,0.5,0.30000001,1,28.9,0,10.9,15.13886,0.66114098,20.200001,10.2,1.4,0.30000001,64.400002,0,0,1.7,0,1.2,6.8000002,0,0,0,0,0,0,1.1,13.3,0.30000001,2,0,0,0,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9000001,0,0,0,0,0,0,0,0,0,0,0.89999998,0,0.80000001,0.2
