"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,1506.5,40.47,13,12.99,385.5,4.64,9.56,2.2,21.2,28.7,33.44,38.1,96.4,12.13,22.2,416.39,11.5,2,96.5,84.4,4.8,304.8,29.2,326.7,76.9804,3.4196,425.7,41,126.8,12.7,416,0.5,27.25,74.4,0.4,6.23,286.6,0,95.2,49.1,0,1,21.7,11.8,108.8,38.1,68,5.1,0,20.1,146,28.1,8,1.6,1.1,1.6,11.8,1.4,55.7,9.8,22.1,5.2,95.7,6,1,9,0,0,0,9,314,462.3,25.1,14.1,3.7,25.5,0,47.2,5.7,3.4,0,70,51.66,65.8,84.23,14.11
"Canada",1506.5,0,1.71,1.1,3.36,14.3,1.08,7.23,0.4,0.3,1.9,6.53,10.8,195.3,2.14,8.8,28.02,0.6,0.1,1.9,2.7,2.3,431.1,12.3,20.8,12.3513,0.5487,32.4,18.8,2.1,0.7,60.1,0.2,12.58,3.6,3.5,25.6,11.5,9,0.8,3.7,0.1,0.2,25.8,1.4,9.5,52.8,3.7,0.2,0,0,56.9,1.3,0.1,0,0,1,0.5,0.3,1.6,0.6,20.8,0.1,1,25.7,0,0,3.9,0,0,0,1.4,76,20,0.6,0.1,15.2,0,0.7,0,0,0,9.3,15.11,0.6,26.49,5.65
"Cuba",40.47,1.71,0,0.1,0.33,0.79,0.33,1.1,0.01,0.01,1.3,0.33,0.68,9.97,0.01,0.29,0.11,0,9,0.63,0.45,5.9,23.8,0.01,4.32,8.5693,0.3807,3.19,2.34,1.02,0.45,2.98,0,0.77,6.44,0.9,1.59,2.2,0,3.2,4.9,0,0,16.1,2.77,5.88,2.46,0.46,0.36,0,0,0.08,14.07,0,0,0,6.09,0,0,0.11,4.7,2.8,0,4.29,0.1,9,0,0,0,0,0,0.9,57.77,11.66,3.13,9,4.69,0,0.11,9,0,0,9.8,0.11,0.49,0,0
"Haiti",13,1.1,0.1,0,0.22,0.1,0,0,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1.3,0,0.3,8.2342,0.3658,3.7,1.6,0.1,0,1,0,0.8,0.1,0.8,0.5,7.4,0,0,0,9,9,0,0,0.8,1.9,0.4,0,0,9,0,0,0,0,0,0,0,0,0,0.2,0,0,0,9,9,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0.1,0,0,9.1,0,0,0,0
"Dominican Republic",12.99,3.36,0.33,0.22,0,0.77,0.11,0.11,0.1,0,0,0.11,0.3,1.24,0,0,0,0,0,0,0,0,31.93,2.2,0.34,1.7713,0.0787,1.17,0.07,0.19,0.11,1.15,0,0,0.48,0.11,0.22,0.77,9,0,0.6,0,0,0,0.22,0.05,0.02,0.33,0,0,9,0,0.4,0,0,9,0.8,0,0,0,9,0.6,0,0,0,0,0,0,9,0,0,0.7,5.68,1.32,0.11,0,0.7,0,0,0,9,0,9.1,0.11,0.11,0,0
"Mexico",385.5,14.3,0.79,0.1,0.77,0,5.07,0.45,2.7,0.7,0.6,0.56,0.6,2.6,0.22,0.5,0.33,0.1,0.1,0.5,0.3,0.7,7.4,0.4,2.4,9.0002,0.3998,7.1,1.4,4,1.7,55.4,0,1.88,2,0,1.8,13.8,0,1.8,0.4,0,0,0.1,1.2,2.9,1.6,0.1,0,0,0,0.9,0,0.1,0,0,0.7,0,0,0,9.1,0,0,0.5,0,9,9,0.9,0,0,9,0,122.3,0.3,0,0,1.2,9,0,9,9,0,0,0.01,0.5,1.99,0.39
"Guatemala",4.64,1.08,0.33,0,0.11,5.07,0,0.66,1.13,0,0.12,0.22,0.33,0.77,0,0,0,0,0,0,0,0,4.15,0,0.02,0.3255,0.0145,0.8,1.8,0.44,0.11,3.75,0,0,0.58,0,0,0.8,9,0,0,0,0,0,0.01,3.85,0.22,0.88,0,9,0,0.1,0,0,0,0,0,0.11,9,0,0,0,0,0.1,0,0,9,0,9,0,0,0,0.33,0.11,0,9,0.11,0,0,0,0,0,0,0,0,0,0
"Honduras",9.56,7.23,1.1,0,0.11,0.45,0.66,0,3.97,0.01,0.1,0.11,0.56,1.4,0,0,0,0,9,0,0,0,0.35,0,0.56,0.8617,0.0383,0.23,0.18,0.11,0,0.93,0,0,0,0,0.34,0.37,0,0,0,0,0,0,0,1.38,0.2,0.01,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,3.31,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",2.2,0.4,0.01,0.1,0.1,2.7,1.13,3.97,0,0.5,0.3,0.79,0.6,0.5,0.3,0,0,0,0,0.2,0,0,0.9,0,4,2.6809,0.1191,1.1,0.4,0,0.1,20.4,0,0,0.1,0,0.3,0.6,0,0,0,0,0,0,0,0.3,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",21.2,0.3,0.01,0,0,0.7,0,0.01,0.5,0,0.2,1.48,0.3,0,0.7,1.4,0,0,0,0,0,0,0.3,0,3.4,0,0,0.5,0.1,0.1,1,13,0,0,0.8,0,0.2,0.5,9,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
