"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ghana","Ethiopia","South Africa","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,3187,526,20,68,485,80,31,60,25,30,27,418,981,63,164,763,22,7,215,142,20,852,10,187,281.1282,12.87178,279,189,63,29,661,5,33,41,1,9,268,0,39,39,1,1,19,44,130,69,80,7,0,49,36,111,12,5,0,4,36,101,32,19,11,5,0.1,22,45,0,22,0,0,0,0,4,655,299,66,3,36,0,93,0,0,0,0,0,286,218,162,71
"Canada",4605.5,0,16,1.8,1.4,24.1,4,5.3000002,1.7,0.60000002,10,8.3000002,20.799999,285,5.3000002,3.2,40.400002,0.1,0.30000001,1.9,5.3000002,0.80000001,599.79999,1.3,29.299999,48.289028,2.2109699,41.599998,28.5,6.5999999,3,112,0.89999998,1.4,5.1999998,0.2,5.6999998,38,0,0.69999999,0.30000001,0,0,3.2,0.40000001,18.200001,3.5999999,9.8999996,0,0,3.5999999,0.1,7.6999998,0.2,0.1,0,0,0.60000002,1,0.40000001,0.30000001,0.30000001,0,0,1.9,39.299999,0,0,6.1999998,0,0,0,0,70.400002,33.099998,0.60000002,0,16.9,0,0.80000001,0,0,0,0,0,4.5999999,1.2,33.099998,13.6
"Cuba",636.23999,14.19,0,0,0,5.7199998,0.11,1.87,0,0.22,0.11,0,0.33000001,39.380001,0.11,0,0.22,0,0,2.0899999,1.4299999,0.22,23.43,0.33000001,5.0599999,10.93914,0.50086123,7.48,2.0899999,13.09,0.44,22.66,0,0.22,0.76999998,0,2.4200001,6.3800001,0,0,0,0,0,0,0.33000001,2.75,2.53,0.55000001,0.44,0,0,0,0.33000001,0.66000003,0,0,0,0.11,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4000001,15.73,0.22,0,0.22,0,0,0,0,0,0,0,0.22,0.11,0,0.11
"Haiti",25,2.4000001,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1.9,0,0.80000001,0.66935289,0.030647101,1.3,0.40000001,0,0,0,0,0.89999998,0,0,0,1.9,0,0,0,0,0,0,0,0.1,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",77,5.4000001,0.5,0,0,0.5,0,0,0,0,0,0,0,2.5,0,0,0.1,0,0,0,0,0,4.9000001,0,1.7,2.868655,0.13134471,1.9,0.69999999,0.80000001,0.1,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0.30000001,0.40000001,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",889.70001,33.700001,1.6,0,0,0,0.2,0,0.1,0.1,0.1,2.5,0.1,3.0999999,0,0.2,0,0,0,0.5,1,0.40000001,32.299999,0.1,9.1000004,8.0322342,0.36776519,12,13,4.8000002,2.0999999,63.599998,0,0.2,1.2,0,2,25.5,0,0,0,0,0,0.1,1.5,12.7,1,1.3,0,0,0,0,3.9000001,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.5,0,0,0,0,6.5,0.1,0,0,1.3,0,0,0,0,0,0.2,0,0,0.5,10.3,0.5
"Guatemala",87.779999,3.4100001,0.11,0,0.11,6.0500002,0,0.55000001,1.1,0,0.22,0,0.22,1.3200001,0.11,0,0,0,0,0.11,0.11,0,6.5999999,0,3.4100001,3.260705,0.1492952,2.0899999,1.54,0.55000001,0.11,11.77,0,0,0.33000001,0,0,2.3099999,0,0,0,0,0,0,0.22,0.66000003,0.22,0.55000001,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0
"Honduras",48.400002,0.99000001,0.76999998,0,0,1,0.11,0,2.53,0,0,0.44,0.33000001,0,0,0,0,0,0,0,0,0,1.87,0,0.88,1.157024,0.052975699,0,0,0,0,5.0599999,0,0,0,0,0.66000003,0.55000001,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,0.33000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",59.400002,1.7,0.2,0,0,2.2,2.5,5,0,0.80000001,0.40000001,0.80000001,0.5,0.60000002,0,0,0,0,0,0.30000001,0,0.1,5.4000001,0,7.0999999,5.0679579,0.2320424,1.8,1,0.40000001,0,9.1999998,0,0,0,0,0.30000001,1.8,0,0,0,0,0,0,0.1,0.89999998,0.1,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",47.099998,1.1,0.1,0,0,0.89999998,0.2,0.1,1.6,0,0.89999998,1.8,0.40000001,0.40000001,0.1,0,0,0,0,0,0,0,3,0,1,2.3905461,0.1094539,0.5,0.5,0.2,0,8.5,0,0,0,0,0.2,0.69999999,0,0,0,0,0,0,0,0.30000001,0,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,2.2,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",56.799999,2.9000001,0.2,0,0,0.89999998,0,0.1,0.5,0.30000001,0,0.80000001,0.69999999,0.60000002,0.5,0,0,0,0,0.2,0,0,5.0999999,0,4,2.964277,0.13572291,2.5,1,0.40000001,0,9.5,0,0,0.2,0,0.2,1.6,0,0,0,0,0,0,0.2,0.60000002,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,3.5,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"Panama",64.459999,1.98,0.33000001,0,0,0.44,0.11,0.11,0.11,0.22,0.44,0,0.11,0.11,0.76999998,0.11,0,0,0,0.55000001,0.22,0,4.5100002,0,1.1,2.314049,0.1059514,1.1,0.55000001,0.33000001,0.11,3.8499999,0,0,0,0,0.11,1.1,0,0,0,0,0,0,0.11,0.76999998,0,0.55000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1.76,0.22,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0.76999998
"Colombia",288.79999,12.6,0.89999998,0,0.1,0.60000002,0,0,0,0,1.1,2.0999999,0,1.2,6.8000002,1.8,0,0,0,1.4,0.2,0.30000001,21.799999,0,8.1999998,9.2753181,0.42468131,15.4,8.3000002,0.60000002,0.5,45.299999,0.30000001,0.1,1.3,0.2,1.6,9,0,0,0,0,0,0,2.7,13.6,0.5,3.9000001,0,0,0,0,1.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5.4000001,0.1,0,0,0,0,0,0,0,0,0,0,0.40000001,0.2,1.1,0.1
"Venezuela",1169.7,44.299999,1.2,0,0,7.1999998,0.2,2.5999999,0.1,0.2,0.2,0.1,0.40000001,0,0,0.60000002,0.60000002,0,0,1.8,6.1999998,0,115.5,0,33,39.109329,1.7906671,49.799999,20.5,4.1999998,2,150.89999,0,0,0,0,2.5,81.199997,0,0,0.1,0,0,0,2.4000001,13.1,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,29.200001,0,0,0,0,0,0,0,0,0,0,0,4.8000002,0,1,0
