"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Guinea","Liberia","Ghana","Ethiopia","South Africa","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,3262.1001,577,25,78.099998,519,72,33,53,23,40,27,363,975,62,151,619,13,8,170,145,10,951.90002,18,210.10001,282.37851,12.62147,331,172,63,29,694,7,33,45,1,9,302,0,33,41,1,0,19,40,137,82,92,11,0,36,69,32,226,9,4,0.30000001,5,46,61,33,20,6,4,0,20,78,1,15,0,0,0,0,3,733.09998,272,34,1,30,0,63,10,0.1,0,5,0,299,189,105,121
"Canada",4061.1001,0,21.5,1.2,3.2,36.400002,4,5.5,1.3,3,8.1000004,8.5,18.9,237.7,5.5999999,2.8,31.1,0.1,0.2,0.89999998,6.3000002,0.89999998,597.09998,1.7,33.400002,39.245831,1.7541699,46.799999,30.4,7.6999998,3.5,120.1,1.2,1.5,5.5999999,0.89999998,5.6999998,37.200001,0,0.80000001,0.30000001,0,0,2,0.89999998,16.1,3.7,8.8000002,0,0,0.1,2.5,0,8.8999996,0.1,0.1,0,0.1,1.3,0.69999999,1.8,0.30000001,0.2,0.1,0,2.0999999,77.099998,0.1,0,6.1999998,0,0,0,0,79.800003,31.6,0.40000001,0.1,14.4,0,0.69999999,0,0,0,0,0,2.5,0.1,37.200001,13
"Cuba",553,18.299999,0,0,0,3,0.30000001,1.9,0,0.69999999,0.1,0,0.89999998,0,0,0.1,0.60000002,0,0,1.5,0.80000001,0,26.1,0,6.3000002,12.92241,0.57759261,9.3999996,6.5,12.2,0.2,0,0,0,0,0,0,11,0,0,0,0,0,0,0.5,3.5,4.1999998,0.60000002,0.40000001,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,5.4000001,9.8000002,0.60000002,0,0.2,0,0,0,0,0,0,0,0,0,0,0
"Haiti",25,2.3,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0.89999998,0.95721543,0.042784601,1.6,0.5,0,0,0,0,0,0,0,0,0.69999999,0,0,0,0,0,0,0,0.2,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",80,5.5999999,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3000002,0,1.8,3.637418,0.16258159,1.6,1.2,0.69999999,0.2,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0.2,0.5,0.30000001,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0999999,0.30000001,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"Mexico",869,24.1,0.60000002,0,0,0,0.30000001,0,0.1,0,0,5.4000001,0.1,0.2,0,0.30000001,0.1,0,0.1,0.40000001,1.9,0.60000002,36.5,0.1,11.5,9.3807106,0.4192895,24.1,12.3,4.3000002,1.7,56.799999,0,0.1,1.4,0,1.4,21.4,0,0,0,0,0,0.5,0.80000001,11.7,0.89999998,2.5,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,8,4.3000002,0.1,0,1.7,0,0,0,0,0,0.1,0,0,0.2,8.1000004,0.2
"Guatemala",88.699997,4.1999998,0.30000001,0.1,0.2,5.0999999,0,0.89999998,1.3,0,0.1,0,0.1,1.2,0,0,0,0,0,0,0.1,0,7.8000002,0,3.5999999,1.627266,0.072733901,1.9,1.7,0.5,0.1,14.6,0,0,0.30000001,0,0,3.0999999,0,0,0,0,0,0,0.1,0.5,0.2,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1.3,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
"Honduras",40.099998,0.80000001,0.30000001,0,0.1,0.80000001,0.30000001,0,3.5999999,0.1,0.1,0.80000001,0.1,0.1,0,0.1,0,0,0,0,0,0.1,1.7,0,1,1.052937,0.047063101,0.2,0.5,0.2,0,0,0,0,0.1,0,0.40000001,0.5,0,0,0,0,0,0,0,0.2,0.1,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",52.599998,1.8,0.2,0,0,2.0999999,3,6.3000002,0,0.80000001,0.40000001,1.2,0.40000001,0.69999999,0.1,0,0,0,0,0,0,0.1,4.8000002,0,7.5999999,3.4459751,0.15402471,1.2,1.3,0.40000001,0,10.2,0,0,0.1,0,0.30000001,1.6,0,0,0,0,0,0,0,1.2,0.1,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",42.799999,1.5,0,0,0,1.1,0.30000001,0.2,1.4,0,0.80000001,2.2,0.30000001,1.1,0,0,0,0,0,0.1,0,0,3.3,0,1.4,2.9673669,0.1326324,0.40000001,0.5,0.2,0.1,6.0999999,0,0,0.1,0,0,0.69999999,0,0,0,0,0,0,0,0.40000001,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0999999,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",50.799999,2.5999999,0.40000001,0,0,1.6,0.1,0.1,0.69999999,0.2,0,1,0.89999998,0.60000002,0.2,0,0.1,0,0,0.2,0.1,0.1,5.6999998,0,4.3000002,1.627266,0.072733901,1.3,1.1,0.30000001,0.1,10.5,0,0.2,0.2,0.1,0.2,2,0,0,0,0,0,0,0.2,0.60000002,0.30000001,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,5.0999999,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panama",56.209999,1.76,0.33000001,0,0,0.55000001,0.11,0.11,0.11,0.22,0.44,0,0.11,0.11,0.11,0.11,0,0,0,0.44,0.11,0,3.74,0,1.3200001,2.1058741,0.094126202,0.76999998,0.55000001,0.22,0.11,4.1799998,0,0.11,0,0,0.11,1.1,0,0,0,0,0,0,0,1.1,0.11,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8599999,0.11,0,0,0,0,0,0,0,0,0,0,0.55000001,0,0,0.55000001
"Colombia",237.7,12.3,2.7,0,0.1,0.40000001,0,0.1,0.1,0.1,1.4,3,0,3.4000001,4,1.2,0,0,0,0.80000001,0.2,0.5,17,0,7.5999999,6.3176212,0.28237861,13.2,7.4000001,0.40000001,0.2,46.400002,0.69999999,0,1,0.2,1,4.6999998,0,0,0,0,0,0,1.7,13.4,0.30000001,1.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.89999998,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0.69999999,0.1,0.60000002,0
"Venezuela",901.09998,49,2.5999999,0,0.69999999,3.9000001,0.1,1.2,0,0,0.2,0.1,1.2,0,0,0.60000002,2.5999999,0,0,1.5,6.8000002,0,112.8,0,36.299999,33.7897,1.510298,38.5,24.1,4.8000002,3,132.8,0,0,0,0,2.8,103.4,0,0.1,0.1,0,0,0,2.8,14.6,0,19.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,27.1,0,0,0,0,0,0,0,0,0,0,0,5.0999999,0,0,0
"Ecuador",50.599998,4.4000001,0,0,0,0.44,0,0,0.11,0,0,0.11,0.44,0.55000001,0,0.76999998,0,0,0,1.21,0,0.11,7.9200001,0,2.2,2.7376361,0.1223641,1.98,2.3099999,0.22,0.33000001,12.87,0,0.11,0.33000001,0,0.33000001,1.65,0,0,0,0,0,0,0.22,3.3,0.33000001,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.55000001,0,0,0.76999998,0,0,0,0,0,0,0,0,0,0,0
"Peru",157.8,14.2,0.40000001,0.1,0,0.69999999,0,0,0,1.7,2.5,0.1,1.7,0.1,0.30000001,0,0.2,0.40000001,0,3.0999999,11.7,2.9000001,26.700001,0,10.8,9.3807106,0.4192895,6.3000002,9.3000002,0.89999998,0.40000001,35.599998,0,0,1.3,0,0.89999998,8.8000002,0,0,0,0,0,0,1.1,7,0.69999999,3.2,0,0,0,0,0,0.2,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1999998,3,0.2,0,0.60000002,0,0,0,0,0,0,0,0.1,0.30000001,0.2,0.40000001
"Brazil",530.96997,20.24,0,0,0,1.65,0,0,0,0,0,0,0,97.099998,0,1.5,0,0.33000001,0.02,6.71,96.910004,9,48.290001,0,23.65,14.63582,0.65417713,31.35,14.85,10.56,3.1900001,155.42999,0,0,3.4100001,0,0,32.23,0,0.33000001,1.65,0,0,0,21.34,54.119999,16.5,17.27,1.1,0,0,0,0,0.99000001,0.1,0.5,0,0,0,0.11,0,0.40000001,0,0,0,0.30000001,0,0,0,0,0,0,0,0,36.630001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0
"Bolivia",36.900002,0.80000001,0.1,0,0,0,0,0,0,0,0,0.40000001,0.1,0,0.1,3.7,0.2,0,0,2.0999999,6.5,0.2,4.8000002,0,1.3,2.8716459,0.12835389,0.69999999,1.6,0.1,0.1,0,0,0,0.2,0,0.2,2.7,0,0,0,0,0,0,0,1.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
