"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Guinea","Liberia","Ghana","Ethiopia","South Africa","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,3657.1001,515,18,82.099998,490,70,30,40,17,35,28,369,965.09998,66,140,682,11,9,232,138.10001,20,1235.3,29,236.2,431.76501,19.23506,501,212,85,34,995,5,34,61,2,13,420,0,40,36,1,1,31,53,200,107,113,13,0,45,70,18,227,11,3,0.1,6,55,89,37,19,4,0.1,30,55,0,18,0,0,0,0,4,1116.2,225,42,3,37,0,99,14,0,0,12,0,338,206,215,148
"Canada",4399.7998,0,13.6,1.3,2,39.700001,3.0999999,3.2,4.5,0.30000001,5.6999998,10.2,18.299999,234.7,8.8999996,4.5,32.700001,0.1,0.89999998,0.89999998,4.0999999,0.89999998,684.90002,2.5,35.400002,49.59074,2.209259,66.800003,28.700001,6.1999998,3.7,145.3,1.2,2.0999999,6.6999998,0.1,7.5,44.200001,0,0.60000002,0.2,0,0,2.5,1.3,21,4.5999999,10.9,0,0,0,4.5999999,0,7.5999999,0.1,0.1,0,0.40000001,13.6,1,1.3,0.30000001,0,0,2.9000001,81.199997,0.40000001,0,5.5,0,0,0,0.2,118,33.400002,1.3,0,17.6,0,0.80000001,0,0,0,0,0,1.5,0.1,47.099998,9.8999996
"Cuba",442,16.200001,0,0,0.1,2.4000001,0.1,2.2,0,0.5,0.1,0,1.6,56.700001,0,0.40000001,0.2,0,0,1.1,0.5,0,42.900002,0,8.1999998,14.26452,0.63548189,14.3,5,7.8000002,0.1,0,0,0,0,0,0,8.3000002,0,0,0,0,0,0,0.2,2.5999999,2.9000001,0.69999999,0.60000002,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5.5999999,3.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haiti",17.9,1.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,1,0.95735019,0.042649802,1.2,0.40000001,0,0,2,0,0,0,0,0.40000001,0.5,0,0,0,0,0,0,0,0.1,0.1,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",78.540001,5.3899999,0.33000001,0.11,0,0.44,0,0.11,0,0,0,0.22,0,1.4299999,0,0,0,0,0,0,0,0,5.2800002,0,1.54,4.633575,0.206425,2.0899999,0.66000003,0.66000003,0.11,8.4700003,0,0,0.33000001,0,0.44,2.4200001,0,0,0,0,0,0,0.33000001,0.55000001,0.33000001,0.88,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6300001,1.1,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0
"Mexico",733.90002,25.700001,0.60000002,0,0,0,0.30000001,0,0.1,0,0,7.1999998,0.1,0.2,0,0.69999999,0,0.1,0.2,1.5,1.2,0.2,38.400002,0.1,11,7.563066,0.3369334,17.6,14.7,3.5,1.5,66.800003,0,0.2,2.3,0,1.3,19.700001,0,0,0.1,0,0.02,0,1.4,13.5,1,2.5,0,0,0,0,0,0.69999999,0,0.1,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,12.3,0.1,0.2,0,1.3,0,0,0,0,0,0,0,0.1,0.1,8.8000002,0.30000001
"Guatemala",73.699997,3.3,0.40000001,0.1,0,3.3,0,0.80000001,2.2,0,0.1,0,0.1,2,0,0,0,0,0,0,0,0,6.3000002,0.1,3,3.0635209,0.1364793,2.4000001,1.7,0.60000002,0.2,13.6,0,0,0.30000001,0,0,2.3,0,0,0,0,0,0,0.1,0.60000002,0.30000001,1.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"Honduras",33,0.80000001,0.30000001,0,0,0.80000001,0.30000001,0,3.8,0.30000001,0.2,0.30000001,0.2,1.1,0,0,0,0,0,0,0,0,2,0,1,1.053085,0.046914801,0.30000001,0.40000001,0.1,0,4.5999999,0,0,0.1,0,0.69999999,0.40000001,0,0,0,0,0,0,0,0.30000001,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1999998,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",44.5,2.2,0.5,0,0,1.8,4.4000001,6.4000001,0,1.2,0.5,1,0.30000001,1.4,0,0,0,0,0,0.1,0,0.1,4,0,7.0999999,2.7763159,0.1236844,1.7,1,0.40000001,0,8.6999998,0,0,0.1,0,0.30000001,2.0999999,0,0,0,0,0,0,0,0.89999998,0.1,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",34.799999,1.5,0,0,0,1,0.2,1.1,2,0,0.69999999,2,0.2,1,0,0,0,0,0,0,0,0,2.9000001,0,1.2,2.201905,0.098094501,0.40000001,0.40000001,0.1,0,5,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0.1,0.30000001,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4000001,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
