"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Somalia","Ethiopia","South Africa","Madagascar","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,695.1001,164,2.32,69.49,364.4,4.5,1.1,17.5,14.8,13.7,34.71,32.4,425.1,17.66,45.8,138.48,18.8,0.606,29,220.4,41.2,525.6,21.5,367.8,4.736,0.2639,316.7,41.2,45.4,1.9,0,1,102,51,0.1,9,241.4,0,44.3,57.8,4,1,4.93,15,9.9,171.7,51.7,67.9,0.2,0,5.6,0.7,0,0.2,18.44,1.8,0,6,36.3,0.6,3.6,10.6,2.8,0.5,0.6,3.9,47,0,17.1,70,11.8,26,14.7,33.9,0.8,50.7,55.7,14,79.8,36.2,14.1,113.6,7,0,12,0,0,256,9,112.3,306.6,375.6,120.6,7.8,27.3,1,15.5,1.8,1.6,56.1,0,0,31.6,123.7,320.09,48.26
"Canada",695.1001,0,5.5,0.15,3.69,9.3,1.1,2.5,1.3,1.2,1.5,4.73,0.3,179,8.69,8.6,10.21,0.2,0.8,4.6,12.7,1.3,403.5,11,0.8,1.3261,0.0739,34.9,12.7,0.8,0,0,0.1,15,5.3,0.7,0.6,16.4,9,1,11.4,0.6,0.3,1.3,4.8,4,2.1,66.6,7.7,0.2,0,0,0,0,0,0.01,3,0,0.4,2,0,0,1.8,0,0,0,0,0.8,0,0.1,46.9,0,0.3,0,0.1,0.2,34.7,0.6,0.8,0.5,1.1,0,4.3,42.1,9,0,2.9,0,1.7,0,5.1,79.8,3.8,12.9,0.2,13.6,0,1.3,0.1,0,0.8,0,0,12.6,2,61.53,13.63
"Cuba",164,5.5,0,0.002,0.11,0.6,0.2,1.5,0.2,0.2,0.3,0.22,0.8,26.3,0.9,0.1,2.65,0,9,0.1,0.1,1.1,0.5,1.7,4.3,3.3153,0.1847,2.3,1.9,0.4,0,0,0,0,0.2,0,0,4.8,0,0.4,12.2,9,0,0,0,0.2,0.9,1.4,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,9,19.4,2,9,0,9.9,0,11,7.5,0,0,0.2,0,9,0,0,0,0,0,0,11.8,11.4,2.4,9,0,0,0,9.3,0,2.9,0,0,0,0,0.11,0
"Haiti",2.32,0.15,0.002,0,0.018,0.05,0.2,0,0.01,0,0.01,0.11,0.01,0.008,0.01,0.1,0.03,0,0,0.02,0.01,0,1.25,0.03,1.01,3.0311,0.1689,1.66,0.89,0.057,0.07,0,0,0.106,0.05,0.053,0.06,5.57,0,0,0.1,0,9.139,0,0,0.03,0.06,0.65,0.52,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,9,0,0,0,0,9,0,0.03,0,0,0,0,0,0,0,0.018,0.008,0,0,9,9,0,0,0,0,0,0,0.08,0.46,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01
"Dominican Republic",69.49,3.69,0.11,0.018,0,0.33,0,0.1,0,0,0.01,0,0.03,0,0,0.11,0.33,0,0,0.11,0,0.2,21.47,0.4,4,1.0419,0.0581,0.16,1.23,1.72,0.11,0,0,0.11,0.08,0,0.66,0.13,9,0,0,0,0,0,0,0.33,2.17,1.47,1.99,0,0,9,9,0,0,9,0,0,0,0,9,0,0,0,0,0,0,9,0,9,0,0.1,1.4,0,0,9,2.2,0,0.55,0,2.1,0,0,0,0,0,0,9,0,0,0.7,2.21,0.77,0.11,0,0.7,0,0,0,9,0,0,0,0,0.22,0,0.7
"Mexico",364.4,9.3,0.6,0.05,0.33,0,1.8,0.9,1.8,1.1,1.1,5.9,0.8,3.8,0.44,0.1,1.44,0,0.1,0.8,0.4,0.1,42,0,10.2,6.9147,0.3853,0.9,9,1.8,0,0,0.2,0.2,1.1,0,1.8,6.7,0,1.2,0.6,0,0,0.02,0.4,1.8,10.7,1.1,2.4,0,9,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,9,0,0.1,0,0,1.1,9,0.1,0,0.3,0,0.1,0,0,0.3,0,0,1.1,0,9,0,0,0,0.1,9,0,85.8,2.6,0.1,0,1.8,9,0.3,9,9,0,0,0,0.3,5.3,4.93,0.7
"Guatemala",4.5,1.1,0.2,0.2,0,1.8,0,0.2,0.7,0.5,0.2,0.11,0.2,0.8,0,0.7,0,0,0,0.1,0,0.1,4.5,0,0.2,1.2314,0.0686,2.6,1.5,0,0.2,0,0,0,0.6,0,0,1.6,9,0,0,0,0,0,0,0.3,4,0.3,0.9,0,0,9,0,9,0,0,0,0,9,0,9,0,0,9,0,0,9,0,0,0.1,0,0,0,0,0,0,0,0.2,9,0,0,0,0.1,0,0,9,0,9,0,0,0,1.1,0,0.2,9,0.1,0,0.1,0,0,0,0,0,0,0.1,0,0
"Honduras",1.1,2.5,1.5,0,0.1,0.9,0.2,0,2.2,0,0,0.02,0.1,1.3,0,0.3,0,0,0,0.1,0.1,0.1,1.6,0,0.2,0.2842,0.0158,0.5,0.2,0.1,0,0,0,0.2,0.1,0.1,0.6,0.8,0,0,0.6,0,0,0,0,0.1,0.7,0.4,0.4,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,9,0,0,9,0,0,0,3.7,0.2,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"El Salvador",17.5,1.3,0.2,0.01,0,1.8,0.7,2.2,0,0.3,0.4,0.88,0.2,1.3,0,0.3,0,0,0,0,0,0.1,4.2,0,6.5,3.2205,0.1795,1.8,0.4,0.2,0,0,0,0,0.3,0,0.2,1.6,0,0,0,0,0,0,0,0.1,0.5,0.3,0.6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.2,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"Nicaragua",14.8,1.2,0.2,0,0,1.1,0.5,0,0.3,0,1.7,2.3,0.1,0.8,0,0.2,0,0,0,0.1,0,0.1,0.2,0,0.8,0.9472,0.0528,1.3,0.2,0.2,0.1,0,0,0,0.1,0,0,0.2,9,0,0,0,0,0,0,0.1,1.6,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.1,0,0,0,0,5.4,0.2,0,0,0,0,0,0,0,9,0,0,0.1,0,0,0
