"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","South Africa","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,3979.1001,7,26,166.2,108,91,640,68,37,48,30,43,25,298,1055.7,78,223,585,14,8,209,115.1,27,1091.2,40,239,393.72339,20.276541,465,246,99,58,0,3,50,55,2,11,489,0,58,28,1,1,1,18,65,184,114,127,13,0,0.2,0,0,0.2,27.9,0,0,34,0.1,68,1.7,7,51,2,0,0,2.0999999,54,28.1,12,0,0,1,32,280,18,12,6,2,13,8,64,95,11,27,5,6,0,44,73,0,95,16,0,0,61,0,12,1468.4,278,45,1,36,0,42,6,0,4,0,0,349,146,316,152
"Canada",4427,0,3,0.40000001,2.0999999,40.900002,14.3,25.200001,2,7.8000002,2,2.5,6.5999999,8.1000004,16.200001,230.8,8.3999996,3.5,32.5,1,0.2,1.1,5.9000001,0.69999999,578.29999,5,37.799999,47.360939,2.4390621,57.599998,28.700001,8.5,6.1999998,0,1.1,5.3000002,8.3000002,0.2,9.1999998,53.200001,0,2.0999999,1.2,0.1,0,0.07,1.9,2.2,26.4,16.299999,13.8,1.3,0,0,0,0.80000001,0,0.2,0.89999998,0,0,0,7.1999998,0,0,5.9000001,1.1,0,0,0,1.3,2.4000001,2.9000001,0,0,0,0,17.5,0,0.40000001,0.40000001,0,0,0.1,32.599998,1.5,0.89999998,0.2,0.60000002,0,0,5.8000002,42,0,10.3,0,4.8000002,0,3.0999999,0,0.1,128.7,44.900002,2.8,0,15.3,0,1.2,0,0,0.001,0,0,1.7,0,46.5,12.2
"Cuba",13,10.6,0,0.003,0,0,0,0.80000001,0,0,0,0,0,0,0,2.5999999,0,0,1.4,0,0,6.1999998,0,0.60000002,7.3000002,0,8.1000004,1.23633,0.0636703,1.8,0.40000001,1.4,0,0,0,0,0,0,0,1.3,0,0.30000001,0,0,0,5.6799998,0,0.30000001,1.2,2,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8000002,0,2.7,0,0,0,0,0,8.3999996,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,10.6,7.4000001,1.7,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"Haiti",21.51,0.89999998,0,0,0,0.029999999,0.73000002,0.050000001,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0.029999999,0.0099999998,0.0099999998,1.48,0.02,1.27,1.188779,0.061221398,1.13,0.47999999,0.050000001,0.02,0,0,0.090999998,0.050000001,0.063000001,0.050000001,0.73000002,0,0,0,0,0.057,0,0,0.050000001,0.14,0.090000004,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0.02,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0.079999998,0.15000001,0.050000001,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02
"Dominican Republic",27.280001,4.5100002,0,0.19,0,0,0.11,0.22,0,0,0,0,0,0.22,0,0.76999998,0,0.090000004,0,0,0,0,0.30000001,0,3.3,0,1.98,1.25535,0.064649798,1.54,0.33000001,1.3099999,0.11,0,0.28999999,0.17,0.22,0,0.22,2.0899999,0,0,0,0,0,0,0,0.11,0.22,0.44,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0.2,0,0,0,0,0,0,0,0,0,0,0,0.18000001,0,0
"Jamaica",61.900002,23.200001,0,0.86000001,0,0,8,0.40000001,0,1.6,0,0.2,0,0.2,0,3.9000001,0,0,0.2,0,0,0.2,0.40000001,0.1,65.699997,0,12.7,2.0922501,0.1077497,5.5,1,0,0,0,0,0,0,0,0.40000001,1.8,0,0,0,0,0,0,0,0.1,1.1,0.69999999,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8000002,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0999999,5
"Trinidad and Tobago",44.299999,17.5,0,0.001,0,2,0,0.1,0,0.2,0,0,0,0,11.5,65.800003,0,0,0.60000002,0,0,0,0.40000001,0,79.199997,0,8.3999996,1.616739,0.083261102,3.4000001,0,0.1,0.40000001,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0,0.60000002,0.89999998,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.800003,0,0,0,0,0,0,0,0,4.4000001,1.2,0,0,0,0,0,0,0,0,0,0,0,0,3.0999999,4.1999998
"Mexico",782.5,36.5,0,0.1,0,0,0,0,0.1,0,0.1,0,0,6.1999998,0.2,0.2,0,2,0.30000001,0,0,0.60000002,1.6,1.5,43.299999,0,14.3,9.2249212,0.47507831,32.400002,21.700001,5.0999999,1.2,0,0.1,0.1,2.4000001,0,0.89999998,25.700001,0,0.1,0,0,0,0,0.1,2.9000001,15.5,0.80000001,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0.60000002,0,0,19.6,0.30000001,0.2,0,1.4,0,0,0,0,0,0,0,0.1,0.69999999,10.4,0.30000001
"Guatemala",65.300003,3,0,0.001,0,0,0.69999999,3.0999999,0,1.5,5.9000001,0.2,0.1,0,0.30000001,1.5,0,0.1,0.1,0,0,0,0.1,0.30000001,6.9000001,0,3.5,2.757966,0.1420337,3.3,2,0.60000002,0.1,0,0,0,0.30000001,0,0,2.9000001,0,0,0,0,0,0,0,0.1,0.69999999,0.30000001,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,7.0999999,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0
"Honduras",41.299999,0.80000001,0,0,0,0,0.69999999,1,3,0,5.8000002,0.1,0.2,0.2,0.5,0.5,0.2,0.1,0,0,0,0,0,0.1,2.4000001,0,1.3,1.521637,0.078363404,0.69999999,0.5,0.2,0.1,0,0.1,0.5,0.2,0.1,0.69999999,1.3,0,0,0,0,0,0,0,0.1,0.40000001,0.1,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8000002,0.40000001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
