"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Zanzibar","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Malawi","South Africa","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,651.1001,0,6.1,23.1,37.9,63.3,314.3,21.9,0.7,19.4,28.8,6.2,37.08,19.4,364.3,19.43,8.9,98.85,17.9,4.09,16.5,135.5,15.6,580.2,34.7,541.2,64.6308,3.3692,599.8,39.2,226.9,16.6,0,13,79,33.2,12,3,413.3,2.4,0,108.6,41,5.2,4,4.72,123,10.9,167.8,22.2,65.8,4.4,0.4,8.9,0.7,0.9,1.1,45.9,3,0.9,16,7.1,49.8,1.7,7.1,43,1,6.5,2.6,3,20.6,47.2,12.4,9.1,0,26,3,1.3,47.4,4.7,0.01,132,13.9,34.8,20.5,24.3,35.7,13.7,27,81,47.4,266.1,8.7,40.9,31.3,146.7,23.6,0,2.2,10.9,1,4,149,9,169.1,418.2999,630.4,372,24.7,27.9,1,83.6,1,6.9,123.287,0,0,73,173.6,492.94,61.9
"Canada",651.1001,0,53.4,1.2,3.2,18.7,1.2,36.8,1.2,6.8,0.2,1.6,4.5,13.09,0.9,204.6,3.71,12.8,24.35,0.4,0,8.7,21.2,4.9,697.8,15.7,9.8,15.5874,0.8126,39.2,0.8,12.1,5.7,0,9.3,48.6,0,1,37.1,1.1,2.9,19.1,0.6,6.3,0.4,17.7,0.32,290.3,2.8,3.1,42.7,11.4,10.4,0,0.1,0,0.2,0,0.4,1.8,0,4.8,1.8,0.6,0.5,0,6.5,0.6,0,0,0,1.4,4.4,7,6.2,0,0,0,0,0.2,2,0.03,35.6,0,0.1,0.6,0.9,0.3,0,29.6,0,1.5,0.4,0,1.3,0.2,3.8,16.1,9,10.5,0,116.8,0,3.5,0,1.9,200.4,18.4,18,0.6,12.1,0,3.7,0,0,0.7,0,0,21.3,0.6,76.52,22.12
"Cuba",0,53.4,0,0,9,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0.5,0,9,0.6,1.7,2.6,1.7,0.1,12.9,4.8473,0.2527,17.5,6.3,34.2,0,0,0,0,0.5,0,0,11.5,0,0,3.6,9,9,0,5.94,0,13.1,1.6,3.5,2.5,0,0.6,1.5,9,0,0,0,0,0,0,9,0,0,0,0,0,9,9,0.1,9,0,0,0,0,0,9,9,0,0,0,0,9,37.6,11,0,9,0,1.1,0,15.5,5.7,4.8,1.8,0,0,0,9,9,0,0,0,0,0,0,19.1,0.9,4.3,9,0,0,0,9,0,0,0,0,0,0,0.11,0
"Haiti",6.1,1.2,0,0,0.1,0.5,0.9,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1.5,0,1,2.2811,0.1189,3.4,1.6,0.2,0,0,0,0.3,0.1,0.4,0.6,3.6,0,0,1.3,0,0,9.2,0,0,0.1,1,0.4,0.4,0,0,0,9,0,9,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,9,9,9,0,0.1,0,0,0,0,1.9,0.2,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"Dominican Republic",23.1,3.2,9,0.1,0,0,0,0.5,0,0,0,0,0,0.11,0.1,3.6,0,0.1,0,0,0,0.84,0.3,0.1,0.1,0,2.9,1.8059,0.0941,1.9,2.1,0.5,2.8,0,9,9,0.9,9,9,3.9,0,0,0,0,0,9,0,9,2.2,0.3,0.9,0.9,0,0,9,9,0,0,9,0,0,9,9,0,9,0,9,0,0,0,0,9,0,0,0,0,0,0,0,9,0,9,9,9,0.4,9.5,9,0,9,0,0,0,0,9,0,0,0,0,0,9,0,9,0,9,9,0,9.5,0.4,0,0,0,0,0,0,0,9,0,9,0,0,0,4.44
"Jamaica",37.9,18.7,0,0.5,0,0,4.4,0.1,0,2.9,0,0.3,0,0,0.2,14.5,0,0,0.1,0,0,0,0.4,0.1,14.2,1.9,11.4,3.0415,0.1585,3,0.5,0.1,0,0,0,0,0.3,0,0.2,1.7,0,0,0,0,0,9,0,0,0,3.8,9.2,0.6,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,9.6,0.7,0,0,0,9,0,0,0,0,0,0,0,0,5.17,4.9
"Trinidad and Tobago",63.3,1.2,0,0.9,0,4.4,0,0.1,0.7,0.1,0,0.3,0.4,0.44,35.8,95.1,0,0.1,1.11,0,0,0,0.4,0,24.8,0.4,3.2,0.4752,0.0248,15.7,0.1,0,0.1,0,0,9,0,9,9.6,0,0.1,0,0,0,0,0,0,9,0,12.6,0.5,0.8,0,9,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.1,9,0,0,0,0,0,9,0,3.9,1.3,0,0,0,0,0,0,9,0,0,0,0,0,4.6,5.4
"Mexico",314.3,36.8,2.5,0.1,0.5,0.1,0.1,0,4,1,2.7,2.4,2,5.13,4.2,11.7,0.34,1.8,7.51,0.3,0.1,14,3.6,2,26.5,0.2,7,12.7361,0.6639,11.2,20.1,0.7,0.6,0,0.2,16.1,0.2,0,2.4,1.2,0.2,0,2.9,0.3,0,0,0,0,3,13.8,1,0.7,0,9,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,9,1.7,9,0,0,0.3,0,0,0,0.1,0,0.5,9,0,0,1.9,0.5,9,0,0,0,0,5.8,9,1,116.1,0.3,0.5,0,2.1,9,0.3,9,9,9.1,0,0,2,0.4,15.2,0.3
"Guatemala",21.9,1.2,0,0,0,0,0.7,4,0,2.2,2.8,4.3,0,0.12,0.8,4.6,0.1,0.2,0.1,0,0,0,0.3,0.1,2.9,0.2,0.4,2.186,0.114,2.7,4.1,0.5,0.7,0,0,0,2,0,0,3,0,9,0,0,0,0,0,0,1.8,2.8,2.3,0.7,0,0,9,0,9,0,0,0,0,9,0,0,9,0,0,9,0,0,9,0,9,0,0,0,9,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0.2,0.1,0.3,0,0,9,0.1,9,0.2,0,0,10,0,0.2,9,0.2,0,0.4,0,0,0,0,0,0.3,0,0,0
"Honduras",0.7,6.8,0,0,0,2.9,0.1,1,2.2,0,4.1,0.4,1,0.24,0.5,0.3,0,0.1,0,0,0,0,0.1,0.1,2.5,0,0.8,0.9505,0.0495,0.4,2.5,0.2,0.1,0,0.1,0.8,0.9,0.4,0.5,0.6,0,0,0,0,0,0,0,0,0.5,0.1,0.4,0.8,0,9,0,0,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0,0,9,0,9,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,9,0,0,0,1.3,0.5,0.1,0,0.1,0,0,0,0,9,0,0,0,0,0,0
