"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,896.7002,0,2.366,69.44,45.6,74,325.2,24.9,24.5,10.6,36.6,9.1,21.79,82,368.8,48.77,16.2,195.73,22.6,3.53,9,140.9,18.5,361.8,20.6,494.4,14.2846,0.7154,422.4,15.5,382.6,8.8,0,5,37,20.4,7,10,317.8,1.3,0,124.2,65.7,3.6,2,8.05,1,11.4,152.6,19.6,54.8,4.3,0.213,1.4,6.4,0.4,2,1.1,37.2,4,0.8,16,9.4,24.9,0.5,6.9,28.6,4.7,9.3,2.8,3.6,34.9,40.6,9.8,2.7,18,3,1.5,51.5,13.2,16.3,0.35,188,24.9,46.5,15,34.9,21.7,6.6,59.7,72.1,32.1,170.6,10.3,53.4,23.6,144.3,39.1,0,15,7,1,4,133,9,124.3,253.8,597.8,317,15.6,24.2,0,1,70.2,1.1,6.9,158.906,0,0,0,88.3,113.4,526.38,11.53
"Canada",896.7002,0,43.5,0.027,2.23,4.1,7.6,10,1.7,9.2,1.1,2.5,1.5,17.17,3.9,167.1,2.56,21.9,22.01,1.3,0.4,8.2,24.9,2.6,654.7,20.2,8.2,13.4275,0.6725,17.9,4.9,23,5.8,0,12.4,17.2,1.5,6.1,16,9.8,1.8,17.8,1.5,5.7,0.1,6.2,0.19,172.9,5.3,19.2,48.6,15.2,4.7,0.185,0,0,0.1,0.6,0,0,0.8,0,1.6,0.9,2.7,0.4,0,5.9,0.3,0,0,0,1.6,6.4,5.5,5.1,0,0.1,0,0.6,3.5,2.65,0.04,44.7,0.6,0.1,0.2,0.1,0.1,0,30.4,1.1,4.8,4.5,0,1.3,0.2,1.1,40.5,9,8.4,0,82.6,0,3.2,0,0.1,120.8,4.2,18.2,0.7,12.6,0,0,5,0.1,0,0.7,0,0,0,22.3,0.9,100.96,29.35
"Cuba",0,43.5,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,9,0.6,0.8,0.5,27.5,0.5,1.1,3.2378,0.1622,2.1,1.4,3.3,1.9,0,0,0,0.2,0,0,2.7,0.2,0,0.5,9.3,9,0,2.4,0,4.9,3,0,0.5,0.2,9,0,0,9,0,0,0,0,0,0,9,0,0.1,0,0,0,9.2,9,0,9,0,0,0,0,9,9,0,0,0,0,0,9,28.7,0,0,9,0,0.4,0,16.6,3.9,4.3,0.7,0,0,0,9,0,0,0,0,0,0,0,25.8,4.1,8.2,9,0,0,0,0,9,0,0,0,0,0,0,0,0.01,0
"Haiti",2.366,0.027,0,0,0.089,0.787,0.004,0.031,0.012,0.001,0.006,0.012,0.005,0,0.006,0.031,0,0.003,0.012,0,0,0.015,0.004,0,1.493,0.017,1.068,2.2951,0.1149,4.276,2.078,1.349,0.015,0,0,0.488,0.095,0.405,0.536,5.138,0,0,0.004,0,0,9.646,0.097,0,0.03,0.867,0.291,0.412,0,0,0,0.003,9,0,9,0,0,0,0.002,0,0,0,0,0,0,9,0,0,0.004,0,9,0.002,0,9,0,9,0,9,0,0.002,0.014,0.002,0,0,0,0,0,0,0,0.025,0.17,0.006,0,0.004,9,9,9,0,0.05,0,0,0,0,1.361,0.175,0,0,0,0,0,0,0,0,9,0,0,0.019,0,0.012,0.025,0.09
"Dominican Republic",69.44,2.23,0,0.089,0,0,0,0.3,0,0,0,0,0,0,0.3,0.5,0,0,0,0,0,0,2.2,0,1.18,0.2,2.01,0.1143,0.0057,0.45,0.88,2.72,0.17,0,0,0,0.69,0,0,1.41,0,9,0,0,0,0,0,0,0.2,0.18,0.45,0.26,0,0,0,9,9,0,0,9,0,0,0,9,0,9,0,0,0,0,0,0,9,0,0,9,0,0,0,9,0,0,9,0,0.1,0.3,0,0,0,9,0,0,0,0,9,0,0,0,0,0,9,0,0,9,0,0,0,4.16,1.1,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0.01,1.38
"Jamaica",45.6,4.1,0,0.787,0,0,0.9,0.1,0.2,2.7,0,0,0.1,0.11,0.3,22,0,0.2,0.2,0,0,0,0.2,0.1,7.8,1,11.6,3.2378,0.1622,5.6,0.7,0,0,0,0,0,0.2,0,0,0.4,0,0,0.4,0,0,9,0,0,0,3.6,12.6,0.7,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,9.4,0.7,0.1,0,0,0,9,0,0,0,0,0,0,0,0,0,5.16,4.4
"Trinidad and Tobago",74,7.6,0,0.004,0,0.9,0,0.1,0.4,0.4,0,0.2,0.2,0.22,30.3,120.9,0,0.1,1.71,0,0,0,0.5,0.3,10.7,1.6,4.5,2.2855,0.1145,1.3,0.1,0.2,1,0,0,9,0.1,9,9.7,0.7,0,0,0,0,0,0,0,9,0,23,0.1,0.1,0,0,9,0.1,0,0,0,0,0,0,0,1.7,0.1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.9,9,0,0,0,0,0,9,0,4.7,1.1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5.69,4.3
"Mexico",325.2,10,1.6,0.031,0.3,0.1,0.1,0,4.2,0.9,2.9,2.2,2.8,5.75,5.3,8.8,1.24,1,1.09,0.2,0.1,15.4,0.5,0.8,24.6,0.2,8.2,5.8091,0.2909,7.3,21.5,0.9,1.1,0,0.5,57.1,0.7,0.1,2.8,5.1,0.1,0,0.5,0.1,0,0,0.02,0.6,2.6,19.3,2.5,4.3,0.1,0,9,0.6,0,0,0,0.1,0,0,0.3,0,0,0,0,0.1,0,0,9,0,0,0,0,0,0,9,0,0.1,0,0,9,1.1,9,0.5,0,2.2,0,0,0,0.2,0,11.6,9,0.6,0,1.1,0.1,9,0.1,0,2.4,0,7.7,9,0.8,105.7,0.8,0.1,0.2,1.8,0,9,1.5,9,9,9.3,0,0,0,4.4,0.1,15.72,0.5
"Guatemala",24.9,1.7,0,0.012,0,0.2,0.4,4.2,0,4.3,3.9,5.1,1.4,0,1,7.3,0.09,0.1,0.2,0,0,0.1,0.3,0.1,8.6,0.2,1,3.0474,0.1526,0.2,2.7,1.5,0.3,0,0,0,2.1,0,0,1.3,0,9,0,0,0,0,0,0,2.6,0.2,1.1,0.8,0,0,0,9,0,9,0,0,0,0,9,0,0,9,0,0,9,0,0,9,0,9,0,0,9,0,9,0.1,0,0,0,2.4,0,0,0,0,0,0.4,0,0,9,0,0,0,1.4,0.1,0.4,0,0,9,0,9,0.7,0,0.1,8.7,0.1,0.2,9,0.2,0,0,0.2,0,0,0,0,0,0,0.1,0.1,0,0
"Honduras",24.5,9.2,0,0.001,0,2.7,0.4,0.9,4.3,0,3.4,0.8,1.7,0.04,0.6,0.3,0,0.1,0.2,0,0,0,0.1,0,3,0.1,1.4,1.238,0.062,0.4,3.4,0.1,0.1,0,0.1,0.4,1.8,0.5,0.5,0.6,0,0,0,0,0,0,0,0,0.4,0.2,0.4,0.5,0,0,9,0,0,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0,0,9,0,9,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,9,9,0,0,9,0,0,0.3,1.2,0.8,0,0,0.1,0,0,0,0,0,9,0,0,0,0,0,0.1,0
