"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,6664,0,21.1,139.10001,145,177,4,824,89,97,48,33,65,74,265,1094.3,32,102,352,650,33,14,252,161,33,1937,101.1,347,585.34039,28.659599,756,420,179,88,0,9,90,87,3,31,804,3,0,81,55,1,3,5,54,105,325,140,219,22,0.001,0,1,0.98000002,2,0.1,71,13,0,64,16,50,1,31,56,14,12,0,0.2,48,62,24,17.200001,18,0,1,49,2,10,2,285,0,0,25,11,3,3,62,7,124,104,23,20,5,10,0,84,103,0,32,15,0,4,127,0,93,3220.5,354,74,3,35,0,1,83,1,1,2,0,191,17,431,194,431,195
"Canada",7265.2998,0,5.6999998,0.89999998,1.3,38,16.4,2.3,34.099998,2.8,11.6,2.0999999,0.40000001,6.5999999,16.4,11.8,218.89999,29.6,8,3.5,36.400002,0.2,0.60000002,2,5,0.60000002,655.90002,6.5999999,61.599998,59.773361,2.92664,108.6,51.200001,12.8,13.5,0,2.2,14.1,15.5,3.4000001,22.1,88.199997,0.40000001,0,2.5999999,1.9,0.1,0.80000001,0.69999999,11.9,3.5,73.800003,34.400002,24.6,0.60000002,0,0,0,0,0.1,0,0.80000001,2.0999999,0,0.1,0.1,11,0,0.1,40.200001,1.1,0,0.2,0,1.1,6.0999999,7.4000001,6.3000002,0,0,0,0.1,0,1.2,0.69999999,28.1,0,0,0.60000002,1.4,0.1,0,11.2,0.1,36.099998,1,12.8,0.69999999,0.40000001,1,0,6.9000001,33.200001,0,6.3000002,0,21,0,13.3,0,1.9,257.5,40.799999,4.4000001,0.1,10.2,0,0,2.4000001,0,0,0,0,42.200001,0,3.4000001,1.2,60.599998,15.3
"Cuba",0,57.200001,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0.2,22.700001,0,9.6999998,3.7179599,0.1820398,14.8,0.1,78.599998,0.5,0,0,0,0.1,0,0,9.8000002,0,0,6.9000001,0,0,0,2.75,0,1.1,3.3,0.1,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4000001,0,0,0,0,0,0,0,6.0999999,1.3,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haiti",20.315001,0.977,0.0070000002,0,0,0.33899999,0.027000001,0,0.104,0,0,0.001,0,0,0,0.043000001,0.0099999998,0,0,0.0070000002,0.025,0,0,0.023,0.003,0,1.494,0.026000001,1.193,0.90565699,0.044342998,1.251,0.36700001,0.055,0.027000001,0,0,0.259,0.057,0.39300001,0.56400001,0.72500002,0,0,0.0089999996,0,0,0.193,0.034000002,0,0.090000004,0.096000001,0.112,0.233,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0.0070000002,0,0,0,0.001,0,0,0,0.0049999999,0,0,0.018999999,0.0020000001,0,0,0,0,0,0.001,0,0.074000001,0,0.013,0,0.0020000001,0,0,0,0,0.012,0,0,0,0,1.601,0.28600001,0,0,0,0,0,0,0,0,0,0,0,0.011,0.032000002,0.001,0.081,0.029999999
"Dominican Republic",52.580002,3.96,0,0.20999999,0,0,0,0.2,0.69999999,0.1,0,0.2,0,0,0,0.5,2.9000001,0,0,0,0.1,0,0,0,0.2,0,4.8400002,0,3.96,2.936235,0.1437647,1.54,0.66000003,2.4200001,0.33000001,0,0,0,0.22,0,0,3.1900001,0,0,0,0,0,0,0,0,0.1,0.66000003,1.87,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.01,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jamaica",116,35,0,0.616,0,0,1.3,0.40000001,0.1,0,2.5999999,0,0.5,0,0,0.2,19.700001,1.8,0,0,0.2,0,0,0,0.5,0.1,71.400002,0.2,10.9,4.2899542,0.2100459,6,1.5,0.2,0.30000001,0,0,0,0.30000001,0,0,3.5999999,0,0,0.5,0,0,0,0,0,0.40000001,1.4,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1999998,0.69999999,0.1,0,0,0,0,0,0,0,0,0,1.2,0,0,0,5.8000002,6.6999998
"Trinidad and Tobago",64.5,25.299999,0,0.0049999999,0,1.1,0,0.80000001,0.30000001,0,0.80000001,0,0,0,0,21.6,137.7,5.8000002,0,0,1,0,0,0,0.69999999,0,76.5,1.4,4.8000002,1.906646,0.093353704,2.8,0.69999999,0.30000001,0.2,0,0,0,0.2,0,0,2.4000001,0,0,0,0,0,0,0,0,0,0.80000001,1.6,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0.1,60.5,0,0,0,0,0,0,0,0,6.0999999,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0999999,6.1999998
"Barbados",14.5,9.3000002,0,0.045000002,0,0.60000002,4.1999998,0,0,0,0.2,0,0,0,0,0.1,5.5,1.6,0,0,0.30000001,0,0.1,0,1.6,0.1,24,0.2,1.9,0.3813293,0.018670799,1,0.30000001,0,0.1,0,0,0,0,0,0.1,0.60000002,0,0,0,0,0,0,0,0,0,0.1,0.40000001,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89999998,1.7
"Mexico",1025.8,40.599998,0,0,0,0,0.1,0,0,0.2,0.1,0.2,0,0.40000001,8.8000002,0.89999998,0.89999998,0,0.5,8.1000004,7.4000001,0.30000001,0.1,5.8000002,9.5,1.4,52.099998,0.2,18.1,13.63252,0.66747922,78.199997,31.4,12,2,0,0.30000001,0.40000001,2.9000001,0.1,2.7,31,0,0,0.1,0.2,0,0,0.02,0.1,4,36.200001,1.6,3.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0.2,0,0,0,0,0.1,0,1,0,0,45.700001,0.80000001,0.2,0.1,2.7,0,0,0,0,0,0,0,5.1999998,0,0.1,0,15.8,0.69999999
"Guatemala",86.599998,3.2,0,0,0,0.2,0.1,0,4.9000001,0,4,23.5,2.0999999,4.3000002,0.1,0.80000001,7.3000002,0,0.039999999,0.1,0.40000001,0,0,0,0.2,0,9.8999996,0,3.4000001,4.0039568,0.19604281,2.4000001,2.9000001,1.4,0.1,0,0,0,0.69999999,0,0,4.3000002,0,0,0,0,0,0,0,0,0.2,1.5,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,15.5,0,0.30000001,0,0.30000001,0,0,0.69999999,0,0,0,0,0.2,0,0.1,0.1,0.1,0
