"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,7625.7998,0,23.200001,143.10001,154,196,7,809,69,78,57,45,75,82,258,1073.8,30,108,345,598,50,12,190,150.10001,15,1832.1,139,397,597.60602,27.39398,738,409,236,79,0,6,97,77,4,28,914,2,0,93,73,2,3,7,44,99,353,144,195,16,0,0,0.16599999,2.1429999,0.44600001,0.1,52,5,0,56,11,61,0.30000001,23,47,13,11,0,0.80000001,43,48,15,10.9,22,0,0.40000001,54,12,7,2,259,0,0,24,14,3,5,39,16,88,110,7,17,4,8,0,92,62,0,5,23,5,0,3,177,0,125,3213.1001,318,58,2,35,0,2,103,2,0.085000001,2,0,209,17,407,194,438.10001,166
"Canada",8168.5,0,6.4000001,0.89999998,1,32.5,19,3.2,30,2.5,11.9,2.0999999,2,7.5,15.1,13.6,281.20001,30.1,8.3000002,2.3,31.9,0.1,0.69999999,1.8,5.3000002,0.40000001,684.90002,9.1000004,65.900002,62.91597,2.8840389,132.3,67.199997,17.4,14.6,0,3.4000001,15.3,20,6.5999999,29,112.2,0.69999999,0,3.9000001,3.5,0.30000001,1.3,1,23.4,3.4000001,77.599998,34.400002,27.6,0.60000002,0,0,0,0.003,0.011,0,0.69999999,2.3,0,0.40000001,0,8.1000004,0,0.1,37.299999,0.30000001,0,0,0,1.4,9.8999996,7.5,5,0,0,0,0.1,0.003,0,0.69999999,37.700001,0,0,0.30000001,2.5,0.2,0.60000002,11.6,0.1,34.400002,1.5,9.6000004,0.30000001,0.1,0.1,0,9.3999996,31.6,0,0,2.3,0,25.5,0,24,0,4.6999998,310.10001,43.599998,4.5,0.1,12.4,0,0,5,0,0,0,0,22.700001,11.4,3.2,1.1,65.699997,15.6
"Cuba",0,39.400002,0,0,0,0,0,0,6.3000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,24.1,0,11.6,5.832634,0.26736531,54.700001,0.40000001,27.9,0,0,0,0,0.1,0,0,21,0,0,5.5,0,0,0,1.27,0,0.60000002,3.4000001,0.30000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,0,0,0,0,0,0,7.0999999,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4000001,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0,0
"Haiti",21.625,0.93099999,0,0,0.016000001,0.113,0.237,0,0.098999999,0,0,0,0,0,0,0.032000002,0.057999998,0,0,0.0020000001,0.025,0,0,0.025,0.0049999999,0,1.652,0.011,0.98900002,1.281267,0.0587327,1.4220001,0.37099999,0.063000001,0.027000001,0,0,0.29800001,0.071000002,0.301,0.509,0.62599999,0,0,0,0,0,0.35299999,0.018999999,0,0.075000003,0.101,0.113,0.22400001,0.0020000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020000001,0,0,0.0020000001,0,0,0,0.003,0,0,0,0.0040000002,0,0,0.024,0.0020000001,0,0,0,0,0,0,0,0.032000002,0,0,0.001,0.0060000001,0,0,0,0,0,0.013,0,0,0,0,1.9960001,0.23999999,0,0,0,0,0,0,0,0,0,0,0,0.0040000002,0.023,0.0080000004,0.028999999,0.012
"Dominican Republic",105.74,4.3699999,0,0.30000001,0,1.1799999,0.47999999,0,1,0.15000001,0.15000001,0.19,0,0,1.41,0.36000001,1.86,0,0,0.38999999,0,0,0,0,0.090000004,0,7.29,0,6.7600002,4.1115289,0.1884706,1.66,1.05,2.8599999,0.43000001,0,0,0,0.15000001,0,0,4.9899998,0,0,0,0,0,0,0,0,0.079999998,0.79000002,2.24,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.079999998,0,0,0,0,0,0,0,0,0,0,0,0.079999998,0,0,13.4,0.75999999,0.13,0,0,0,0,0,0,0,0,0,0.23999999,0,0,0,0.059999999,0
"Jamaica",135,39.700001,0,0.352,0,0,1.9,0.109,0.2,0,3,0,0.69999999,0,0,0.1,18.9,2.2,0,0,0.1,0,0,0,0.69999999,0,69.599998,0.40000001,4.9000001,3.920295,0.1797045,5.8000002,1.7,0.2,0.40000001,0,0,0,0.2,0,0,3.7,0.0099999998,0,0.60000002,0,0,0,0,0,0.2,1.6,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.69999999,0.30000001,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0,7.9000001,5.5999999
"Trinidad and Tobago",62.900002,21.5,0,0.0040000002,0.13,1.2,0,0.80000001,0.2,0,0.80000001,0,0,0,0,17.5,163.10001,5.6999998,0,0.5,3.9000001,0,0,0,1,0,59.799999,1.3,4.6999998,1.912339,0.0876607,2.9000001,0.80000001,0.30000001,0.2,0,0,0,0.2,0,0,2.5999999,0,0,0,0,0,0,0,0,0,0.89999998,1.3,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,15.1,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,7,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.1999998
"Barbados",15.294,9.8039999,0,0.014,0,0.61699998,4.2870002,0,0.1,0,0.2,0,0.1,0,0,0.2,4.9580002,1.7539999,0,0,0,0,0,0,0.96499997,0.003,22.35,0.30000001,1.447,0.91792279,0.042077199,1.225,0.33700001,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.86500001,0,0,0,0,0,0,0,0,0,0.149,0.359,0.85299999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7130001,0.28,0,0,0.1,0,0,0,0,0,0,0,0.1,0.098999999,0,0,0.98100001,1.993
"Mexico",1102,36.299999,0.1,0.0020000001,0,0,0.1,0,0,0.2,0,0.2,0.2,0.30000001,6,0.40000001,0.2,0,1.2,7.3000002,7.1999998,0.1,0.2,9.5,10.8,1.6,67.699997,0.60000002,21.1,15.96803,0.73196727,73.199997,29.799999,20.799999,1.5,0,0.30000001,0.80000001,2,0.2,3,33.5,0,0,0.1,0.1,0,0,0,0.30000001,3.3,38.700001,2,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.02,0,0.30000001,0,0,0,0,0,0,0,1.1,0.1,0.1,75.400002,0.5,0,0.1,2.7,0,0,0,0,0,0,0,4.6999998,0,0.1,0,19,0.80000001
"Guatemala",100.6,3.8,0,0.0020000001,0,0.1,0,0,6.8000002,0,5.4000001,29.299999,2.0999999,5.3000002,0.30000001,0.5,5.4000001,0,0.039999999,0.30000001,0.2,0,0,0.1,0.30000001,0.1,9.5,0.2,3.9000001,3.4422109,0.1577893,3.3,4.0999999,1.8,0.30000001,0,0,0,0.60000002,0,0.1,4.9000001,0,0,0,0,0,0,0,0,0.40000001,1.6,0.30000001,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,22,0.2,0.30000001,0,0.1,0,0,0.30000001,0,0,0,0,0.30000001,0,0.5,0.5,0.1,0
