"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,11046.1,0,31.200001,175.3,160,247,9,1094,81,101,43,59,107,80,255.60001,1047.5,35,86,333,655,24,13,161,165,16,2259.5,131.2,496,692.96191,34.038109,896,480,329,97,0,9,104,123,5,26,1279,1,0,108,61,1,2,9,55,128,377,159,274,29,0,0.003,0.013,0.352,2.5899999,0,0.308,57,6,0.0060000001,64,17,72,0,17,75,12,12,0.015,0.83099997,37,44,16,21,18,6.1999998,1,47,3,0,4,258,0,0,0,30,8,10,3,2,118,10,101,72,4,41,3,11,0,137,43,0,0.28,32,8,0,3,413,0,309,5206.2998,366,77,1,31,0,2,98,3,0.0020000001,6,0,327,59,449,206,625,229
"Canada",10498.3,0,7.9000001,0.69999999,0.60000002,46.799999,18.1,1.5,65.199997,5,12.9,2.0999999,2,8.8999996,13.7,14.8,351.60001,31.6,8.6999998,2.9000001,42.900002,0.1,1.1,3.3,8.8000002,0.30000001,804.79999,11.3,80.099998,59.09716,2.902838,156.39999,85.400002,29.200001,13.9,0,3.5,12.6,39.599998,9.3000002,30.6,143.60001,1.3,0,5.5,4.4000001,0.30000001,1.3,7.3000002,12.5,12.8,86,45.700001,33,0.029999999,0,0,0,0,0,0.30000001,0,4.8000002,0.1,0,0.89999998,0.1,7.6999998,0.0060000001,0.003,22.6,0.1,0,0,0,1.4,6.8000002,5.6999998,4.3000002,0,0,0,0.0020000001,0.1,0,0.60000002,46.700001,0,0,0,0.1,14.4,0.5,0,0.029999999,9,0.30000001,30.700001,3.7,9,1.2,0.0099999998,0.89999998,0,15.3,27.200001,0,0.40000001,6.1999998,0,27.9,0,43.200001,0,12.4,504.39999,41.599998,7.1999998,0.1,9.3999996,0,0,1,0,0,0,0,35.400002,22.4,4.5999999,0.30000001,98,41.900002
"Cuba",0,37.900002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.799999,0,7.3000002,3.5267661,0.1732339,47.099998,9.5,39.259998,0,0,0,0,1,7.5799999,0,45.099998,0,0,2.4400001,0,0,0,29.309999,0,0.74000001,18.200001,2.1800001,4.0900002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5699997,0,0,0,0.0060000001,0,0,0,0,2.0699999,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8000002,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,1.5700001,0,0,0,0
"Haiti",21.777,2.6819999,0.003,0,0.012,0.20900001,0.206,0,0.078000002,0.001,0.057,0.0040000002,0.34200001,0.0020000001,0,0.046,0.117,0,0,0.003,0.059,0,0,0.024,0.017000001,0,1.7,0.0080000004,1.301,0.95318002,0.04682,1.885,0.40099999,0.092,0.018999999,0,0,0.479,0.127,0.215,0.396,0.92500001,0,0,0,0.0060000001,0,0.37099999,0.112,0,0.050000001,0.124,0.149,0.27900001,0.014,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.0040000002,0,0,0,0,0,0,0,0,0,0,0.0020000001,0,0,0,0.003,0,0.001,0,0,0,0,0,0.0099999998,0,0,0,0.001,0,0,0,0,0,0,0,0.028000001,0,0,0,0,3.266,0.167,0,0,0,0,0,0,0,0,0,0,0,0.0089999996,0.001,0.0020000001,0.028999999,0
"Dominican Republic",124,5.8000002,0,0.21699999,0,0,0,0,1.1,0.51099998,3.6040001,0.192,0.039000001,0.117,0.145,0.74000001,4.0999999,0,0.02,0.0099999998,0.2,0,0,0,0.1,0.003,6.9000001,0.0099999998,4.1999998,2.7642219,0.13577791,2.7,2.2,1.4,0.62,0,0,0,0.5,0,0,6.1999998,0,0,0,0.0099999998,0,0,0,0,0.1,1.2,2.9200001,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0,0,0,0,0,20.700001,0.07,0.039999999,0,0,0,0,0,0,0,0,0,0,0.15000001,0,0,0,0
"Jamaica",185.423,41.868999,0,0.18799999,0.23,0,4.1550002,0.116,0.30000001,0.294,3.9170001,0.043000001,1.061,0.056000002,0,0.95999998,22.207001,1.53,0,0.050000001,0.0020000001,0,0,0,1.2589999,0.0020000001,92.818001,0.83999997,5.4130001,3.0692401,0.15076029,6.2789998,3.628,0.27000001,0.25999999,0,0,0,0.60000002,0,0,4.3410001,0,0,0.345,0,0,0,0,0,0.63,1.824,1.432,1.1210001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.783,0.41800001,0.23,0,0,0,0,0,0,0,0,0,0,0.28299999,0,0,6.2189999,6.4699998
"Trinidad and Tobago",70.900002,21.65,0,0.011,0.11,3,0,0.98000002,0.38,0,1.51,0,0,0,0.001,6.4899998,173.5,5.54,0,0.02,3.1099999,0,0,0.029999999,0.72000003,0.018999999,66.860001,1.77,4.23,2.0874641,0.1025357,3.24,0.92000002,0.68000001,1.12,0,0,0,0.1,0,0,2.4200001,0,0,0,0,0,0,0,0,0,0.89999998,1.74,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1399999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.200001,0,0,0,0,0,0,0,0,0.0099999998,28.35,0,0,0,0,0,0,0,0,0,10.01,1.17,0.0099999998,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,1.05,3.6199999,6.4699998
"Barbados",18,8.1999998,0,0.017999999,0,1.556,6.7199998,0,0,0,0.40700001,0,0,0,0,0.11,2.9000001,1.666,0,0,0.27000001,0,0,0,1.1799999,0.026000001,22.700001,0.38999999,0,0,0,0,0.40000001,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.83999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0,0,0,0,0,0,0,1.6,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73000002,0
"Mexico",1297.9,40.099998,0,0,0,0,0.2,0,0,1,0.1,0.1,0.1,1.3,7.9000001,0.60000002,4.0999999,0.191,0.80000001,10.9,11.5,1.3,0.40000001,8.3000002,12.4,1.6,64.900002,1.2,29.200001,23.16227,1.137725,86.099998,33.400002,29.6,1.7,0,0.80000001,9.8000002,2.8,0.30000001,3.7,39.799999,0.0099999998,0,0.12,0.0099999998,0,0,0,0.40000001,4.8000002,40.799999,1.8,4.0999999,0.017999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60900003,0,0,0,0,0,0.1,0,0,0,0,0,0,0.0020000001,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0.02,0.1,0,0,0,0,0,0,0.80000001,0,0,0,0,0,0,0,1.6,0,0.60000002,94.300003,1.1,0.1,0.059999999,3.0999999,0,0,0.039999999,0,0,0,0,6.5999999,6.3499999,0,0,17.700001,1.3
"Guatemala",86.023003,3.552,0,0.017000001,0.0080000004,0.27399999,0.38800001,0,9.1569996,0,6.0339999,33.242001,4.5910001,7.5139999,0.46000001,1.09,1.068,0,0.094999999,0.34900001,0.192,0.001,0,0.079999998,0.509,0.012,10,0.205,3.5699999,3.6220839,0.1779158,3.599,6.0640001,3.247,0.27500001,0,0,0.015,0.97500002,0.0080000004,0,4.5510001,0,0,0,0.07,0,0,0.0040000002,0,0.44100001,2.4119999,0.228,1.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0,0,0,0.094999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.154,0,0.011,25.535999,0.021,0.044,0,0.21799999,0,0,0.27700001,0,0,0,0,0.016000001,0,0.082999997,0.017999999,0.061999999,0
