"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"United States of America",0,11780.7,0,34.099998,195.2,197.39999,267,10.1,1299.1,93.5,109,51,65.5,124,80.099998,287.70001,1220.6,46,116,362,711.29999,26,12,163,182.2,20,2339.3,143.3,562.5,705.23688,36.563068,1007.8,492.70001,381,101.4,0,10,104.8,127.1,7,25.4,1408.8,1,0,102.2,55,1,3,14,77.5,122.1,426.60001,151.39999,303.70001,50,0,0.0020000001,0.011,1,1.6,1,0.079000004,98,10.5,0.0020000001,54,9,97,1,27,116,10,7,0.032000002,0.72899997,43,50,24,25,22,14.8,0.215,71,2,0,2,306.20001,0,0,0,34,2,11,11,3,76.400002,13,79.300003,74,3,24,2,14,0.0099999998,159,21,0,1.58,27,4,0,1,583.20001,0,393.10001,6256.2998,317.10001,85,1,28,0,2,106.2,1,0.116,1,0,287,86,506.10001,193,650.5,236.3,11.241
"Canada",10411,0,10.1,0.89999998,1.4,28.299999,8,1.5,49.200001,6.1999998,13.8,4.3000002,1.2,12.8,8,27.799999,356.70001,30.5,11.1,4.5999999,52,0.1,0.5,2.9000001,9.6000004,0.149,775.59998,13.9,82.900002,51.5285,2.671499,166.7,85.099998,36.299999,14.7,0,3.9000001,12.7,48.200001,9.6999998,28.799999,152.2,1,0,7.6999998,5.1999998,0.2,1.2,5.3000002,9.6999998,27.1,111.6,51.700001,32.200001,0.102,0,0.001,0.003,0,0,0,0,1.2,0.2,0,0.60000002,0,7.5,0,0.69999999,46.799999,0.5,0,0,0,1.8,8.1999998,6,4.4000001,0,0,0,0.012,0.045000002,0,0.40000001,48.299999,0,0,0,0.2,11.2,0.1,0.1,0.029999999,0,0.84100002,35.5,1.6,14.2,0.30000001,0,1.1,0,15.2,25.5,0,0.059999999,5.9000001,0.116,20,0,54.700001,0,15.3,612.09998,42.400002,10.5,0.001,9.3000002,0,0,1.2,0,0.72000003,0,0,36.099998,21.299999,4.5,0.60000002,154.10001,45.200001,7.1999998
"Cuba",0,56.700001,0,0,0,0.104,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0999999,0,0,49.299999,0.02,13,5.038765,0.26123521,58.299999,12.2,36.599998,0,0,0,0,1.9,6.9400001,0,59,0,0,2.21,0,0,0,14.65,0,0.75999999,5.3000002,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,1.74,2.6900001,0,0,0,0,0,0,0,0,0,0,0,0,0,39.200001,0,0,1.753,0,0,0,0,0,0,0,0,0.13,0.93000001,0,0,0,0,0
"Haiti",24.104,2.2750001,0,0,0.023,0.204,0.056000002,0.001,0.435,0.0060000001,0.105,0.001,0.056000002,0.003,0,0.116,0.116,0,0,0.0020000001,0.090000004,0,0,0.018999999,0.24600001,0,2.141,0.012,1.5549999,1.226416,0.063583702,2.6289999,0.47799999,0.116,0.016000001,0,0,0.206,0.20100001,0.308,0.43000001,2.7060001,0,0,0.0040000002,0.001,0,0.29699999,0.31200001,0,0.078000002,0.15099999,0.211,0.384,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0.0020000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0.001,0,0,0,0,0,0.0089999996,0,0,0,0,0,0.0020000001,0,0,0,0,0,0.22499999,0,0,0,0.02,4.7080002,0.13,0.048999999,0,0,0,0,0,0,0,0,0,0,0.014,0,0.001,0.024,0,0
"Dominican Republic",143,14.8,0,0.25099999,0,0.99299997,0,0,1.2,0.75999999,4.875,0.169,0.001,0.27500001,0.175,1.0599999,4.5999999,0.0020000001,0.029999999,0.0099999998,0.67000002,0,0,0,0.18000001,0.001,8.5,0.02,8,3.8028409,0.1971586,3.7,2.2,0,0.33000001,0,0,0,0.40000001,0,0,11.4,0,0,0,0.0099999998,0,0,0,0,0.15000001,1.4,3.8,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0,0,0,0,0,0,0,33.299999,0.17,0.72000003,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0
"Jamaica",229.94099,47.445,0,0.30899999,0.116,0,5.5799999,0.31,0.92699999,0.63099998,3.2190001,0.027000001,1.352,0.02,0.156,0.53600001,22.971001,2.8380001,0.021,0.075000003,0.57300001,0,0.012,0.0089999996,1.3559999,0.001,100.674,1.029,6.5949998,3.897912,0.2020876,8.2279997,2.8239999,0.79000002,0.264,0,0.0080000004,0.0020000001,3.1040001,0.0099999998,0.016000001,7.7160001,0.0020000001,0,0.42399999,0.003,0.030999999,0,0,0.001,0.88499999,2.7969999,0.579,1.375,0.001,0,0,0,0,0,0,0,0,0,0,0.0099999998,0.0020000001,0.097000003,0,0.043000001,0.035999998,0,0,0,0,0.001,0,0.155,0.119,0,0,0.001,0.0060000001,0,0,0.001,0.037,0,0,0,0,0,0.0049999999,0.0049999999,0,0,0.0060000001,0,0.011,0.0020000001,0.003,0,0.0040000002,0,0.177,0.60000002,0,0.0020000001,0,0.0020000001,0.125,0,1.423,0,0.20900001,13.624,0.648,0.65100002,0,0.0060000001,0,0,0.081,0,0,0,0,0.64600003,0.667,0.082999997,0.054000001,8.3430004,7.4720001,0
"Trinidad and Tobago",88.879997,23.790001,0,0.013,0,4.5500002,0,1.33,0.28,0.041000001,1.65,0,0.033,0.0089999996,0,3.3399999,133.74001,5.73,0.039999999,2.27,3.8399999,0,0,0.0099999998,0.62,0.055,72.089996,2,4.9200001,2.8901589,0.14984059,4.27,1.11,1.97,0.82999998,0,0,0,0,0,0,3.3099999,0,0,0,0,0,0,0,0,0,0.99000001,1.95,1.3099999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,23.049999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0,41.299999,0,0,0,0,0,0,0,0,0.0099999998,51.209999,0,0,0,0,0,0,0,0,0,13.46,1.33,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6999998,6.5300002,0
"Barbados",28.723,14.37,0.0049999999,0.028999999,0.016000001,2.3310001,9.8629999,0,0.079999998,0,1.12,0.0040000002,0,0.001,0.029999999,0.17200001,5.0619998,2.5139999,0,0.02,0.221,0,0.146,0.0040000002,1.507,0.0020000001,41.716999,0.53500003,3.7709999,0.42781961,0.0221803,1.887,0.60900003,0.37200001,0.25600001,0,0.061000001,0.057999998,0.12,0.090999998,0.125,1.929,0.0099999998,0,0.0089999996,0.013,0.022,0,0.023,0.050000001,0.082000002,0.39300001,0.77499998,1.472,0.001,0,0,0,0.0070000002,0,0,0,0,0,0,0,0,0,0,0,0.0049999999,0,0,0,0,0,0,0.0089999996,0.003,0,0,0,0.0049999999,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.001,0.0060000001,0.001,0.044,0,0,0,0.088,0,0,0,0,0,0.059,0,0.082999997,0,0.148,4.3699999,0.41499999,0.001,0,0.081,0.024,0,0.016000001,0,0,0,0,0.18799999,0,0.0099999998,0.001,1.8,2.803,0
"Mexico",1433.6,49.400002,0,0,0,0.072999999,0.44,0,0,1,0.041000001,0.1,1.3,0.30000001,11.8,0.89999998,4,0.1,0.5,13.4,15.8,0.69999999,0.89999998,10.8,14.3,2.5,71.599998,1.8,33.799999,20.25013,1.04987,104.6,74,30.299999,1.6,0,1.3,0.69999999,1.9,0.60000002,3.4000001,39.400002,0.0099999998,0,0.1,0.039999999,0,0,0,0.2,6.1999998,41.799999,8.8000002,4.5,0.0080000004,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4000001,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.23,0,0,0,1.2,0.1,0,0,0,0,0,0,2.4000001,0.1,0.60000002,86,1.1,0.30000001,1.04,2.4000001,0,0,0.079999998,0,0,0,0,0.5,5.9000001,0,0,11.1,3.2,0.003
"Guatemala",100.373,3.523,0,0.0099999998,0.011,0.34400001,0.18099999,0,8.7679996,0,7.0580001,39.473999,7.224,11.226,0.48199999,1.617,1.155,0.001,0.088,0.124,0.39500001,0,0.0080000004,0.055,0.66500002,0.030999999,10.424,0.227,4.9120002,4.4493241,0.23067559,4.3699999,4.4060001,2.7690001,0.486,0,0,0,0.55500001,0,0.097999997,4.7309999,0,0,0.013,0.07,0,0,0,0,0.24600001,2.408,0.27000001,0.78100002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0,0,0.121,0,0,0,0.0060000001,0,0,0,0,0,0,0.013,0,0,0.0020000001,0,0,0,0.033,0,0,0,0,0,0,0,0.12,0,0.0049999999,29.308001,0.028999999,0.237,0,0.085000001,0,0,0.384,0,0,0,0,0,0,0.059999999,0.017999999,0.086999997,0.016000001,0
