"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"United States of America",0,1448.8,0,25.276,62.9,36.994,135.55,18.256,170.6,10.43,37.857,24.304,17.782,14.98,93.279,22.13,363.4,12.046,13.85,115.56,472.0629,16.891,0.927,73.22,174.1,10.435,219,0.36,730.1,146.511,7.0889,727.4001,76.9,429.75,32.78,0,7,26.72,14.2,18.92,19.6,276.5,6.99,1,39.5,50.39,17.017,1,47.84,438.8,9.81,54.1,13.31,32.71,44.3,2,0.774,1.772,13.715,4.241,6.983,2.676,69.65,7.7,1.475,1.848,17.203,32.525,4.666,8.853,235.3,15.352,6.687,0.61,2.344,15.7,46.815,4.452,2.442,16.4,10.6,4.834,44.657,46.0545,12,1.58,259,11,2,4,31.092,6.848,45.87,8.05,46.05,140.2,0.801,277.5,61.88,18.1,60.05,21.2,84.48,47.29,136.34,14.3,1.055,2,52.4,6,8.4,40.4,2.25,15,28.8,1,743.5,9,103,3667.1997,124.31,0,101.46,97,5.126,3.342,0,7,110.43,73,7.402,281.159,0,174.53,196.26,168,54.1,217.3699,127.27,10.184
"Canada",1448.8,0,43,3.203,9.5,22.07,12.57,11.788,15.8,2.453,17.497,0.148,0.181,3.524,2.556,3.71,374.9,10.232,3.31,21.32,41.654,0.949,1.463,4.84,48.54,3.131,460.7,7.19,32.8,45.2124,2.1876,53.5,65.6,21.94,7.51,0,4.7,6.8,30.1,4.73,33.2,16.2,0.51,13.2,4.39,10.16,0.858,1.5,6.71,269,7.37,104.5,68.93,22.4,0.594,0,0.127,0.856,1.17,0.948,0.3,0.645,3.7,0,0.211,0.647,3.552,5.192,1.772,0.45,53.4,0.928,0.079,0,0,2,4.185,1.877,1.199,0.3,0,0.119,0.151,2.2954,0,0.236,21.5,0,0,0,0.1,19.734,6.14,25.72,8.94,44,2.51,55.6,11.19,11.4,1.77,6.16,9.44,0.47,8.81,58.8,0,0.6,3.9,5.5,0.65,29.6,4.9,0.001,207.8,0,114.1,6.7,12.7,60.7,57.92,0,4.89,3.24,1.542,5.162,0,0,10.86,9,0.025,1.252,0,18.97,16.73,15.5,13,47,2.24,6.6
"Cuba",0,43,0,0.003,9,0.05,0,0.004,11.8,0,0,0,0,0,0,0,0,0,0,6.94,0,0,9,2.86,0,0,29.6,0.61,4.7,7.9169,0.3831,14.7,10.2,31.13,0.01,0,0,0,1,0.46,0,1.3,0.02,0,5.07,9.04,9,0,3.94,0,1.99,3.5,0.8,5.39,0.005,0,9,0,0.24,9,0,0,0,0,9,0.011,9,0,0.001,0.002,0,0,9,9,0,9,0,0,0,0,9,9,0.006,0,0,0,0,0,0,0,9,9,8.73,0.2,0,9.2,0,0,0,16.6,0.53,21.7,5.34,0,0,1.3,9.072,0,9.1,0,0,9,0,0,0,0,0,0,0,96.1,0.01,0,0,9,9,0,0,0,0,0,0,0,0,22.13,2.12,0,0,0,3.15,0.001
"Haiti",25.276,3.203,0.003,0,0.103,0.341,0.078,0.041,0.571,0.028,0.243,0.005,0.144,0.007,0.019,0.309,0.04,0,0.001,0.006,0.149,0,0,0,0.004,0,2.791,0.002,0.237,1.8505,0.0895,2.511,0.9,0.13,0.031,0,0,0.352,0.268,0.094,0.569,1.429,0,0,0.005,0,0,9,0.543,0,0.179,0.033,0.097,0.082,0.001,0,0,0,0,9,0,9,0,0,0,0.002,0,0,0,0,0,0,9,0,0,0.009,0,9,0,0,9,0,9,0,9,0,0,0,0,0,0.007,0,0.093,0,0,0,0,0,0,9,0.002,0.002,0,0,0,9,9,0,9,0,0,0,0,0,0.276,0,0,0,0,5.328,0.284,0,0,0,0,0,0,0,0,0,0,0.001,0,9,0,0.043,0,0.029,0,0
"Dominican Republic",62.9,9.5,9,0.103,0,0.149,0.17,0.006,4.28,1.621,6.415,0.102,0.012,0.273,0.201,3.1,0.82,0,0,0.22,2.91,0.113,0,0.08,0.54,0.544,5.3,0.01,3.9,4.5785,0.2215,2.1,2.1,8.06,0.28,0,9,0,0.7,0,9,7,0,0,0.03,0,0,9,0,9,2.18,4.6,2.61,2.19,0.016,0,0,0,9,9,0,0,9,0,0,0.001,9,0,9,0,9,0,0,0,0,9,0,0,0,0,0,0,9,0,9,9.005,9,0,9,0,9,0.005,3.33,1.59,9,0,9,9,0,10.5,0,9,0,0,0.07,0,0,9,9,9,9,0,0,0,9,0,9,9,0,9.4,0.75,0,0.01,0.54,0,0,0,0,0,9,0,0.16,0,0,0.17,0,0,0,1.76,0
"Jamaica",36.994,22.07,0.05,0.341,0.149,0,7.402,1.906,1.319,0.533,4.54,0.121,1.925,0.275,0.257,0.742,29.429,4.226,0.008,0.063,4.799,0.004,0,0.034,0.281,0,20.163,1.59,7.183,4.6929,0.2271,8.927,3.577,3.172,0.375,0,0.007,0.415,0.482,0.002,0.031,7.312,0.007,0,0.522,0.177,0.076,9,0.001,1.198,0.876,7.855,34.333,1.616,4.371,0,0.002,0,0.001,0,0,9,0,9.006,0,0.008,0.004,1.492,0,0.003,0.007,0.061,0,0,0,0.001,0,0.071,0.066,0,9,0.001,0.001,0.0236,0,0.013,0.09,0,0,0,0.002,0.01,0.063,0.006,0,0.001,0.005,0.01,0.01,0.007,0.007,0,0.04,0,0.096,0.003,0,0.002,0,0,0,0,0,0,0.209,0.001,3,0,0.483,12.633,0.716,0,0.349,0.11,0,0,0,9,0.026,0,0,0,0,0.606,0.937,0.255,0.225,12.801,15.326,0.039
"Trinidad and Tobago",135.55,12.57,0,0.078,0.17,7.402,0,8.463,0.44,0.036,2.423,0,0.109,0.46,0.253,1.31,39.7,12.339,16.59,0.01,7.312,0.002,0,0,0.25,0.368,48.99,2.05,8.17,3.1286,0.1514,5.18,1.22,2.89,0.42,0,0,0,0,0,9,0.45,0.01,0,0,0,0,0,0,9,0,44.54,5.26,6.43,0,0,0.352,9.075,0.147,0.112,0,0.172,0,0,0.086,0.002,0.001,0.005,0.197,0.786,20.6,0,0.175,0,0,0,0,0.039,0,9,0,0,0,0.0127,0,0,0,0,0,0,0,0,0.42,0,0,72.3,0,2.6,0,0,0,0,0,0,0.02,86.82,9,0,0,9,0,0,0,9,0,0,0,9,0,23.47,1.38,0,0.04,0.03,0.033,0,0,0,0,0,9,0,0,0,0,0,75.6,7.32,10.22,0.001
"Barbados",18.256,11.788,0.004,0.041,0.006,1.906,8.463,0,0.095,0,1.243,0.033,0,0,0.002,0.241,3.439,2.22,0,0.005,0.524,0,0.119,0.001,1.256,0,20.021,0.529,4.717,0.4292,0.0208,1.839,0.678,0.41,0.017,0,0.063,0.089,0.127,0.112,9.125,1.945,0.01,0,0.018,0.027,0.054,0,0.023,0.011,0.135,0.594,0.875,1.5,0.001,0,0,0,0.005,0,0,0,0,0,0,0.007,0,0.001,0,0,0.001,9,0,0,0,0,0,0.038,0,9,0,0,0,0,0,0.005,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0.007,0.001,0.038,0,0.002,9,0.055,0.1,0,0,0,0,0,0,0,9,0.394,0,0.011,9,0.083,4.89,0.34,0,0.174,0,0.013,0.094,9.013,0,0.036,0,0,0,0,0.324,0,0.023,0.001,2.666,4.384,0.002
"Mexico",170.6,15.8,11.8,0.571,4.28,1.319,0.44,0.095,0,11.352,3.756,5.502,4.263,7.608,8.433,15.68,1.3,0.815,3.4,2.05,17.746,0.028,0.489,18.12,3.28,1.227,75.6,4.14,29.6,26.517,1.283,60.8,58.6,32.21,3.7,0,0.3,1.1,0.9,0.2,3.9,17.3,0.01,0,5.75,0.17,0,0,0.05,0.3,5.3,41.8,1.49,4.21,0.027,0,0,9,0.005,0,0,0,0,0,9,0.172,0,0.007,0,0.002,0.1,0,0,9,0,0,0,0,0,0,9,0,0.317,0,0,9,2.4,0,0.1,0,9,0,2.13,2.39,0,0.4,0,0.6,0.1,13.9,0.26,9,0.14,0,0.28,0.1,9.1,0,0.2,0.1,0,0,9,0,14.8,0,1.6,9,1.1,89.7,0.92,0,0.2,0.13,0.189,1.9,0,9,1.94,9,9.001,0,0,0.65,1.88,0.7,1.1,3.95,1.91,0.015
"Guatemala",10.43,2.453,0,0.028,1.621,0.533,0.036,0,11.352,0,8.086,1.922,12.289,15.181,2.148,1.648,15.904,0.001,0.148,0.299,0.881,0.099,0.002,0.014,0.594,0.014,8.8,0.199,2.943,1.8028,0.0872,3.389,3.163,1.728,0.377,0,0.028,0,1.223,0,0.398,8.56,0,9.005,0.248,0.009,0,0.004,0.068,0.009,7.535,1.615,1.723,2.917,0.081,0,0,0,9,0,9,0,0,0,0,0,0,0,9,0,0,9,0,0,9,0,9.005,0,0,9,0,0.015,0.068,0,0,0,0.062,9,0,0,0.005,0,2.488,0,0.172,0.1,0,0.01,0.005,9,0,0,0.151,0.101,0.011,0.094,0,9,0.9,0.17,9,0,9.108,9.001,0,9,1.726,0,0.063,6.659,0.038,0,0.016,0,9,0.245,0,0,1.068,0,0,0,0,0.026,0.052,0.111,0.004,0.073,0,0
