"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"United States of America",0,599.701,122.95,0,34.547,97.5,70.806,317.14,22.238,148.9,42.347,52.561,16.973,3.451,9.951,101.005,11.34,754.5,7.383,61.02,89.24,935.741,9.523,2.673,71.62,185.32,14.18,89.7,24.43,1138.9,99.437,5.1632,1253.3,136.4,722.62,34.75,0,15.9,145.14,25.7,43.8,34.7,176.1001,11.48,1,6.7,189.8,28.356,1.1,103.21,968.7,13.84,97.8,127.08,33.87,56.965,5,1.029,11.174,24.89,3.143,9.139,6.257,51.28,7,2.586,22.156,77.099,25.436,1.408,1.731,612.7,16.532,4.564,0.471,0.07,24.8,57.913,19.828,15.273,14.6,11.173,2.576,65.788,40.8236,27,6.762,346,11,2,6,27.331,13.13,106.58,10.56,28.8,221.3,23.219,42,37.15,31.3,87.36,15.59,111.79,34.03,263.65,178.7,1.222,1,80.2,25.96,6.94,62,19.84,3.119,621.8,2,721.5,9,170.2,972.3,116.49,0,207.62,130.07,1.662,6.225,0,0,121.74,144,2.966,301.515,0,260.98,282.55,203.4,22.7,563.6699,169.59,6.284
"Canada",599.701,0,2.99,63.5,3.125,6.6,21.058,18.31,15.664,6.7,0.664,13.709,0.075,0.388,5.768,2.615,3.35,476.9,6.467,10.67,8.98,42.834,1.041,0.835,10.75,31.87,5.085,695.9,1.47,25.9,92.4971,4.8028,37.1,73.7,22.5,8.93,0,3.2,0.26,39.2,8.05,37.3,106.1,2.17,21.3,27.03,6.17,5.576,1.5,6.43,266.7,0.4,111.1,99.88,32.08,0.703,0,0.219,0.649,1.439,0.265,5.2,0.881,3.15,2.3,0.065,1.228,3.69,0.851,0.752,1.913,70.5,1.868,0.074,0,0.09,4.7,1.767,5.425,2.443,0.5,0.034,0.119,0.108,5.7055,0,1.694,35,0,0,0,0.4,31.668,1.42,46.45,12.53,35.7,1.554,119.9,15.98,20.5,0.25,2.32,15.51,0.55,7.09,59.8,0.798,25.6,0.8,0.26,0.12,53.8,32.3,0.013,229.6,0,145.9,11.3,17.1,894.6,142.63,0,12.86,49.71,2.573,0.874,0,0,17.15,9.1,0.054,1.693,0,33.36,25.04,3.4,14,23.15,21.78,6.849
"Bahamas",122.95,2.99,0,0.04,0.027,0.08,3.04,5.67,0.072,0.48,0.02,0.031,0.02,0.01,0.003,0.148,3.16,13.42,0.02,0.48,0.08,7.992,0,0.01,0.02,0.04,0,6.69,0.27,3.15,1.0362,0.0538,3.67,0.7,1.75,0.03,0,0,0,0.09,0,0.01,22.65,0.05,0,0,0.88,0.003,0,0,0.16,0,0.39,0.07,0.27,0.08,0,9,9,0,0,0,0,0,0,0,151.938,0,0.021,0,0,123.76,106.6,0,0,0,0,0,0,0,0,0,0,0,0.0064,0,0,0.02,0,0,0,0,0.007,0,0,0,26.28,0,1.36,0,0.02,0.02,0,0,0,0.05,12.22,9,0,0.01,0.02,9,0,9,0,0.01,0,0.03,0.02,0.01,3.23,0.07,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.02,0.03,0.058
"Cuba",0,63.5,0.04,0,0,9,0.069,0,0.012,6.9,0,2.152,0,0,0,0,0.02,0,0,0,1.48,0,0,9,29.21,12.04,0,9.7,4.72,7.3,8.1755,0.4245,16.9,7.9,16.74,0.17,0,0,0,1.8,3.8,0,2,0.04,0,2.91,9.05,9.076,0,11.44,0,2.43,1.6,1.57,3.02,0.005,0,9,0.002,0.295,9.005,0,0,0.03,0,9,0,9,0,0.002,0.005,0,0,9.001,9,0.17,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,9,9,8.02,0.06,0.05,9,0,9,0.03,9,3.86,15.08,0.27,0,0,0.1,9,0,9.2,9,0,9,0,0,0,0,0,0,0,74.9,0,0,0,9,9,0,0,0,0.01,0,0,9,0,3.44,0.19,0,0,0,0,0.004
"Haiti",34.547,3.125,0.027,0,0,0.104,0.005,0.095,0.04,0.351,0.124,0.121,0.042,0.152,0.026,0.171,0.426,0.731,0,0,0.005,0.354,0,0,0,0.009,0,3.217,0.004,0.778,0.5609,0.0291,2.474,1.317,0.239,0.015,0,0,0.388,0.162,0.05,0.603,2.975,0,0,0.01,0.01,0,9.239,0.197,0,0.194,0.133,0.343,0.288,0.001,0,0,0,0,9,0,9,0.01,0,0,0.001,0,0,0,0,0,0,9,0,0,0,0,9,0,0,9,0,9,0,9,0,0.003,0,0,0,0.014,0,0.002,0.02,0,0,0,0,0.01,9,0,0,0,0,0.038,9,9,0,9,0,0,0,0,0,0.312,0,0,0,0.004,6.053,0.089,0,0.014,0,0,0,0,0,0,0,0,0.004,0,9,0.067,0,0.002,0.065,0,0
"Dominican Republic",97.5,6.6,0.08,9,0.104,0,0.428,0.06,0.018,7.16,2.897,10.552,0.121,0.024,0.253,0.223,4.22,27.2,0,0.06,0.16,1.552,0,0,0.01,1.27,0.932,0.3,0.18,2.4,6.8446,0.3554,7.5,3.2,6.28,0.3,0,9,0,0.7,0,9,6,0,0,0.03,0.1,0.001,9,0,9,0.25,6.5,1.45,0.84,0.021,0,0,0,9,9,0,0,9,0,0,0,9,0,9,0.202,9,0,0,0,0,9,0,0,0,0,0,0,9,0,9,9,9,0,9,0,9,0.002,16.85,6.19,9,0,9,9,0,12.2,0,9,0,0,0.08,0,0,9,9,9,9,0,0,0,9,0,9,9,0,25.9,0.09,0,1.1,0.26,0,0,0,0,0,9,0,0,0,5.14,0.13,0,0,0,8.55,0
"Jamaica",70.806,21.058,3.04,0.069,0.005,0.428,0,12.323,1.974,0.837,0.018,7.181,0.146,0.361,0.196,0.345,0.022,46.746,2.739,0.004,0.066,3.685,0,0,0.029,0.144,0.191,0.733,1.289,9.95,9.1071,0.4729,9.824,3.933,1.725,0.078,0,0.036,2.612,0.348,0,0.006,5.938,0.02,0,0.595,0.314,0.008,9,0,6.21,0.502,5.227,45.399,1.258,0.005,0,0,0,0.001,0,0,9,0,9,0,0,0.013,7.747,0,0,0.209,0,0,0,0,0,0,0.069,0.001,0,9,0,0,0.0455,0,0.006,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,16.449,0.582,0,0.421,0.28,0,0,0,9,0,0,0.024,0,0,0.539,0.766,0.283,0,7.426,10.636,0.048
"Trinidad and Tobago",317.14,18.31,5.67,0,0.095,0.06,12.323,0,9.75,0.57,1.799,2.818,0,0.368,0.344,0.072,0.15,39.01,25.94,53.2,0.25,3.999,0,0,0,0.76,0.757,48.93,2.07,7.89,3.4984,0.1816,6.79,0.88,0.12,1.05,0,0,0,0,0,9,0.37,0.01,0,0,0,0.005,0,0,9,0.21,57.37,10.4,7.56,0,0,0,9.247,0.18,0.097,0,0.132,1.27,0,0.205,0.001,0.064,0.008,0,1.06,5.61,0,0,0,0.145,0,0.001,0.031,0,9,0,0,0,0.0036,0,0.002,0,0,0,0,0,0,0,0,0,14,0,12.4,0,0,0,0,0,0,0,186.42,9,0,0,0,0,0,6.17,0,0,0,0,9,0,20.77,1.04,0,0.04,0,0,0,0,0,0.01,0,9,9,0,0,0,0,76.7,8.31,9.79,0.001
"Barbados",22.238,15.664,0.072,0.012,0.04,0.018,1.974,9.75,0,0.127,0.131,2.503,0.024,0,0,0.006,0.306,6.467,1.737,0.002,0.042,0.739,0.005,0.095,0.001,2.64,0,20.037,0.646,4.375,0.4183,0.0217,1.628,0.735,0.454,0.028,0,0.122,0.056,0.116,0.09,9.1,2.584,0.02,0,0.002,0.008,0.299,0.001,0.006,0.006,0.201,0.474,1.013,1.452,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0.003,0,0.053,0,9.001,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0.003,0.009,0.004,0.038,0.041,0,9,0.109,0.021,0,0,0,0.063,0,0,0,0,0.338,0,0.44,9.011,0.104,4.005,0.337,0,0.373,0,0.006,0.122,9.026,0,0.025,0,0,0,0,0.421,0,0.029,0.002,2.486,4.837,0
"Mexico",148.9,6.7,0.48,6.9,0.351,7.16,0.837,0.57,0.127,0,13.367,4.822,9.428,5.81,10.174,7.305,21.58,51.7,0.187,2.9,9.45,19.612,0.201,0.802,19.85,6.95,4.189,65.3,14.41,37.4,22.5301,1.1699,69.9,72.1,27.46,0.22,0,0.5,3.6,0.7,0.1,4.8,14.4,0.66,0,6.29,0.96,0.009,0,0.1,0.3,7.67,57.8,1.44,3.84,0.01,0,0,9.043,0.006,0.01,0,0,0.15,0,9.02,0.02,0,0.088,0.007,0,0.1,0.1,1.4,9,0,0.1,0,1.8,0,0,9,0,0.029,0.0018,0,9,20.8,0,0,0,9,0.005,4.73,2.64,0.05,0,0.1,0.5,2.46,1.2,0.17,9,0.28,0,0.33,3.1,9,0,0.6,0,0,0,9,0,21,0,0,9,0.1,98,1.84,0,0.06,0.23,0,2.8,0,9,2.73,9,9,0,0,1.35,5.23,7.7,0.3,0.33,3.53,0.03
