"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"United States of America",0,38.4,791.66,0,69.458,94,83.604,1201.53,5.783,1.279,173,3.122,8.426,2.752,74.988,65.315,97.56,15.51,3169.5,24.289,266.1,172.83,1952.1931,5.879,5.693,87.23,207.29,18.22,990,15.77,1406.2,139.933,7.5677,1639.8999,24,1401.7799,176.28,0,6,235.61,230.1,21.97,2.4,349.6999,17.21,0,67.26,233.42,25.252,13,124.32,241.5,121.63,106.8,373.57,89.21,36.911,0.052,0,1.499,24.025,28.361,0.495,13.315,11.894,34.88,6.2,13.564,21.985,47.961,48.633,2.168,2.663,3579.6,200.531,5.591,5.42,32.712,8,67.004,14.217,25.977,6.206,19.127,3.128,53.479,55.6227,20,5.269,507,13,1,18,45.362,18.451,148.2,659.5,68.48,102.6,33.557,2153.5,199.36,187.2,314.03,33.88,254,54.48,453.2,1399.3,3.433,6,204.8,15.27,236.85,172.4,20.63,5.456,683.9,2,831.8,9,139.5,658.3,104.92,0,335.68,145.7,3.399,23.152,0,0,226.05,179,2.072,666,0,428.66,584.41,340.2,1215.7,1431.6299,96.68,28.419
"Canada",38.4,0,14.4,61,2.496,22.7,23.012,14.71,13.246,1.416,17.9,2.096,8.678,0.348,0.428,6.937,11.015,0.68,1273.1,3.606,32.79,39.72,391.312,0.975,1.163,12.83,44.26,4.87,1038.7001,30.31,63,73.2391,3.9608,75.5,40.5,47.05,6.06,0,6.5,16.06,20.9,4.1,47,236.7,3.91,15.5,27.08,29.89,0.3,0.8,21.52,4.4,2.47,152.8,118.95,48.88,2.194,0.254,0,0.125,3.06,1.502,9.908,0,1.273,2.27,11.6,1.563,1.191,3.317,7.47,0.464,1.613,30.5,5.151,0.144,0,0.185,3.6,3.163,5.345,4.175,0.134,0.051,0.7,0.108,12.6089,0,0.467,56,0,0,0,0.5,83.566,3.77,109.71,16.11,31.9,0.83,653.1,46.28,19.1,4.52,17.04,29.9,3.22,5.32,344.8,3.649,111.8,62.4,0.09,3.39,88.1,132.9,0.066,377.9,0,173.8,43.8,36.2,1076.7001,93.47,0,34.76,65.35,0.282,15.943,0,0,23.66,9.2,0.002,6.9,0,22.88,12.42,32.3,32.8,8.11,2.32,2.07
"Bahamas",791.66,14.4,0,0.04,0.026,1.91,1.85,20.31,0.111,0.17,4.32,0.007,0.005,0,0.01,0.018,18.69,1.4,74.49,0.17,10.38,0.79,44.6,0,0,0.03,0.2,0,21.08,0.24,1.55,2.3053,0.1247,3.72,5.01,0.31,0.59,0,0,0.01,0.07,0.11,0.02,20,0.09,0,0,2.12,0,0,0,0.01,3.81,0.45,0.01,0.01,0.04,0,0,9,9.002,0,0,0,0,0,0,0,4.527,0,0.011,0,0,319.67,90.8,0,0,3.245,0,0,0.01,0.06,0,0,0,0,0.0073,0,0,5.23,0,0,0,0,0.004,0,0,4.09,146.8,0,279.83,0,0,0,0,0,0,0.05,489.73,9,0,0,0.01,9,0,9,0,0,0,0.05,0,0,3.87,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.01,45.36,0.06,0.4,0.087
"Cuba",0,61,0.04,0,0,9,1.899,0,0.005,0,13.5,0,0,0,0,0.001,0.093,0,0.1,0.002,0,5.07,0,0,9,4.49,76.49,0,9,8.75,18.7,37.5683,2.0317,70.2,11,109.97,20.38,0,0,0,6,3.42,0,37.1,0.06,0,16.96,9.49,9.035,0,32.95,0,36.48,9.1,0.29,20.92,0,0,0,9,0.002,0,9,0,0,0.05,0,9.016,0.002,9,0,0.003,0,0,0.037,9,9,0.194,9,0,0,0,0,9,9,0,0.0018,0,0,0,0,0,0,9,9,8.29,5.73,0.45,9.2,0,9.2,0,41.7,0.56,4.76,0,0,0,0.3,9.002,0,9,0,0,9,0,0,0,0,0,0,0,240.6,0,0,0,9.89,9,0,0,0,0,0,0,0,0,19.97,2.23,0,0,0,9.68,0.001
"Haiti",69.458,2.496,0.026,0,0,0.032,0.058,0.114,0.049,9.004,0.541,0.322,0.278,0.021,0.065,0.012,0.425,1.757,0.89,0,0.003,0.004,0.451,0,0,0.019,0.036,0,3.701,0.016,2.492,1.2712,0.0688,4.18,1.644,0.046,0.029,0,0,0.407,0.628,0.084,0.464,1.466,0.01,0,0.002,0.089,0,9.227,0.105,0,0.068,0.415,0.006,0.379,0.001,0,0,0,0,0,9,0,9,0,0,0,0.004,0,0,0,0,0,0.2,9,0,0,0,0,9,0,0,9,0,9,0,9,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0.041,9,0,0.007,0,0,0.059,9,9,0,9,0,0,0,0,0,0.452,0,0,0,0,5.892,0.061,0,0.014,0.002,0,0,0,0,0,0,0,9.002,0,9,0.15,0,0.019,0.058,0,0
"Dominican Republic",94,22.7,1.91,9,0.032,0,1.213,0.28,0.029,0.275,8.6,2.827,19.84,0.188,0.158,1.45,0.051,7.95,93.1,0.052,0.01,0.23,4.01,0,0,0.01,1.66,0.559,10,0.33,5.1,7.4947,0.4053,9.3,3.9,12.56,9.85,0,9,0,0.7,0,9,12,0,0,0.21,0.16,0,9,0,9,0.28,16.2,1.27,2.41,0.11,0,0,0,0,9.711,9,0,0,12.04,0,0,0,9,0,9,0.025,9,0,0,0,0,9,0,0,0,0,0,0,9,0,9,9,9,0,9,0,9,0.001,32.13,15.74,9.42,0,9,9,0,9,4.29,9,9,0,0.22,0.5,0,9,9,0,9,0,0,0,9,0,9,9,0,36.6,0.01,0,0.02,0,0,0,0,0,0,9,0,9,0,0,0.4,1.2,0,0,1.97,0
"Jamaica",83.604,23.012,1.85,1.899,0.058,1.213,0,36.868,2.054,0.228,1.473,2.165,8.07,0.279,0.713,0.43,0.323,1.005,134.104,8.49,0.173,0.465,8.289,0.082,0.016,0.023,0.757,0.244,6.156,1.971,14.593,10.17,0.55,14.061,6.28,3.355,0.172,0,0.06,7.548,1.415,0.029,0.305,7.12,0.173,0,0.366,0.084,0.002,9,0.084,23.372,1.612,5.265,56.114,1.315,0.007,9,0,0.006,0,0.001,0,0,9,0.001,9.003,0,0,0.017,11.697,0,0.124,0.012,0,0,0,0,0.047,0.006,0.051,0.001,0,9,0,0.026,0.6942,0,0.093,0.059,0,0,0,0,0.024,0.002,0.008,0,0,0.006,0.002,0,0,0.024,0.039,0.022,0,0.241,0,0.001,0.005,0,0.009,0,0,0.02,0,0.865,0,3.612,0,0.7,25.065,0.469,0,0.481,0.485,0,0,0,9,0.053,0.021,0,0,0,0.806,0.53,0.275,0.283,4.066,15.849,0.081
"Trinidad and Tobago",1201.53,14.71,20.31,0,0.114,0.28,36.868,0,19.403,3.735,0.28,1.732,3.055,0,1.38,1.636,0.902,0.62,43.53,46.607,120.77,0.26,7.755,0,0,0.01,0.75,1.085,64.7,2.1,5.42,4.0509,0.2191,3.78,0.9,0.6,0,0,0,0,0.1,0,9,7.46,0.01,0,0,0,0,0,0,9,0.55,14.35,4.6,9.85,0,0,0,0.001,9.015,0.045,0,0,0.003,2.85,0,0,0,0.522,0.006,0.001,0.793,0.56,0,0,0,0.019,0,0,0.051,0,9,0,0,0,0.0118,0,0,0.5,0,0,0,0,0.001,0,0,0,0,0,165,0,0,0,0,9,0,0.01,658.81,9,0,0,0,0,0,41.84,0,0,0,0,9,0,23.56,1.3,0,0.02,0,0,0,0,0,0,0,9,0,0,0,0,0,332.1,4.1,11.51,0
"Barbados",5.783,13.246,0.111,0.005,0.049,0.029,2.054,19.403,0,0.726,0.201,0.212,2.498,0.092,0,0.005,0.527,0.423,20.014,2.354,0.001,0.019,0.983,0,0.028,0.003,2.289,0.014,18.855,0.783,5.808,0.6831,0.0369,1.589,0.735,0.367,0.064,0,0.022,0.056,0.102,0.099,9.121,1.501,0.023,0,0.021,0.004,0.146,0.002,0.008,0.005,0.489,0.608,2.407,2.038,0.001,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0.001,9,0,0,0,0,0,0.11,0.01,9,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.989,2.724,0,0.001,0,0.001,0.001,0.017,0,9,9,0.059,0.1,0.001,0.005,0,0.01,0,0,0,0,0.219,0,0.691,9,0.142,3.926,0.385,0,0.086,0,0.014,0.059,9.018,0,0.046,0,0,0,0,0.333,0,0.04,0.001,1.3,5.135,0.002
"Grenada",1.279,1.416,0.17,0,9.004,0.275,0.228,3.735,0.726,0,0,9,0.207,0,9,0,0,0,0.04,0.406,9,0,0.028,0,9,9,0,9,1.237,0,1.486,0.2087,0.0113,0.101,0,0.112,0,0,0,0.5,0,9,0,0.03,0,0,0,0,0,9,0,0,0,0,0.007,0.341,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,9,9,0,0,0,0,0,0,9,0.014,0,0,0,9,0,9,0,0,9,9,9,9,9,0,0,9,9,0,9,9,9,0,0,0,0,9,9,0,0,0,9,0,0.31,0,0,9,9,0,0,0,0,0,0,0,0,0,9,0,9,9,0.004,0.198,0
