"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Fiji"
"United States of America",0,2627.099,576.67,0,34.816,205,87.623,930.45,6.752,1.454,1001.2002,63.353,7.881,2.676,22.726,7.092,20.416,8.39,1167.0999,5.697,41.496,128.91,305.81,2102.1941,46.561,3.159,289.82,408.87,31.224,1176.9002,83.49,2309.6,644.9611,28.9387,1802.8,99.4,1667.2901,297.42,0,5,385.18,23.6,62.49,14.7,703.1999,28,3,136.66,270.26,8.086,9,5.35,1568.4,258.77,254,274.3,133.3,45.344,0,0,0.205,2,1.734,4.306,40.996,12.186,14,10.13,91.41,24.5,9.672,12.848,34.611,32.378,6.907,19.408,2984.5,197.074,2.643,3.292,72.161,24.5,62.834,27.676,69.038,19.931,19.957,2.73,30.299,437.8,17.532,115.5376,64,4.187,422.2,11,19,14,36.533,2.4,1.151,185.87,543.78,67.55,1172.3,79.241,396.5,270.79,347.3,723.93,102.33,334,55.8,672.93,2380.6,5.064,2,304.3,23.14,331.93,402.4,6.6,13.773,133,1,505.1001,10,295.1,723.6,763.37,0,214,276.45,26.165,0.752,0,3,231.52,65,3,206,0,435.31,715.4,17.4,1857.8,945.6201,8.38,153.91,7.723
"Canada",2627.099,0,11.71,121.1,3.953,1,34.914,14.11,10.063,1.986,43.2,12.631,4.925,0.963,2.547,3.282,5.286,8.4,995,2.083,2.708,7.37,57.06,73.542,1.647,1.035,15.83,70.23,10.677,591.7,5.77,136.1,155.6176,6.9824,59.7,106.7,33.02,15.08,0,1.9,17.02,21,0.41,40.6,147.8,4.93,19.1,36.79,27.69,1.655,1.7,17.56,369.7,6.17,171,83.45,40.36,0.688,0,0,0.155,0,0.282,0.1,5.2,1.939,2.4,1.588,0.74,16.2,0.782,2.563,3.677,10.67,0.494,0.172,45.4,27.259,0.037,0,0.1,4.4,2.469,1.911,15.887,0.225,0.1,0.1,0.936,0.7,4.304,24.6107,0,3.379,108.5,0,0,0,1,0,67.725,13.79,31.34,17.45,32.2,2.884,740.2,55.8,65.3,3.64,0.89,38.6,1.01,10.09,797.9,0.003,205.7,110.7,1.29,6.11,148,54.88,0.153,309.6,0,158.4,4.3,28.7,1193.9,190.84,0,68.75,82.37,1.369,5.049,0,0,25.47,9,9,3.6,0,25.1,5.25,48.8,47.3,116.6,1.005,11.53,1.157
"Bahamas",576.67,11.71,0,0.05,0.051,0.05,1.382,11.99,0.054,0.02,0.22,2.38,0.013,0,0.14,0,45.33,0.8,28.88,0,2.48,10.76,5.11,76.627,0,0,0.07,2.54,0,7.41,0.35,34.77,9.4653,0.4247,0.85,8.69,3.06,1.01,0,0,0,0,0,0.01,7.43,0.13,0,0,28.1,0.014,0,0,4.18,0.01,10.48,9.13,6.75,4.69,0,0,0,0,9,9,0,0,0,0,0,0,0,0.726,0.006,0,0,0,472.75,36.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.27,0,0,0,0,0,0.001,0,18.91,0,388.63,0,130.15,0,0,15.31,0.01,0,0,0.02,1025.3199,9,0,0,0.01,9,0,9,0,0.01,0,0.03,0.3,0,8.38,10.52,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.81,0.01,190.25,0.02,9.114,0.43,0.041
"Cuba",0,121.1,0.05,0,0,9,1.984,3.02,0.017,0,28.2,0,0,0,0,0.002,0.299,0.43,0,0,0.246,0,22.31,0,0,9,0.08,156.48,0,68.8,3.62,50.9,43.4504,1.9496,82.2,23.3,137.62,65.58,0,0,5.17,27.8,5.39,0,73.4,0.03,0,10.07,9.01,9.065,0,7.49,0,29.93,11.9,9.71,17,0,0,0,0,0,9,8.285,0,9,0,0,0.02,0,9,0,9,0,0,0.014,0,0.074,9,9,0.003,9,0,0,0,0,9,9,0.004,0,9,0,0,0,0,0,0,0,9,9,9,52.52,30.68,2.86,9.4,20.035,9,0,30.7,16.17,5.35,0,0,0,1.7,9,0,9,0.02,0,9,0,0,0,0,0,0,0,95.6,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0.05,0,0,0,9.002,32.92,0.006
"Haiti",34.816,3.953,0.051,0,0,0.522,0.442,0.059,0.043,9.001,0.468,0.412,0.009,0.049,0.214,0.001,0.008,1.148,0.205,0,0.063,0.011,0.001,0.447,0,0.004,0.019,0.099,0.055,3.726,0.014,3.558,0.1627,0.0073,2.768,0.341,0.372,0.03,0,0,0.448,0.21,0.104,0.534,3.821,0,0,0.001,0.006,0,9.092,0.108,0,0.105,0.309,0.179,0.035,0.003,0,0,0,0,0,0,0,9,0,9,0.01,0,0.02,0.004,0,0,0.001,0,0,0,9,0,0,0.002,0,9,0,0,9,0,9,0,9,0,9,0,0,0,0,0,0.006,9,0,0.029,0,0,0,0,0,0.014,9,0,0.012,0.017,0.037,0.007,9,9,0,9,0,0,0,0,0,0.403,0,0,0,0,9.48,0.069,0,0.002,0,0,0,0,0,0,0,0,9,0,9,0.3,0,0.011,0.049,0,0,0
"Dominican Republic",205,1,0.05,9,0.522,0,1.143,0.18,0.006,0,6.59,2.605,15.177,0.377,0.095,0.511,0.204,20.77,105.7,0.169,0.003,0.18,0.17,4.294,0,0,0.02,0.47,0.686,2.1,0.07,3.8,13.9731,0.627,32.4,4.2,4.98,10.39,0,9,0,0.3,0,9,17.1,0,0,0.55,0.03,0,9,0,9,35.29,28.2,3.52,1.63,0.007,0,9,0,0,0,0,9,9,0,0,9,0,0,0,9.017,0,9,0.029,9,0,0,0,0,9,0,0,0,0,0,0,9,9,9,0,9,9,9,0,9,0,9,0,0,32.65,5.1,9,0,10.436,17.1,0,9,0,9,9,0,0.05,0,0,9,9,0,9,0,0,0,9,0,9,9,0,54.3,0.05,0,1.46,1.67,0,0,0,0,0,9,0,9,0,0,0.49,1.2,0,0,0,2.12,0
"Jamaica",87.623,34.914,1.382,1.984,0.442,1.143,0,37.846,1.683,0.397,2.788,0.41,5.996,0.387,0.273,0.406,0.56,0.542,152.882,22.981,0.24,0.191,0.087,7.557,0.062,0,0.097,2.079,0.543,30.902,1.468,11.304,7.7809,0.3491,9.229,5.542,15.588,0.333,0,0.096,9.293,0.587,0.021,0.134,7.502,0.178,0,0.977,0.039,0.001,9,0.026,23.309,0.436,10.739,48.228,1.495,0.003,0,0,9,0,0,0.009,0,0,0,9,0,9,0,0.002,0.015,9.795,0.001,0.069,0.024,0,0,0,0,0.023,0,0.087,0.006,0,9,0.004,0.008,0,0,0.177,0.001,0.005,0.177,0,0.145,0,0.002,0,0.008,0.009,0.051,0,0.003,0.008,39.314,0.004,0,0.039,0.006,0.206,0,0.171,0.007,0.001,0.001,0.001,0.03,0,0,0.001,0,0.92,0,6.371,0,0.551,39.123,0.594,0,0.413,0.316,0,0.06,0,9,0.064,0,0.001,0,0,0.648,0.416,1.941,0.631,7.081,0.019,15.376,0.061
"Trinidad and Tobago",930.45,14.11,11.99,3.02,0.059,0.18,37.846,0,15.832,5.341,0.18,0.075,1.921,0.65,0.281,2.583,0.741,1.7,8.84,45.115,42.633,1.69,0.43,0.85,0.02,0.03,0.17,0.72,0.677,56.04,1.55,2.9,1.8376,0.0824,2.19,1.74,8.73,0.15,0,0.21,0.23,1.01,0.18,9.72,9.73,0.01,0,0.05,1.2,0,0,0.09,9.12,0.25,0.28,2.49,3.95,0.059,0,0,0,0,0.332,9,0,0.01,0,0,3.82,0,0,0.001,0.085,0.005,0,1.043,0.37,0,0,0,0,0.2,0.001,0.052,0.041,9,0.2,0,0,0,0,0.0455,0,0,0,0,0.01,0,0,0,0,0.12,0,0,83.3,0,78.74,0.01,0.03,0,0,9,0,0.27,385.5,9,0,0,0.01,0,0,153.65,0,2.39,0,3.5,9.13,1.11,50.97,2.6,0,0.13,0.08,0,0,0,0,0.03,0,0,0,0,0.72,0.75,0.01,252.11,6.46,0.002,10.88,0.001
"Barbados",6.752,10.063,0.054,0.017,0.043,0.006,1.683,15.832,0,0.895,0.117,0.046,1.398,0.093,0,0.02,0.867,1.05,20.857,3.453,0.065,0.009,0.004,1.578,0,0.152,0.116,1.226,0.007,13.601,0.846,3.15,0.5072,0.0228,1.214,0.835,0.591,0.087,0,0.005,0.037,0.118,0.07,9.153,1.599,0.017,0,0.022,0.035,0.006,0.001,0.014,0.018,0.132,0.476,1.719,0.985,0.013,0,0,0,0,0,0,0.002,0,0,0,0,0.001,0,0,0,0,0,0,0,9,0,0,0,0,0,0.181,0.078,9,0,0,0.008,0,0,0,0,0,0.007,0,0,0,0.005,0,0,0.006,0.001,0,0,0,0.014,0.006,0.003,0.148,0,9,9,0.094,0.074,0,0,0,0,0,0,0,0,0.586,0,0.072,9.001,0.191,3.677,0.347,0,0.183,0,0,0.192,9.004,0,0.021,0,0,0,0,0.336,0,0.03,0.008,1.821,0,5.239,0
"Grenada",1.454,1.986,0.02,0,9.001,0,0.397,5.341,0.895,0,0,9,0.291,0,9,0,0,0,0.038,0.728,0.112,9,0,0.022,0,9,9,0.106,9,0.894,0,1.014,0.335,0.015,0.013,0,0.238,0,0,0,0.358,0,9,0,0.144,0,0,0,0,0,9,0,0,0,0.092,0.014,0.377,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,9,9,0,0,0,0,9,9,0,0,9,0.011,0,0,0,9,0,0,9,0,0,9,9,9,9,9,0,0,9,9.018,0,9,9,9,0,0,0,0,9,9,0.191,0,0,9,0,0.368,0,0,9,9,0,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0.269,0
