"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Fiji","Samoa"
"United States of America",0,1172.699,493.46,0,42.988,116.5,10.505,1197.91,23.833,1.843,119.1999,11.386,48.829,92.914,31.368,10.41,117.706,20.4,595,30.603,1.578,221.64,149.81,1533.801,32.82,1.549,153,207.19,16.693,1031.3999,135.48,2475.2,941.1261,42.7732,2035.8999,60.3,1477.6499,233.29,0,49.9,575.89,92.7,56.46,108.5,674.5,40.21,2,43.25,254.8,20.915,15,86.41,2088.8,178.42,324.3,18.59,47.01,76.225,0,2,0.255,0,3.135,3.555,27.459,11.633,19,7.968,165.96,46.6,8.474,3.138,37.379,26.782,8.259,21.955,4745.7999,208.792,0.011,3,75.84,76.5,106.703,9.609,12.362,20.192,51.974,9,62.144,290.5,32,97.1291,48,4.988,373.6,14,51,9,51.265,1.4,7.736,0.6,205.96,1711.86,35.86,2494.3,66.069,746.8001,203.19,94.9,513.17,126.97,44,89.66,451.14,4240,15.421,3,446.1,112.31,341.33,1325.9,206.99,6.763,87.5,2,1666,9,683.3,5060.699,522.41,0,306.17,78.02,8.314,5.211,0,1,173.57,1,1,0,506.59,470.14,118.46,2300.2,1156.3,67,77.34,5.267,2.338
"Canada",1172.699,0,3.16,195,9.572,9.3,37.078,27.69,14.574,2.284,21.8,3.573,5.785,0.573,11.272,11.028,4.016,4.46,1249.2,8.673,9.011,18.1,14.84,199.491,0.7,2.656,20.2,25.11,3.855,815.0001,23.67,74.8,216.8446,9.8554,121.1,80.3,38.91,0.7,0,41.2,46.09,16.9,1.62,27.7,155.9,1.97,9,3.01,0.78,3.061,3.6,7.35,496.1,13.38,175.9,54.7,38.16,0.404,0,0,0.019,0,0.097,0.152,1.8,0.937,0.7,0.494,0.67,8.4,0.234,0.641,1.215,16.728,5.813,0.899,128.6,66.6,0.077,0,0.111,6.7,1.696,1.313,0.863,0.524,0.191,0.245,2.791,0.3,4.9,6.6536,0,9.454,90,0,0,0,1.617,0,0.721,0,0.5,26.76,21.54,115.4,4.34,681.6,48.44,77.2,4.24,4.85,2.1,2.63,0.25,527,0.002,221.7,4.9,1.83,0.32,62.6,93.32,0.419,101.1,0,283.5,7,222.1,1022,81.11,0,41.19,42.87,1.145,0.737,0,0,34.77,9,9,0.2,11.28,43.6,14.12,34.2,36.44,6.209,7.72,0.82,0.114
"Bahamas",493.46,3.16,0,0,0.021,0.61,0.837,2.73,0.049,0.04,1.77,6.65,0.005,0.01,0.04,0.005,1.251,8.2,66.2,0.02,0.82,0.04,2.14,42.529,0,0,0.01,3.89,0.241,17.46,0.5,17.85,25.6732,1.1668,1.49,4.54,5.35,1.01,0,0,0.09,0.15,0.14,0,0.95,0.13,0,0,0.06,0.002,0,0,0,0.06,17.31,18.61,21,2.338,0,0,0,0,9,9,0,0,0,0,8.2,0,0,12.896,0.009,0.001,0,0,389.63,15.75,0,0,0,0,0,0,0.01,0,0,0,0,95.7,0,0.0055,0,0,0.11,0,0,0,0,0,0.001,9,0,12.64,0,435.87,0,69.45,0,0,0,0,0,0,0.04,1536.94,9,0,0.1,0.02,9,63.7,9,0,0.06,0,0.02,0.18,0.4,8.71,0.04,0,0,0,0,0,0,0,0,0,0,0,0.02,24.06,1.11,7.62,0.32,9,0.59,0.055,0
"Cuba",0,195,0,0,0,9,0.606,0.01,0.014,0,21.2,0,0.003,0,0,2.282,0.378,18.93,0,0,0.281,0.02,16.31,0,0,9,0,168.64,0,30.9,3.07,29.8,13.8696,0.6304,60.5,4.7,119.01,32.15,0,0,3.92,15.6,13.52,0,39,1.11,0,57.9,9.09,9.068,0,0.83,0,11.13,7.3,1.17,29.21,0.002,0,0,0.01,0,9,5.315,0,9,0,0,0,0,9,0,9.009,0.006,0,0.012,0,0,9.003,0,0.01,9,0,0,0,0,9,9.695,0,0,0,0,0,0,0,0,0,0,9,9,9,0,60.48,8.9,0.03,9,0.02,13.9,0.11,24,3.58,41.05,0,0,0,3.2,9.011,0,9,0.03,0,0.3,0,0,0,0,0,0,0,149.7,0,0,0,9,9,0,0,0,0,0,0,0,0.2,1.5,0,0,0.56,0,15.72,0.02,0
"Haiti",42.988,9.572,0.021,0,0,0.299,1.552,0.166,0.395,9.004,0.77,0.364,0.086,0.073,0.273,0.09,0.16,1.092,0.038,0,0.249,0.006,0,2.01,0,0,0.023,0.028,0.071,2.949,0.004,3.751,3.6157,0.1643,10.157,2.393,0.568,0.048,0,0,0.15,0.204,0.191,0.788,8.602,0,0,0,0.047,0,9.113,0.37,0,0.108,1.857,0.204,0.303,0.043,0,0,0,0,0,0,0,9,0,9,0,0,0,0.001,0,0.001,0,0,0,0,9,0,0,0.002,0,9,0,0,9,0,9,0,9.326,0,9,0,0,0,0,0,0.044,9,0,0,0.02,0,0,0,0,0,0.039,9,0,0,0,0,0.026,9,9,0,9,0,0,0,0,0,1.068,0,0,0,0.001,10.709,0.053,0,0.059,0,0,0,0,0,0,0,0,9,9,0.433,0,0,0.051,0,0.062,0,0
"Dominican Republic",116.5,9.3,0.61,9,0.299,0,1.471,4.55,0.06,0,5.6,2.737,9.696,0.318,2,0.741,0.249,11.28,117.9,0,0.875,0.38,0.15,20.58,0,0,0.02,3.29,0.626,9.5,0.21,4.2,22.4784,1.0216,2,4.6,16.22,0.83,0,9,0,0.3,0,9,4.8,0,0,0.2,0.01,0,9,0,9,6.5,11.6,3.68,0.57,0.199,0,9,0,0,0,0,9,9,0,0,9,0,0,0,9.029,0,9,0.036,9,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,9,9,9,0,9,0,9,0,0,0,8.37,0.97,14.66,0,9,9,0,9,0,9,9,0,0.03,0,0,9,9,0,9,0,0,0,9,0,9,9,1.1,53.1,1.05,0,0,0.02,0,0,0,0,0,9,0,9,0,0.6,1.48,0,0.88,0,1.31,0,0
"Jamaica",10.505,37.078,0.837,0.606,1.552,1.471,0,17.993,2.814,0.451,2.53,1.553,5.226,0.341,0.355,0.252,0.505,0.042,113.623,9.047,0.788,0.143,0.126,6.399,0,0.051,0.015,2.033,0.389,13.879,1.438,4.917,5.4713,0.2487,6.447,0.197,5.037,0.223,0,0.093,3.301,0.813,0.003,0.04,11.325,0.075,0,0.031,0.046,0.011,9,0.129,0.058,0.052,11.172,45.008,1.83,0.004,0,0,9.002,0,0.001,0,0,0,0,9,0,9,0,0.001,0.036,1.909,0,0.157,0.095,0,0,0,0.023,0.038,0.005,0.26,0.005,0,9,0.004,0.001,0,0.001,0.0869,0.001,0.012,0.003,0,0,0,0.001,0,0.008,0.001,0.009,0,0,0,0.006,43.182,0.013,0,0.006,0.011,0,0.001,0.096,0.1,0,0,0,0.03,0,0,0,0.002,2.616,0.003,3.737,0,1.039,24.341,0.908,0,0.255,0.029,0,0.135,0,9,0.017,0.001,0,0,0.623,0.33,1.182,0.59,4.838,0,18.575,0.092,0
"Trinidad and Tobago",1197.91,27.69,2.73,0.01,0.166,4.55,17.993,0,17.84,5.356,1.67,4.03,28.052,0.19,1.246,3.44,22.624,2.17,22.07,51.117,41.095,18.29,2.82,4.827,0.03,0.15,0.06,1.58,0.079,63.18,1.72,5.24,6.1887,0.2813,2.06,0.87,2.39,0.02,0,0.23,0.35,0.52,0.21,9.77,1.33,0.01,0,0.07,0.34,0,0,0.14,9.18,0.43,5.45,5.09,4.79,0,0,0,0,0,0.686,9.343,0,0.036,0,0,0,0,0,0.71,0.003,0.393,0.091,2.054,3.4,0,0,0,0.01,0,0,0.156,0.02,9.002,0,0,0,0,1.86,0.0255,0,0,0,0,0,0.32,0.02,0,0.003,0,0.07,0,0,0,0,208.01,0.01,3.17,0.02,0,9,0,0.06,520.6,9,0,0,0,0,16.5,121.67,0,3.63,0,5.46,9.17,0.72,51.29,2.6,0,0.1,0.06,0,0.03,0,0,0.03,0,0,0,0.84,1.09,0.51,323.3,6.76,0,13.25,0,0
"Barbados",23.833,14.574,0.049,0.014,0.395,0.06,2.814,17.84,0,0.949,0.145,0.138,2.084,0.049,0.373,0.004,0.335,0.683,13.655,2.375,0.175,0.001,0.004,2.689,0.004,0.192,0.94,1.781,0.399,41.111,10.724,3.249,0.6696,0.0304,1.786,0.821,0.753,0.045,0,0.046,0.101,0.095,0.046,9.417,1.836,0.001,0,0.01,0.033,0.001,0,0.015,0.039,0.135,0.475,1.997,1.137,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0,0,0,9,0,0,0,0,0,0.205,0,9,0,0,0,0,0.022,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0.001,0,0,0.007,0.004,0.003,0.052,0,9.07,9,0.089,0.172,0,0,0.002,0.002,0,0,0,0.015,0.714,0,0.416,9.007,0.142,7.153,0.271,0,0.251,0,0,0.177,9.032,0,0.027,0,0,0,0.368,0,0.032,0.009,1.726,0.001,6.637,0,9
"Grenada",1.843,2.284,0.04,0,9.004,0,0.451,5.356,0.949,0,0,9,0.333,0,9,0,0,0.04,0.028,0.4,0.244,9,0,0.001,0,9,9,0.05,9.045,0.736,0.07,1.665,0.287,0.013,0.036,0,0.258,0,0,0,0.174,0,9,0,0.164,0,0,0,0.003,0,9,0,0,0.01,0.1,0.018,0.203,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,9,9,0,0,0,0,9,9,0,0,9,0.011,0,0,0,9,0,0,0,9,0,0,9.032,9,9,9,9,0,0,9,9.01,0,9,9,9,0,0,0,0,9,9,0.044,0,0,9,0,0.543,0,0,9,9,0,0,0,0,0,0,0,0,9,0,9,9,0.07,0,0.211,0,0
