"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Fiji","Samoa"
"United States of America",0,30868.9,1102.9,0.1,176.3,670.09998,376.20001,1754.9,33.5,0.1,4769.6001,430.89999,292.89999,462.29999,198.5,328.20001,179.39999,860.79999,4319.7998,63,139.3,673.90002,544.70001,2384.7,162.89999,26.200001,303.10001,431.10001,93.900002,5470.3999,250.60001,1592,1483.963,63.937481,3260.2,1230.2,1107.8,166.3,0,18.200001,355.29999,298.39999,50.299999,41.599998,3286.1001,4.3000002,6.6999998,371.20001,188.2,5.5,18.700001,253.89999,472.10001,305.29999,1060.3,814.40002,615.70001,166.5,0,0,0,0,0.2,0.1,2.0999999,0.106,0.1,15.1,313,76.5,0.69999999,124.3,64.599998,223,0.30000001,39.5,6828.2002,252.3,3.5,0.2,33.900002,179.2,254.2,97.800003,83.199997,27.6,35,1.9,0.40000001,96.699997,481.60001,72.800003,105.4,51.700001,20.6,1334.7,0,50.400002,14.4,80,1.9,24.1,0.2,23.9,3269.8999,12.3,4474.8999,19.6,4104.8999,157.10001,466.89999,188,17.200001,43.299999,3.3,591.79999,7100.3999,0.80000001,3.5,238,82.099998,483.10001,2277.8999,473.10001,16.5,224.39999,2.2,4039,0,3162.2,20202.801,865.29999,0,62.400002,70.300003,1.2,74.900002,0,4.5999999,379.5,0.1,1,0.40000001,1390,922.40002,1235.7,3737.8999,1338.7,85.300003,413.10001,10.108,1.3
"Canada",30819.801,0,11.2,46.900002,3.5999999,25.6,57.299999,41.200001,6.0999999,0.315,202.10001,24.200001,19.299999,15.3,15,26.700001,13.4,66.300003,1405.8,13.1,12.1,71,38.5,221.3,11.7,4.1999998,23.799999,23.799999,4.1999998,1322.8,41.700001,197.10001,159.0473,6.8526559,539.29999,227,118.2,27.299999,0,5.8000002,48.599998,64.400002,21.200001,44.900002,412.79999,0.30000001,0,18.6,32.299999,0.2,2.3,22.9,57.700001,39.799999,269.70001,71.699997,84,1.3,0,0,0,0,0.0089999996,0,0.89999998,0.017999999,0,0.017999999,12.6,23.200001,0.090000004,5.5,3.9000001,4.8000002,0.147,0.833,38.700001,18.5,0,0,0.090999998,7.8000002,2.5999999,21.1,9,3.033,0,0.003,0,1.5,0,5.4000001,0.054000001,0,0.40000001,154.2,0,0,0,1.337,0,6.5999999,0,3.7,49.599998,0.15000001,0,0.115,556.20001,7.1999998,114.2,33.900002,0.079999998,0.2,0,43.799999,738.79999,0,6.0999999,20,0,0,14.4,0,0.097999997,85,0,332.39999,0.5,334.5,1853.5,57.400002,0,6.8000002,7.4000001,0.235,17.4,0,0,12.7,0,0,0.1,55.400002,96.800003,40.700001,25.4,365.60001,5.2719998,74.599998,1.4,0
"Bahamas",214.28999,12.41,0,0.07,0.13,0.0099999998,1.3099999,5.0100002,0.090000004,0.0099999998,0.56,0.001,0,0.0099999998,0.0099999998,0.001,0.13,6.2399998,63.23,0.0099999998,0.059999999,0,4.0999999,38.91,0,0,0,0.37,0.18000001,60.779999,0.31,0.23999999,0.2396735,0.0103265,2.8900001,0.72000003,0.82999998,0.079999998,0,0,0.0099999998,0.02,0.23999999,0,1.09,0,0,0,0.11,0,0,0,4.3899999,0.0099999998,0.090000004,12.74,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.14001,95.099998,0,0,12.87,17.08,0,0,0,0,0,0,0,0,153.5,0,0,0,0,7.5999999,0,0,0,0,0,0,0,0,13.01,13.46,362.85001,0,386.45001,0,16.73,0.0099999998,1.67,0,0,0.0099999998,1274.26,0,0,0,0,0,12.6,0,0,0,0,0.0099999998,0,0.1,2,0.029999999,0,0,0,0,0,0,0,0.02,0,0,0,0.0099999998,0,0.090000004,85.440002,0.039999999,0,0.37,0,0
"Cuba",1.5,173.60001,0,0,0,0,1.081,0,0.016000001,0,34.400002,0,0,0,0,0.461,0.028000001,3.4300001,0,0.0020000001,0.396,0,19.620001,0,0,0,0,167.64,0,47.900002,0.02,18.6,73.723572,3.1764269,56.5,25.700001,154.57001,0.44999999,0,0,28.16,9,28.5,0,32.299999,0,0,41.5,0,0,0,8.6899996,0,1.63,31,1.4,82.440002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.62,0,0,0,0,0,0.77999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,1.66,1.8,0.0099999998,0,16.02,0,0,0,0
"Haiti",105.718,14.409,0.092,0,0,2.3929999,2.168,0.27399999,0.0099999998,0,0.62900001,0.189,0,0.097999997,0.35800001,0.003,0.064000003,0.61199999,0.046999998,0,0.28,0.033,0,2.0450001,0.075000003,0,0.15800001,0.039000001,0,4.9679999,0.093000002,4.4640002,2.454257,0.1057432,6.6830001,0.745,0.87900001,0.024,0,0,0.40400001,0.115,0.47999999,0.53299999,2.46,0,0,0,0.023,0,0.2,0.58200002,0,0.071000002,1.5190001,0.829,0.79100001,0.0020000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27399999,0,0,0,0,0,0,0,0.0089999996,0,0,0,0.0020000001,0,0,0,0,0,0.016000001,0,0,0,0,0,0.0020000001,0,0,0,0,0,0,0,0,0,3.4360001,0,0,0,0.039000001,14.607,0.145,0,0.017999999,0,0,0,0,0,0,0,0,0,0,0.551,0.0099999998,0,0.063000001,0,0.050000001,0,0
"Dominican Republic",411.03,21.629999,0.19,0,1.15,0,1.26,1.12,0.0099999998,0.012,10.93,2.75,8.2600002,0.63999999,1.02,3.71,8.1099997,4.9299998,140.39,0.0099999998,0.38999999,0,0.2,13.73,0.02,0,1.96,11.06,0,16.120001,0.25,9.0699997,6.0972939,0.2627058,7.8000002,5.6399999,29.639999,0.44,0,0.050000001,0.25999999,0.63,0.1,0.27000001,14.17,0,0,0.13,0,0,0,0.0099999998,0,0.61000001,1.74,5.9000001,1.1799999,0.029999999,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0.31999999,0,0,0,0,0,0,0,0,0,0.059999999,0,9.6199999,0.0099999998,1.2,73.339996,0.85000002,0,0,1.04,0,0,0,0,0,0,0,0,0,0.039999999,0.050000001,0,3.22,0,0.60000002,0,0
"Jamaica",317.444,48.145,0.068000004,0.043000001,0.14,0.42300001,0,22.6,2.6010001,0.226,3.7449999,1.472,4.803,0.088,0.0070000002,0.028999999,0.37400001,0.58099997,138.07201,13.1,0.001,0.204,0.48199999,5.3600001,0,0.53100002,0.028999999,1.109,0.37099999,82.079002,0.74000001,8.3109999,4.9660349,0.21396481,8.0839996,4.3010001,0.801,0.097000003,0,0.030999999,1.174,0.29899999,0.028000001,0.011,3.451,0,0,0.40000001,0.22,0.0020000001,0,0.108,0.0070000002,0.204,5.8369999,2.346,1.694,0.0060000001,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.0049999999,0.001,0.186,0,0,0,0,0.052000001,0.052999999,0,0.096000001,0,0.081,0,0.0060000001,0,0.001,0.0049999999,0,0.0049999999,0,0,0,0,0,0,0.001,0,0,0,0.028000001,0,0.050000001,0,0.015,0.0049999999,0.0049999999,0.017999999,0.017999999,0.017999999,0,0,0.122,0.013,0,0,0,0,0,0,0,0.024,0.55800003,0,6.993,0,0.78299999,19.370001,0.148,0,0.093000002,0.112,0,0.117,0,0,0.0070000002,0,0,0,0.53399998,0.296,0.123,0.505,7.381,0,11.247,0,0
"Trinidad and Tobago",371.39999,62.119999,0.0099999998,0,0.090000004,0.56,23.35,0,10.17,0.56999999,1.85,0.25999999,5.4099998,0.40000001,1.78,0.22,0.80000001,7.54,17.110001,16.379999,0.28999999,2.6600001,2.4300001,6.3000002,0,0,0.050000001,1.88,1.09,187.52,2.51,14.91,6.2794461,0.27055401,9.3400002,2.5699999,3.5799999,0.56999999,0,0.31999999,0.34,0.85000002,0.23,1.42,9.2299995,0,0,0.090000004,0.090000004,0,0,0.41,0.15000001,0.54000002,6.02,5.29,6.6399999,0,0,0,0,0,0.075999998,0,0,0,0,0,0,0,0,0.02,0,0.029999999,0,0,0,0,0,0,0.0099999998,0,0,0.16,0.059999999,0,0.27000001,0,0,0,0,0.20999999,0,0,0,0.02,0,0,0,0.02,0,0,0,0.20999999,0,0,32.700001,0,163.67,0.0099999998,0.050000001,0.050000001,0,0,0,0.38,430.20999,0,0,0,0,0,18.700001,142.88,0,5.0599999,0,9.3299999,0.1,0.63999999,80.949997,3.8099999,0,0.050000001,0.079999998,0,0.029999999,0,0,0.12,0,0,0,0.43000001,2.5699999,0.43000001,187.47,7.5500002,0,14.97,0,0
"Barbados",71.092003,19.371,0.028999999,0.90100002,0.345,0.074000001,7.915,27.101,0,0.021,0.373,0.13699999,2.47,0.109,0.015,0.0060000001,0.046,0.77700001,18.684,5.197,0.31900001,0.012,0.02,4.3309999,0.0080000004,0,0.96600002,1.854,0.43200001,51.338001,1.002,2.559,1.188781,0.0512194,3.579,1.201,0.99000001,0.108,0,0.041999999,0.29499999,0.123,0.079999998,0.44299999,2.312,0.0049999999,0,0.039000001,0.013,0.037,0.0040000002,0.041999999,0.021,0.139,0.60699999,2.302,1.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049999999,0,0,0,0,0,0,0,0,0,0.19599999,0,0,0,0,0,0,0,0.041000001,0,0,0,0.0080000004,0,0,0,0.011,0,0,0,0.0060000001,0,0,0,0,0.0060000001,0.014,0.0040000002,0,0,0,0,0.066,0,0,0,0,0,0,0,0,0,0.31099999,0,1.404,0.0060000001,0.153,9.0810003,0.40599999,0,0.20299999,0,0.016000001,0.25,0.024,0,0.017999999,0,0,0,0.428,0,0.059,0.044,2.527,0,6.2490001,0,0
"Grenada",0,0,0,0,0.001,0,0.57300001,6.6300001,0,0,0,0,0.34299999,0,0,0,0,0,0,0.78100002,0.138,0,0,0.029999999,0,0,0,0,0.039000001,7.5999999,0.18000001,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0
